Date,Nationwide Risk-Based International Equity_etf_Open_average,Nationwide Risk-Based International Equity_etf_Open_max,Nationwide Risk-Based International Equity_etf_Open_min,Nationwide Risk-Based International Equity_etf_Open_volatility,Nationwide Risk-Based International Equity_etf_Open_change,Nationwide Risk-Based International Equity_etf_High_average,Nationwide Risk-Based International Equity_etf_High_max,Nationwide Risk-Based International Equity_etf_High_min,Nationwide Risk-Based International Equity_etf_High_volatility,Nationwide Risk-Based International Equity_etf_High_change,Nationwide Risk-Based International Equity_etf_Low_average,Nationwide Risk-Based International Equity_etf_Low_max,Nationwide Risk-Based International Equity_etf_Low_min,Nationwide Risk-Based International Equity_etf_Low_volatility,Nationwide Risk-Based International Equity_etf_Low_change,Nationwide Risk-Based International Equity_etf_Close_average,Nationwide Risk-Based International Equity_etf_Close_max,Nationwide Risk-Based International Equity_etf_Close_min,Nationwide Risk-Based International Equity_etf_Close_volatility,Nationwide Risk-Based International Equity_etf_Close_change
2018-01-14,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2018-01-21,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.37,27.37,27.37,0.0,0.0
2018-01-28,25.62,25.62,25.62,0.0,0.0,25.86,25.86,25.86,0.0,0.0,25.53,25.53,25.53,0.0,0.0,25.86,25.86,25.86,0.0,0.0
2018-02-04,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.72,25.72,25.72,0.0,0.0
2018-02-11,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-02-18,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0
2018-02-25,26.3,26.3,26.3,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.285999999999998,26.285999999999998,26.285999999999998,0.0,0.0,26.285999999999998,26.285999999999998,26.285999999999998,0.0,0.0
2018-03-04,26.41,26.41,26.41,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.45,26.45,26.45,0.0,0.0
2018-03-11,26.38,26.38,26.38,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.38,26.38,26.38,0.0,0.0,26.39,26.39,26.39,0.0,0.0
2018-03-18,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.17,26.17,26.17,0.0,0.0
