Date,Direxion Daily Industrials Bull 3X Shares_Open_average,Direxion Daily Industrials Bull 3X Shares_Open_max,Direxion Daily Industrials Bull 3X Shares_Open_min,Direxion Daily Industrials Bull 3X Shares_Open_volatility,Direxion Daily Industrials Bull 3X Shares_Open_change,Direxion Daily Industrials Bull 3X Shares_High_average,Direxion Daily Industrials Bull 3X Shares_High_max,Direxion Daily Industrials Bull 3X Shares_High_min,Direxion Daily Industrials Bull 3X Shares_High_volatility,Direxion Daily Industrials Bull 3X Shares_High_change,Direxion Daily Industrials Bull 3X Shares_Low_average,Direxion Daily Industrials Bull 3X Shares_Low_max,Direxion Daily Industrials Bull 3X Shares_Low_min,Direxion Daily Industrials Bull 3X Shares_Low_volatility,Direxion Daily Industrials Bull 3X Shares_Low_change,Direxion Daily Industrials Bull 3X Shares_Close_average,Direxion Daily Industrials Bull 3X Shares_Close_max,Direxion Daily Industrials Bull 3X Shares_Close_min,Direxion Daily Industrials Bull 3X Shares_Close_volatility,Direxion Daily Industrials Bull 3X Shares_Close_change
2018-01-14,42.0,42.0,42.0,0.0,0.0,42.49,42.49,42.49,0.0,0.0,41.58,41.58,41.58,0.0,0.0,42.49,42.49,42.49,0.0,0.0
2018-01-21,44.09,44.09,44.09,0.0,0.0,44.53,44.53,44.53,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-01-28,38.4,38.4,38.4,0.0,0.0,40.01,40.01,40.01,0.0,0.0,33.75,33.75,33.75,0.0,0.0,34.83,34.83,34.83,0.0,0.0
2018-02-04,34.19,34.19,34.19,0.0,0.0,35.73,35.73,35.73,0.0,0.0,33.54,33.54,33.54,0.0,0.0,34.89,34.89,34.89,0.0,0.0
2018-02-11,38.01,38.01,38.01,0.0,0.0,39.13,39.13,39.13,0.0,0.0,37.63,37.63,37.63,0.0,0.0,38.18,38.18,38.18,0.0,0.0
2018-02-18,38.96,38.96,38.96,0.0,0.0,40.28,40.28,40.28,0.0,0.0,38.74,38.74,38.74,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2018-02-25,34.0,34.0,34.0,0.0,0.0,35.83,35.83,35.83,0.0,0.0,33.12,33.12,33.12,0.0,0.0,35.83,35.83,35.83,0.0,0.0
2018-03-04,39.19,39.19,39.19,0.0,0.0,39.34,39.34,39.34,0.0,0.0,37.81,37.81,37.81,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-03-11,36.04,36.04,36.04,0.0,0.0,36.65,36.65,36.65,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.53,35.53,35.53,0.0,0.0
2018-03-18,39.79,39.79,39.79,0.0,0.0,39.79,39.79,39.79,0.0,0.0,32.25,32.25,32.25,0.0,0.0,33.9,33.9,33.9,0.0,0.0
2018-03-25,33.63,33.63,33.63,0.0,0.0,33.63,33.63,33.63,0.0,0.0,30.37,30.37,30.37,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-04-01,31.6,31.6,31.6,0.0,0.0,32.33,32.33,32.33,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-04-08,33.71,33.71,33.71,0.0,0.0,33.94,33.94,33.94,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2018-04-15,35.24,35.24,35.24,0.0,0.0,35.32,35.32,35.32,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.71,34.71,34.71,0.0,0.0
2018-04-22,31.63,31.63,31.63,0.0,0.0,31.7,31.7,31.7,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-04-29,30.77,30.77,30.77,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0
2018-05-06,33.69,33.69,33.69,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.1,33.1,33.1,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-05-13,35.0,35.0,35.0,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-05-20,34.65,34.65,34.65,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2018-05-27,34.31,34.31,34.31,0.0,0.0,34.31,34.31,34.31,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-06-03,35.78,35.78,35.78,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-06-10,31.43,31.43,31.43,0.0,0.0,33.63,33.63,33.63,0.0,0.0,31.43,31.43,31.43,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-06-17,30.05,30.05,30.05,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.04,29.04,29.04,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-06-24,28.5,28.5,28.5,0.0,0.0,29.35,29.35,29.35,0.0,0.0,28.38,28.38,28.38,0.0,0.0,29.35,29.35,29.35,0.0,0.0
