Date,VALStock_Open_average,VALStock_Open_max,VALStock_Open_min,VALStock_Open_volatility,VALStock_Open_change,VALStock_High_average,VALStock_High_max,VALStock_High_min,VALStock_High_volatility,VALStock_High_change,VALStock_Low_average,VALStock_Low_max,VALStock_Low_min,VALStock_Low_volatility,VALStock_Low_change,VALStock_Close_average,VALStock_Close_max,VALStock_Close_min,VALStock_Close_volatility,VALStock_Close_change,VALStock_Volume_average,VALStock_Volume_max,VALStock_Volume_min,VALStock_Volume_volatility,VALStock_Volume_change
2018-01-14,28.08,29.72,26.72,3.0,-3.0,28.61,29.88,27.56,2.3200000000000003,-2.3200000000000003,27.305,27.88,26.5,1.379999999999999,-1.379999999999999,27.69,28.28,27.12,1.1600000000000001,-0.3999999999999986,3374302,4872805,2622322,2250483,-1616530
2018-01-21,27.240000000000002,27.8,26.8,1.0,-0.6799999999999997,27.432000000000002,27.92,26.8,1.120000000000001,-1.120000000000001,26.355999999999998,27.22,25.88,1.3399999999999999,-0.9800000000000004,26.816,27.8,26.4,1.4000000000000021,-1.4000000000000021,3111352,4787641,1775060,3012581,-569677
2018-01-28,24.424,26.24,23.68,2.5599999999999987,-2.4399999999999977,24.794,26.28,23.8,2.4800000000000004,-2.4800000000000004,23.488,24.8,22.48,2.3200000000000003,-2.3200000000000003,23.8,24.88,22.52,2.3599999999999994,-2.3599999999999994,3682450,4593465,3025438,1568027,827774
2018-02-04,21.256,22.2,20.0,2.1999999999999993,-2.0,21.912,23.08,20.0,3.0799999999999983,-3.039999999999999,20.28,21.52,18.36,3.16,-3.16,20.76,22.2,19.64,2.5599999999999987,-1.9600000000000009,4619224,5308326,4026451,1281875,1281875
2018-02-11,20.088,20.32,19.76,0.5599999999999987,-0.35999999999999943,20.464,20.88,20.2,0.6799999999999997,-0.5199999999999996,19.672,19.92,19.48,0.4400000000000013,-0.240000000000002,20.152,20.64,19.84,0.8000000000000007,-0.8000000000000007,3465655,4648801,2193478,2455323,-2280392
2018-02-18,19.93,20.6,19.56,1.0400000000000027,0.6799999999999997,20.475,21.04,19.86,1.1799999999999997,0.5599999999999987,19.61,20.36,19.16,1.1999999999999993,1.0399999999999991,20.009999999999998,20.96,19.2,1.7600000000000016,1.4400000000000013,2747477,3347676,2250728,1096948,-205142
2018-02-25,19.472,21.12,17.64,3.4800000000000004,-3.4800000000000004,19.812,21.66,17.72,3.9400000000000013,-3.5600000000000023,18.256,20.28,16.4,3.8800000000000026,-3.8800000000000026,18.728,20.8,17.68,3.120000000000001,-3.120000000000001,4588094,6504452,2677371,3827081,3683888
2018-03-04,18.264,18.84,17.64,1.1999999999999993,0.8399999999999999,18.855999999999998,19.32,18.24,1.0800000000000018,0.35999999999999943,17.892,18.36,17.6,0.759999999999998,0.7399999999999984,18.48,19.04,18.08,0.9600000000000009,0.35999999999999943,2888173,3705250,1925588,1779662,-1167799
2018-03-11,19.12,19.6,18.52,1.0800000000000018,-0.4800000000000004,19.58,19.88,19.32,0.5599999999999987,-0.5599999999999987,18.696,19.04,18.12,0.9199999999999982,-0.5600000000000023,19.104,19.6,18.52,1.0800000000000018,-0.5600000000000023,2385137,3440889,1654733,1786156,1054678
2018-03-18,18.8,19.4,18.48,0.9199999999999982,0.1999999999999993,19.432,19.96,18.76,1.1999999999999993,0.5599999999999987,18.387999999999998,18.7,17.84,0.8599999999999994,0.8599999999999994,18.832,19.72,18.36,1.3599999999999994,0.5600000000000023,3173994,4239575,2188379,2051196,-1619252
2018-03-25,18.42,19.24,17.8,1.4399999999999977,-1.4399999999999977,18.677500000000002,19.4,17.96,1.4399999999999977,-1.4399999999999977,17.67,18.04,17.4,0.6400000000000006,-0.5999999999999979,18.02,18.76,17.56,1.2000000000000028,-1.2000000000000028,2941124,3496517,2479660,1016857,167679
2018-04-01,17.864,18.72,17.4,1.3200000000000003,1.2399999999999984,18.504,19.36,17.72,1.6400000000000006,1.4400000000000013,17.424,18.2,16.72,1.4800000000000004,1.4000000000000021,18.144,18.92,17.36,1.5600000000000023,1.120000000000001,2115399,2386444,1449725,936719,-789343
2018-04-08,19.968,21.64,18.64,3.0,3.0,20.68,21.92,19.02,2.900000000000002,2.900000000000002,19.624,20.92,18.24,2.6800000000000033,2.6800000000000033,20.36,21.72,18.72,3.0,3.0,3155275,4909683,1430949,3478734,2473200
2018-04-15,23.0,24.4,21.6,2.799999999999997,2.1999999999999993,23.796,24.72,22.64,2.0799999999999983,1.4600000000000009,22.45,23.16,21.32,1.8399999999999999,1.6400000000000006,23.392,24.2,22.08,2.120000000000001,1.8400000000000034,3800215,5099460,2736665,2362795,299543
2018-04-22,23.616,24.4,22.44,1.9599999999999973,-1.1600000000000001,24.124,25.1,22.48,2.620000000000001,-1.879999999999999,23.068,24.2,21.64,2.5599999999999987,-1.6400000000000006,23.48,24.72,21.8,2.919999999999998,-2.2399999999999984,3554945,4744368,2047771,2696597,1171942
2018-04-29,22.408,22.88,21.76,1.1199999999999974,1.1199999999999974,23.24,23.64,22.72,0.9200000000000017,0.6400000000000006,22.148,22.72,21.64,1.0799999999999983,1.0799999999999983,22.752,23.24,22.08,1.1600000000000001,0.639999999999997,3031197,4190276,2047012,2143264,-1384036
2018-05-06,25.056,26.84,23.56,3.280000000000001,3.2399999999999984,26.028,27.32,24.46,2.8599999999999994,2.280000000000001,24.592,26.12,22.68,3.4400000000000013,2.3999999999999986,25.432,26.92,23.64,3.280000000000001,2.5599999999999987,3838747,5850688,2998985,2851703,478708
