Date,QuantShares US Market Neutral Momentum_Open_average,QuantShares US Market Neutral Momentum_Open_max,QuantShares US Market Neutral Momentum_Open_min,QuantShares US Market Neutral Momentum_Open_volatility,QuantShares US Market Neutral Momentum_Open_change,QuantShares US Market Neutral Momentum_High_average,QuantShares US Market Neutral Momentum_High_max,QuantShares US Market Neutral Momentum_High_min,QuantShares US Market Neutral Momentum_High_volatility,QuantShares US Market Neutral Momentum_High_change,QuantShares US Market Neutral Momentum_Low_average,QuantShares US Market Neutral Momentum_Low_max,QuantShares US Market Neutral Momentum_Low_min,QuantShares US Market Neutral Momentum_Low_volatility,QuantShares US Market Neutral Momentum_Low_change,QuantShares US Market Neutral Momentum_Close_average,QuantShares US Market Neutral Momentum_Close_max,QuantShares US Market Neutral Momentum_Close_min,QuantShares US Market Neutral Momentum_Close_volatility,QuantShares US Market Neutral Momentum_Close_change
2018-01-14,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-01-21,24.72,24.72,24.72,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2018-01-28,24.98,24.98,24.98,0.0,0.0,25.07,25.07,25.07,0.0,0.0,24.98,24.98,24.98,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-02-04,24.98,24.98,24.98,0.0,0.0,24.98,24.98,24.98,0.0,0.0,24.96,24.96,24.96,0.0,0.0,24.96,24.96,24.96,0.0,0.0
2018-02-11,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-18,25.59,25.59,25.59,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-02-25,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.12,25.12,25.12,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-03-04,25.6,25.6,25.6,0.0,0.0,25.65,25.65,25.65,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-03-11,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-03-18,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-03-25,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0
2018-04-01,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0
2018-04-08,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2018-04-15,26.05,26.05,26.05,0.0,0.0,26.05,26.05,26.05,0.0,0.0,25.91,25.91,25.91,0.0,0.0,25.94,25.94,25.94,0.0,0.0
2018-04-22,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-04-29,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-05-06,26.26,26.26,26.26,0.0,0.0,26.26,26.26,26.26,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-05-13,26.12,26.12,26.12,0.0,0.0,26.12,26.12,26.12,0.0,0.0,25.95,25.95,25.95,0.0,0.0,25.99,25.99,25.99,0.0,0.0
2018-05-20,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0
2018-05-27,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-06-03,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0
2018-06-10,25.48,25.48,25.48,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.48,25.48,25.48,0.0,0.0,25.58,25.58,25.58,0.0,0.0
2018-06-17,24.58,24.58,24.58,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-06-24,24.48,24.48,24.48,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.7,24.7,24.7,0.0,0.0
2018-07-01,24.34,24.34,24.34,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-07-08,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.23,24.23,24.23,0.0,0.0
2018-07-15,24.91,24.91,24.91,0.0,0.0,25.0,25.0,25.0,0.0,0.0,24.91,24.91,24.91,0.0,0.0,25.0,25.0,25.0,0.0,0.0
2018-07-22,24.83,24.83,24.83,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2018-07-29,24.72,24.72,24.72,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.75,24.75,24.75,0.0,0.0
2018-08-05,25.0,25.0,25.0,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-08-12,24.85,24.85,24.85,0.0,0.0,24.85,24.85,24.85,0.0,0.0,24.83,24.83,24.83,0.0,0.0,24.83,24.83,24.83,0.0,0.0
2018-08-19,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-08-26,25.29,25.29,25.29,0.0,0.0,25.3,25.3,25.3,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-09-02,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-09-09,25.54,25.54,25.54,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.08,25.08,25.08,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2018-09-16,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-09-23,25.07,25.07,25.07,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.08,25.08,25.08,0.0,0.0
2018-09-30,24.88,24.88,24.88,0.0,0.0,24.88,24.88,24.88,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-10-07,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.54,24.54,24.54,0.0,0.0
2018-10-14,24.42,24.42,24.42,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-10-21,24.11,24.11,24.11,0.0,0.0,24.11,24.11,24.11,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2018-10-28,24.51,24.51,24.51,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-11-04,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-11-11,23.71,23.71,23.71,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-11-18,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2018-11-25,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.03,24.03,24.03,0.0,0.0
2018-12-02,23.99,23.99,23.99,0.0,0.0,24.16,24.16,24.16,0.0,0.0,23.99,23.99,23.99,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2018-12-09,24.75,24.75,24.75,0.0,0.0,24.76,24.76,24.76,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.66,24.66,24.66,0.0,0.0
2018-12-16,26.59,26.59,26.59,0.0,0.0,26.59,26.59,26.59,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-12-23,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-12-30,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0
2019-01-06,23.13,23.13,23.13,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.64,23.64,23.64,0.0,0.0
2019-01-13,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0,23.71,23.71,23.71,0.0,0.0
2019-01-20,23.57,23.57,23.57,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2019-01-27,23.61,23.61,23.61,0.0,0.0,23.61,23.61,23.61,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2019-02-03,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0
2019-02-10,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2019-02-17,23.27,23.27,23.27,0.0,0.0,23.3,23.3,23.3,0.0,0.0,23.27,23.27,23.27,0.0,0.0,23.3,23.3,23.3,0.0,0.0
2019-02-24,23.43,23.43,23.43,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.43,23.43,23.43,0.0,0.0
