Date,SPDR S&P Homebuilders_Open_average,SPDR S&P Homebuilders_Open_max,SPDR S&P Homebuilders_Open_min,SPDR S&P Homebuilders_Open_volatility,SPDR S&P Homebuilders_Open_change,SPDR S&P Homebuilders_High_average,SPDR S&P Homebuilders_High_max,SPDR S&P Homebuilders_High_min,SPDR S&P Homebuilders_High_volatility,SPDR S&P Homebuilders_High_change,SPDR S&P Homebuilders_Low_average,SPDR S&P Homebuilders_Low_max,SPDR S&P Homebuilders_Low_min,SPDR S&P Homebuilders_Low_volatility,SPDR S&P Homebuilders_Low_change,SPDR S&P Homebuilders_Close_average,SPDR S&P Homebuilders_Close_max,SPDR S&P Homebuilders_Close_min,SPDR S&P Homebuilders_Close_volatility,SPDR S&P Homebuilders_Close_change
2018-01-14,46.59,46.59,46.59,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.31,46.31,46.31,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-01-21,46.22,46.22,46.22,0.0,0.0,46.28,46.28,46.28,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.42,45.42,45.42,0.0,0.0
2018-01-28,42.71,42.71,42.71,0.0,0.0,43.22,43.22,43.22,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-02-04,41.44,41.44,41.44,0.0,0.0,42.13,42.13,42.13,0.0,0.0,41.21,41.21,41.21,0.0,0.0,41.87,41.87,41.87,0.0,0.0
2018-02-11,42.72,42.72,42.72,0.0,0.0,43.21,43.21,43.21,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-02-18,42.54,42.54,42.54,0.0,0.0,42.66,42.66,42.66,0.0,0.0,42.02,42.02,42.02,0.0,0.0,42.44,42.44,42.44,0.0,0.0
2018-02-25,39.96,39.96,39.96,0.0,0.0,40.82,40.82,40.82,0.0,0.0,39.93,39.93,39.93,0.0,0.0,40.7,40.7,40.7,0.0,0.0
2018-03-04,42.08,42.08,42.08,0.0,0.0,42.38,42.38,42.38,0.0,0.0,41.97,41.97,41.97,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-03-11,41.35,41.35,41.35,0.0,0.0,41.42,41.42,41.42,0.0,0.0,40.79,40.79,40.79,0.0,0.0,41.17,41.17,41.17,0.0,0.0
2018-03-18,40.76,40.76,40.76,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.93,40.93,40.93,0.0,0.0
2018-03-25,40.53,40.53,40.53,0.0,0.0,40.67,40.67,40.67,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.5,39.5,39.5,0.0,0.0
2018-04-01,40.92,40.92,40.92,0.0,0.0,41.11,41.11,41.11,0.0,0.0,40.45,40.45,40.45,0.0,0.0,40.48,40.48,40.48,0.0,0.0
2018-04-08,40.16,40.16,40.16,0.0,0.0,40.62,40.62,40.62,0.0,0.0,39.87,39.87,39.87,0.0,0.0,40.36,40.36,40.36,0.0,0.0
2018-04-15,39.52,39.52,39.52,0.0,0.0,39.85,39.85,39.85,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-04-22,39.8,39.8,39.8,0.0,0.0,39.84,39.84,39.84,0.0,0.0,38.96,38.96,38.96,0.0,0.0,38.96,38.96,38.96,0.0,0.0
2018-04-29,39.66,39.66,39.66,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.39,39.39,39.39,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-05-06,39.75,39.75,39.75,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.62,39.62,39.62,0.0,0.0
2018-05-13,39.81,39.81,39.81,0.0,0.0,40.03,40.03,40.03,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-05-20,39.34,39.34,39.34,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.87,39.87,39.87,0.0,0.0
2018-05-27,39.49,39.49,39.49,0.0,0.0,39.88,39.88,39.88,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.85,39.85,39.85,0.0,0.0
2018-06-03,41.5,41.5,41.5,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.25,41.25,41.25,0.0,0.0,41.39,41.39,41.39,0.0,0.0
2018-06-10,40.6,40.6,40.6,0.0,0.0,40.83,40.83,40.83,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.51,40.51,40.51,0.0,0.0
2018-06-17,39.7,39.7,39.7,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.11,39.11,39.11,0.0,0.0,39.36,39.36,39.36,0.0,0.0
2018-06-24,39.28,39.28,39.28,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2018-07-01,40.45,40.45,40.45,0.0,0.0,40.93,40.93,40.93,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.78,40.78,40.78,0.0,0.0
2018-07-08,40.79,40.79,40.79,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.43,40.43,40.43,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2018-07-15,40.92,40.92,40.92,0.0,0.0,41.22,41.22,41.22,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.55,40.55,40.55,0.0,0.0
2018-07-22,39.13,39.13,39.13,0.0,0.0,39.46,39.46,39.46,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.14,39.14,39.14,0.0,0.0
2018-07-29,39.43,39.43,39.43,0.0,0.0,39.63,39.63,39.63,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.59,39.59,39.59,0.0,0.0
2018-08-05,39.33,39.33,39.33,0.0,0.0,39.33,39.33,39.33,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.63,38.63,38.63,0.0,0.0
2018-08-12,39.52,39.52,39.52,0.0,0.0,39.73,39.73,39.73,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-08-19,40.49,40.49,40.49,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.47,40.47,40.47,0.0,0.0,40.63,40.63,40.63,0.0,0.0
2018-08-26,39.88,39.88,39.88,0.0,0.0,40.15,40.15,40.15,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.02,40.02,40.02,0.0,0.0
2018-09-02,40.16,40.16,40.16,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.31,40.31,40.31,0.0,0.0
2018-09-09,40.36,40.36,40.36,0.0,0.0,40.51,40.51,40.51,0.0,0.0,40.04,40.04,40.04,0.0,0.0,40.09,40.09,40.09,0.0,0.0
2018-09-16,39.8,39.8,39.8,0.0,0.0,39.91,39.91,39.91,0.0,0.0,39.34,39.34,39.34,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2018-09-23,38.42,38.42,38.42,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.22,38.22,38.22,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-09-30,37.03,37.03,37.03,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.97,36.97,36.97,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-10-07,34.7,34.7,34.7,0.0,0.0,35.12,35.12,35.12,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-10-14,33.61,33.61,33.61,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-10-21,33.14,33.14,33.14,0.0,0.0,33.27,33.27,33.27,0.0,0.0,31.82,31.82,31.82,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-10-28,34.93,34.93,34.93,0.0,0.0,35.41,35.41,35.41,0.0,0.0,34.82,34.82,34.82,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-11-04,34.46,34.46,34.46,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.18,34.18,34.18,0.0,0.0,34.21,34.21,34.21,0.0,0.0
2018-11-11,34.12,34.12,34.12,0.0,0.0,34.4,34.4,34.4,0.0,0.0,33.83,33.83,33.83,0.0,0.0,34.09,34.09,34.09,0.0,0.0
2018-11-18,34.74,34.74,34.74,0.0,0.0,35.0,35.0,35.0,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-11-25,36.1,36.1,36.1,0.0,0.0,36.23,36.23,36.23,0.0,0.0,35.37,35.37,35.37,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-12-02,34.25,34.25,34.25,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-12-09,33.02,33.02,33.02,0.0,0.0,33.46,33.46,33.46,0.0,0.0,32.53,32.53,32.53,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-12-16,31.16,31.16,31.16,0.0,0.0,31.39,31.39,31.39,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-12-23,32.51,32.51,32.51,0.0,0.0,32.81,32.81,32.81,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-12-30,33.82,33.82,33.82,0.0,0.0,34.75,34.75,34.75,0.0,0.0,33.56,33.56,33.56,0.0,0.0,34.42,34.42,34.42,0.0,0.0
2019-01-06,35.2,35.2,35.2,0.0,0.0,35.42,35.42,35.42,0.0,0.0,35.1,35.1,35.1,0.0,0.0,35.14,35.14,35.14,0.0,0.0
2019-01-13,35.09,35.09,35.09,0.0,0.0,35.58,35.58,35.58,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.28,35.28,35.28,0.0,0.0
2019-01-20,34.88,34.88,34.88,0.0,0.0,35.53,35.53,35.53,0.0,0.0,34.8,34.8,34.8,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2019-01-27,36.6,36.6,36.6,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.82,36.82,36.82,0.0,0.0
2019-02-03,37.03,37.03,37.03,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2019-02-10,38.45,38.45,38.45,0.0,0.0,38.77,38.77,38.77,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.68,38.68,38.68,0.0,0.0
2019-02-17,39.32,39.32,39.32,0.0,0.0,39.53,39.53,39.53,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.05,39.05,39.05,0.0,0.0
