Date,GBCI_Open_average,GBCI_Open_max,GBCI_Open_min,GBCI_Open_volatility,GBCI_Open_change,GBCI_High_average,GBCI_High_max,GBCI_High_min,GBCI_High_volatility,GBCI_High_change,GBCI_Low_average,GBCI_Low_max,GBCI_Low_min,GBCI_Low_volatility,GBCI_Low_change,GBCI_Close_average,GBCI_Close_max,GBCI_Close_min,GBCI_Close_volatility,GBCI_Close_change,GBCI_Volume_average,GBCI_Volume_max,GBCI_Volume_min,GBCI_Volume_volatility,GBCI_Volume_change
2018-01-14,39.656,40.08,39.02,1.0599999999999952,-0.1599999999999966,40.074,40.32,39.91,0.4100000000000037,-0.17999999999999972,39.262,39.62,39.02,0.5999999999999943,0.259999999999998,39.662,40.0,39.12,0.8800000000000026,0.6099999999999994,318425,406444,266860,139584,79606
2018-01-21,39.746,40.16,39.45,0.7099999999999937,-0.17999999999999972,39.896,40.16,39.48,0.6799999999999997,-0.25,39.076,39.47,38.55,0.9200000000000017,-0.04999999999999716,39.542,39.97,39.19,0.7800000000000011,-0.5300000000000011,311273,467788,223991,243797,66219
2018-01-28,39.322,39.75,39.07,0.6799999999999997,0.28999999999999915,39.918,40.39,39.53,0.8599999999999994,0.5799999999999983,38.9,39.68,38.02,1.6599999999999966,-0.8200000000000003,39.246,39.93,38.03,1.8999999999999986,-1.1000000000000014,389887,440774,346725,94049,29585
2018-02-04,38.038,38.67,37.37,1.3000000000000043,0.6900000000000048,39.0,40.55,38.22,2.3299999999999983,-0.020000000000003126,37.336,37.98,36.72,1.259999999999998,0.5900000000000034,38.056,38.52,37.29,1.230000000000004,0.13000000000000256,336719,478327,172013,306314,-184079
2018-02-11,38.96,39.84,38.14,1.7000000000000028,1.4799999999999969,39.645,40.6,38.55,2.0500000000000043,2.0500000000000043,38.745000000000005,39.52,37.94,1.5800000000000054,1.5800000000000054,39.56,40.39,38.52,1.8699999999999974,1.8699999999999974,228022,304901,176780,128121,128121
2018-02-18,40.232,40.59,39.79,0.8000000000000043,-0.05000000000000426,40.574,40.92,40.12,0.8000000000000043,-0.240000000000002,39.532,40.04,38.37,1.6700000000000017,0.23000000000000398,40.132,40.43,39.7,0.7299999999999969,0.45000000000000284,259230,395840,163199,232641,-184216
2018-02-25,39.424,40.41,38.62,1.7899999999999991,-1.279999999999994,39.986,41.0,39.44,1.5600000000000023,-1.1199999999999974,38.7,39.83,38.07,1.759999999999998,-1.759999999999998,39.292,39.84,38.83,1.0100000000000051,-0.2600000000000051,333406,564511,199475,365036,169009
2018-03-04,40.07,40.7,39.67,1.0300000000000011,1.0300000000000011,40.586,41.14,40.26,0.8800000000000026,0.8800000000000026,39.222,40.67,37.5,3.1700000000000017,1.3900000000000006,40.336,40.91,39.73,1.1799999999999997,0.769999999999996,402047,648753,241797,406956,202270
2018-03-11,40.668,41.01,40.12,0.8900000000000006,-0.46000000000000085,40.984,41.24,40.64,0.6000000000000014,-0.6000000000000014,40.128,40.62,39.54,1.0799999999999983,-1.0799999999999983,40.496,40.78,40.17,0.6099999999999994,-0.490000000000002,462779,1081117,301249,779868,7124
2018-03-18,39.296,40.41,37.64,2.769999999999996,-2.769999999999996,39.626,40.49,38.33,2.1600000000000037,-2.1600000000000037,38.44,39.88,36.96,2.9200000000000017,-2.8400000000000034,38.846,40.12,37.04,3.0799999999999983,-1.7199999999999989,314019,473019,190264,282755,131896
