Date,iShares MSCI Denmark Capped_Open_average,iShares MSCI Denmark Capped_Open_max,iShares MSCI Denmark Capped_Open_min,iShares MSCI Denmark Capped_Open_volatility,iShares MSCI Denmark Capped_Open_change,iShares MSCI Denmark Capped_High_average,iShares MSCI Denmark Capped_High_max,iShares MSCI Denmark Capped_High_min,iShares MSCI Denmark Capped_High_volatility,iShares MSCI Denmark Capped_High_change,iShares MSCI Denmark Capped_Low_average,iShares MSCI Denmark Capped_Low_max,iShares MSCI Denmark Capped_Low_min,iShares MSCI Denmark Capped_Low_volatility,iShares MSCI Denmark Capped_Low_change,iShares MSCI Denmark Capped_Close_average,iShares MSCI Denmark Capped_Close_max,iShares MSCI Denmark Capped_Close_min,iShares MSCI Denmark Capped_Close_volatility,iShares MSCI Denmark Capped_Close_change
2018-01-14,70.32,70.32,70.32,0.0,0.0,70.81,70.81,70.81,0.0,0.0,70.32,70.32,70.32,0.0,0.0,70.81,70.81,70.81,0.0,0.0
2018-01-21,70.54,70.54,70.54,0.0,0.0,70.64,70.64,70.64,0.0,0.0,70.33,70.33,70.33,0.0,0.0,70.53,70.53,70.53,0.0,0.0
2018-01-28,66.51,66.51,66.51,0.0,0.0,66.82,66.82,66.82,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2018-02-04,66.83,66.83,66.83,0.0,0.0,67.08,67.08,67.08,0.0,0.0,66.67,66.67,66.67,0.0,0.0,67.04,67.04,67.04,0.0,0.0
2018-02-11,69.26,69.26,69.26,0.0,0.0,69.62,69.62,69.62,0.0,0.0,69.26,69.26,69.26,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-02-18,69.97,69.97,69.97,0.0,0.0,70.51,70.51,70.51,0.0,0.0,69.97,69.97,69.97,0.0,0.0,70.51,70.51,70.51,0.0,0.0
2018-02-25,67.48,67.48,67.48,0.0,0.0,68.01,68.01,68.01,0.0,0.0,67.48,67.48,67.48,0.0,0.0,68.0,68.0,68.0,0.0,0.0
2018-03-04,68.97,68.97,68.97,0.0,0.0,69.06,69.06,69.06,0.0,0.0,68.87,68.87,68.87,0.0,0.0,69.06,69.06,69.06,0.0,0.0
2018-03-11,68.53,68.53,68.53,0.0,0.0,68.53,68.53,68.53,0.0,0.0,68.47,68.47,68.47,0.0,0.0,68.47,68.47,68.47,0.0,0.0
2018-03-18,68.4,68.4,68.4,0.0,0.0,68.64,68.64,68.64,0.0,0.0,68.01,68.01,68.01,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2018-03-25,68.69,68.69,68.69,0.0,0.0,68.69,68.69,68.69,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.93,67.93,67.93,0.0,0.0
2018-04-01,68.07,68.07,68.07,0.0,0.0,68.37,68.37,68.37,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.08,68.08,68.08,0.0,0.0
2018-04-08,68.25,68.25,68.25,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.2,68.2,68.2,0.0,0.0
