Date,iShares MSCI ACWI ex USEtf_Open_average,iShares MSCI ACWI ex USEtf_Open_max,iShares MSCI ACWI ex USEtf_Open_min,iShares MSCI ACWI ex USEtf_Open_volatility,iShares MSCI ACWI ex USEtf_Open_change,iShares MSCI ACWI ex USEtf_High_average,iShares MSCI ACWI ex USEtf_High_max,iShares MSCI ACWI ex USEtf_High_min,iShares MSCI ACWI ex USEtf_High_volatility,iShares MSCI ACWI ex USEtf_High_change,iShares MSCI ACWI ex USEtf_Low_average,iShares MSCI ACWI ex USEtf_Low_max,iShares MSCI ACWI ex USEtf_Low_min,iShares MSCI ACWI ex USEtf_Low_volatility,iShares MSCI ACWI ex USEtf_Low_change,iShares MSCI ACWI ex USEtf_Close_average,iShares MSCI ACWI ex USEtf_Close_max,iShares MSCI ACWI ex USEtf_Close_min,iShares MSCI ACWI ex USEtf_Close_volatility,iShares MSCI ACWI ex USEtf_Close_change
2018-01-14,52.71,52.71,52.71,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2018-01-21,53.52,53.52,53.52,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.74,53.74,53.74,0.0,0.0
2018-01-28,52.13,52.13,52.13,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.49,51.49,51.49,0.0,0.0
2018-02-04,48.88,48.88,48.88,0.0,0.0,49.02,49.02,49.02,0.0,0.0,47.5,47.5,47.5,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-02-11,50.86,50.86,50.86,0.0,0.0,51.31,51.31,51.31,0.0,0.0,50.86,50.86,50.86,0.0,0.0,51.0,51.0,51.0,0.0,0.0
2018-02-18,50.81,50.81,50.81,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.7,50.7,50.7,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-02-25,49.11,49.11,49.11,0.0,0.0,49.65,49.65,49.65,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2018-03-04,50.45,50.45,50.45,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2018-03-11,50.45,50.45,50.45,0.0,0.0,50.57,50.57,50.57,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2018-03-18,49.32,49.32,49.32,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.55,48.55,48.55,0.0,0.0,48.55,48.55,48.55,0.0,0.0
2018-03-25,49.53,49.53,49.53,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.45,49.45,49.45,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-04-01,49.66,49.66,49.66,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.11,49.11,49.11,0.0,0.0,49.29,49.29,49.29,0.0,0.0
2018-04-08,50.38,50.38,50.38,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.15,50.15,50.15,0.0,0.0
2018-04-15,50.35,50.35,50.35,0.0,0.0,50.4,50.4,50.4,0.0,0.0,50.14,50.14,50.14,0.0,0.0,50.23,50.23,50.23,0.0,0.0
