Date,HUSA_Open_average,HUSA_Open_max,HUSA_Open_min,HUSA_Open_volatility,HUSA_Open_change,HUSA_High_average,HUSA_High_max,HUSA_High_min,HUSA_High_volatility,HUSA_High_change,HUSA_Low_average,HUSA_Low_max,HUSA_Low_min,HUSA_Low_volatility,HUSA_Low_change,HUSA_Close_average,HUSA_Close_max,HUSA_Close_min,HUSA_Close_volatility,HUSA_Close_change,HUSA_Volume_average,HUSA_Volume_max,HUSA_Volume_min,HUSA_Volume_volatility,HUSA_Volume_change
2018-01-14,0.33524,0.355,0.324,0.030999999999999972,-0.030999999999999972,0.34068,0.355,0.332,0.022999999999999965,-0.014999999999999958,0.32188,0.327,0.3155,0.01150000000000001,0.006400000000000017,0.33116,0.33399999999999996,0.3261,0.007899999999999963,0.0023999999999999577,46463,83749,28735,55014,-47248
2018-01-21,0.335,0.34,0.325,0.015000000000000013,-0.008999999999999952,0.33828,0.3411,0.331,0.010099999999999998,-0.009000000000000008,0.32534,0.3316,0.3209,0.010699999999999987,-0.0021999999999999797,0.33388,0.3389,0.3215,0.01739999999999997,-0.014399999999999968,32256,49804,18012,31792,-7853
2018-01-28,0.30526,0.3226,0.2758,0.04680000000000001,-0.04680000000000001,0.3084,0.3226,0.2915,0.031100000000000017,-0.031100000000000017,0.2834,0.3098,0.2501,0.05970000000000003,-0.033899999999999986,0.29196,0.31,0.2758,0.03420000000000001,-0.03080000000000005,30225,57074,10044,47030,25119
2018-02-04,0.27724,0.2906,0.26,0.030600000000000016,0.019299999999999984,0.30234,0.37,0.27899999999999997,0.09100000000000003,0.09100000000000003,0.26536000000000004,0.27,0.26,0.010000000000000009,0.010000000000000009,0.2818,0.3313,0.265,0.06629999999999997,0.06629999999999997,85013,328448,17292,311156,293797
2018-02-11,0.316,0.341,0.3,0.041000000000000036,-0.03600000000000003,0.318475,0.35,0.3,0.04999999999999999,-0.044999999999999984,0.2878,0.3,0.2802,0.019799999999999984,-0.019799999999999984,0.294425,0.3029,0.2826,0.020299999999999985,-0.020299999999999985,77942,178643,24366,154277,-154277
2018-02-18,0.2814,0.285,0.27699999999999997,0.008000000000000007,-0.008000000000000007,0.28362,0.2852,0.28,0.005199999999999982,-0.00030000000000002247,0.27262000000000003,0.2761,0.267,0.009099999999999997,0.0010999999999999899,0.27762,0.2811,0.275,0.006099999999999994,-0.0021000000000000463,44095,88369,21962,66407,-65962
2018-02-25,0.27266,0.2832,0.27,0.01319999999999999,-0.01319999999999999,0.27792,0.2851,0.27,0.015100000000000002,0.0001000000000000445,0.2681,0.2712,0.2646,0.006599999999999995,-0.0015000000000000013,0.27232,0.2834,0.265,0.018399999999999972,0.009899999999999964,31548,48772,13990,34782,-9459
2018-03-04,0.27842,0.2847,0.275,0.009699999999999986,0.009699999999999986,0.28674,0.3024,0.2772,0.0252,0.01529999999999998,0.27264,0.2847,0.264,0.020699999999999996,0.01469999999999999,0.27614,0.28800000000000003,0.264,0.02400000000000002,0.018000000000000016,31783,69329,13375,55954,22239
2018-03-11,0.30872,0.3355,0.2901,0.045399999999999996,-0.007899999999999963,0.32628,0.3355,0.3199,0.015600000000000003,-9.999999999998899e-05,0.2975,0.3069,0.285,0.02190000000000003,-0.008000000000000007,0.30808,0.3196,0.3,0.019600000000000006,-0.0039000000000000146,49659,70588,24021,46567,-23857
2018-03-18,0.3106,0.3223,0.29,0.032299999999999995,0.020000000000000018,0.32101999999999997,0.332,0.315,0.017000000000000015,-9.999999999998899e-05,0.29706,0.3051,0.2827,0.022399999999999975,-0.007299999999999973,0.30922,0.318,0.298,0.020000000000000018,-0.007000000000000006,39026,60475,6304,54171,1840
2018-03-25,0.313225,0.32,0.31,0.010000000000000009,0.010000000000000009,0.320925,0.3299,0.3148,0.015100000000000002,0.0010000000000000009,0.2909,0.295,0.28300000000000003,0.011999999999999955,-0.008000000000000007,0.30255,0.313,0.285,0.028000000000000025,-0.024900000000000033,60783,113139,26186,86953,36418
