Date,Guggenheim MSCI EM Equal Country Weight_Open_average,Guggenheim MSCI EM Equal Country Weight_Open_max,Guggenheim MSCI EM Equal Country Weight_Open_min,Guggenheim MSCI EM Equal Country Weight_Open_volatility,Guggenheim MSCI EM Equal Country Weight_Open_change,Guggenheim MSCI EM Equal Country Weight_High_average,Guggenheim MSCI EM Equal Country Weight_High_max,Guggenheim MSCI EM Equal Country Weight_High_min,Guggenheim MSCI EM Equal Country Weight_High_volatility,Guggenheim MSCI EM Equal Country Weight_High_change,Guggenheim MSCI EM Equal Country Weight_Low_average,Guggenheim MSCI EM Equal Country Weight_Low_max,Guggenheim MSCI EM Equal Country Weight_Low_min,Guggenheim MSCI EM Equal Country Weight_Low_volatility,Guggenheim MSCI EM Equal Country Weight_Low_change,Guggenheim MSCI EM Equal Country Weight_Close_average,Guggenheim MSCI EM Equal Country Weight_Close_max,Guggenheim MSCI EM Equal Country Weight_Close_min,Guggenheim MSCI EM Equal Country Weight_Close_volatility,Guggenheim MSCI EM Equal Country Weight_Close_change
2018-01-14,36.95,36.95,36.95,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-01-21,37.69,37.69,37.69,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2018-01-28,36.05,36.05,36.05,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.08,35.08,35.08,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2018-02-04,35.0,35.0,35.0,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2018-02-11,36.37,36.37,36.37,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-02-18,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.47,36.47,36.47,0.0,0.0
2018-02-25,35.61,35.61,35.61,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.61,35.61,35.61,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-03-04,36.18,36.18,36.18,0.0,0.0,36.37,36.37,36.37,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-03-11,35.07,35.07,35.07,0.0,0.0,35.32,35.32,35.32,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-03-18,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.3,35.3,35.3,0.0,0.0
