Date,ProShares UltraPro Financial Select Sector_Open_average,ProShares UltraPro Financial Select Sector_Open_max,ProShares UltraPro Financial Select Sector_Open_min,ProShares UltraPro Financial Select Sector_Open_volatility,ProShares UltraPro Financial Select Sector_Open_change,ProShares UltraPro Financial Select Sector_High_average,ProShares UltraPro Financial Select Sector_High_max,ProShares UltraPro Financial Select Sector_High_min,ProShares UltraPro Financial Select Sector_High_volatility,ProShares UltraPro Financial Select Sector_High_change,ProShares UltraPro Financial Select Sector_Low_average,ProShares UltraPro Financial Select Sector_Low_max,ProShares UltraPro Financial Select Sector_Low_min,ProShares UltraPro Financial Select Sector_Low_volatility,ProShares UltraPro Financial Select Sector_Low_change,ProShares UltraPro Financial Select Sector_Close_average,ProShares UltraPro Financial Select Sector_Close_max,ProShares UltraPro Financial Select Sector_Close_min,ProShares UltraPro Financial Select Sector_Close_volatility,ProShares UltraPro Financial Select Sector_Close_change
2018-01-14,124.59,124.59,124.59,0.0,0.0,126.95,126.95,126.95,0.0,0.0,124.19,124.19,124.19,0.0,0.0,126.95,126.95,126.95,0.0,0.0
2018-01-21,133.2,133.2,133.2,0.0,0.0,134.3,134.3,134.3,0.0,0.0,130.83,130.83,130.83,0.0,0.0,131.25,131.25,131.25,0.0,0.0
2018-01-28,114.46,114.46,114.46,0.0,0.0,119.4,119.4,119.4,0.0,0.0,99.58,99.58,99.58,0.0,0.0,104.5,104.5,104.5,0.0,0.0
2018-02-04,102.73,102.73,102.73,0.0,0.0,106.8,106.8,106.8,0.0,0.0,100.46,100.46,100.46,0.0,0.0,104.2,104.2,104.2,0.0,0.0
2018-02-11,112.96,112.96,112.96,0.0,0.0,117.26,117.26,117.26,0.0,0.0,112.0,112.0,112.0,0.0,0.0,115.1,115.1,115.1,0.0,0.0
2018-02-18,117.86,117.86,117.86,0.0,0.0,120.55,120.55,120.55,0.0,0.0,116.37,116.37,116.37,0.0,0.0,120.41,120.41,120.41,0.0,0.0
2018-02-25,105.1,105.1,105.1,0.0,0.0,113.75,113.75,113.75,0.0,0.0,105.1,105.1,105.1,0.0,0.0,112.54,112.54,112.54,0.0,0.0
2018-03-04,122.56,122.56,122.56,0.0,0.0,123.24,123.24,123.24,0.0,0.0,120.38,120.38,120.38,0.0,0.0,121.45,121.45,121.45,0.0,0.0
2018-03-11,112.93,112.93,112.93,0.0,0.0,113.84,113.84,113.84,0.0,0.0,108.0,108.0,108.0,0.0,0.0,110.15,110.15,110.15,0.0,0.0
2018-03-18,95.0,95.0,95.0,0.0,0.0,99.04,99.04,99.04,0.0,0.0,93.53,93.53,93.53,0.0,0.0,98.57,98.57,98.57,0.0,0.0
2018-03-25,96.59,96.59,96.59,0.0,0.0,96.99,96.99,96.99,0.0,0.0,86.56,86.56,86.56,0.0,0.0,90.74,90.74,90.74,0.0,0.0
2018-04-01,94.55,94.55,94.55,0.0,0.0,99.34,99.34,99.34,0.0,0.0,93.66,93.66,93.66,0.0,0.0,93.67,93.67,93.67,0.0,0.0
2018-04-08,96.64,96.64,96.64,0.0,0.0,98.0,98.0,98.0,0.0,0.0,95.45,95.45,95.45,0.0,0.0,96.25,96.25,96.25,0.0,0.0
2018-04-15,99.62,99.62,99.62,0.0,0.0,99.84,99.84,99.84,0.0,0.0,97.95,97.95,97.95,0.0,0.0,98.32,98.32,98.32,0.0,0.0
2018-04-22,97.54,97.54,97.54,0.0,0.0,99.0,99.0,99.0,0.0,0.0,94.75,94.75,94.75,0.0,0.0,94.8,94.8,94.8,0.0,0.0
2018-04-29,92.89,92.89,92.89,0.0,0.0,95.0,95.0,95.0,0.0,0.0,92.65,92.65,92.65,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2018-05-06,103.98,103.98,103.98,0.0,0.0,103.98,103.98,103.98,0.0,0.0,101.93,101.93,101.93,0.0,0.0,102.27,102.27,102.27,0.0,0.0
2018-05-13,100.94,100.94,100.94,0.0,0.0,102.28,102.28,102.28,0.0,0.0,100.94,100.94,100.94,0.0,0.0,101.25,101.25,101.25,0.0,0.0
