Date,Vanguard FTSE Pacific_Open_average,Vanguard FTSE Pacific_Open_max,Vanguard FTSE Pacific_Open_min,Vanguard FTSE Pacific_Open_volatility,Vanguard FTSE Pacific_Open_change,Vanguard FTSE Pacific_High_average,Vanguard FTSE Pacific_High_max,Vanguard FTSE Pacific_High_min,Vanguard FTSE Pacific_High_volatility,Vanguard FTSE Pacific_High_change,Vanguard FTSE Pacific_Low_average,Vanguard FTSE Pacific_Low_max,Vanguard FTSE Pacific_Low_min,Vanguard FTSE Pacific_Low_volatility,Vanguard FTSE Pacific_Low_change,Vanguard FTSE Pacific_Close_average,Vanguard FTSE Pacific_Close_max,Vanguard FTSE Pacific_Close_min,Vanguard FTSE Pacific_Close_volatility,Vanguard FTSE Pacific_Close_change
2018-01-14,76.4,76.4,76.4,0.0,0.0,76.77,76.77,76.77,0.0,0.0,76.35,76.35,76.35,0.0,0.0,76.73,76.73,76.73,0.0,0.0
2018-01-21,77.4,77.4,77.4,0.0,0.0,77.47,77.47,77.47,0.0,0.0,77.15,77.15,77.15,0.0,0.0,77.28,77.28,77.28,0.0,0.0
2018-01-28,74.06,74.06,74.06,0.0,0.0,74.25,74.25,74.25,0.0,0.0,71.79,71.79,71.79,0.0,0.0,71.95,71.95,71.95,0.0,0.0
2018-02-04,71.34,71.34,71.34,0.0,0.0,72.22,72.22,72.22,0.0,0.0,71.13,71.13,71.13,0.0,0.0,71.98,71.98,71.98,0.0,0.0
2018-02-11,73.83,73.83,73.83,0.0,0.0,74.29,74.29,74.29,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.01,74.01,74.01,0.0,0.0
2018-02-18,74.69,74.69,74.69,0.0,0.0,75.13,75.13,75.13,0.0,0.0,74.48,74.48,74.48,0.0,0.0,75.13,75.13,75.13,0.0,0.0
2018-02-25,72.13,72.13,72.13,0.0,0.0,72.78,72.78,72.78,0.0,0.0,71.78,71.78,71.78,0.0,0.0,72.62,72.62,72.62,0.0,0.0
2018-03-04,74.04,74.04,74.04,0.0,0.0,74.25,74.25,74.25,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-03-11,73.2,73.2,73.2,0.0,0.0,73.21,73.21,73.21,0.0,0.0,72.31,72.31,72.31,0.0,0.0,72.71,72.71,72.71,0.0,0.0
2018-03-18,71.5,71.5,71.5,0.0,0.0,71.82,71.82,71.82,0.0,0.0,70.91,70.91,70.91,0.0,0.0,71.79,71.79,71.79,0.0,0.0
2018-03-25,72.45,72.45,72.45,0.0,0.0,72.86,72.86,72.86,0.0,0.0,71.3,71.3,71.3,0.0,0.0,71.58,71.58,71.58,0.0,0.0
2018-04-01,72.53,72.53,72.53,0.0,0.0,72.94,72.94,72.94,0.0,0.0,72.38,72.38,72.38,0.0,0.0,72.42,72.42,72.42,0.0,0.0
