Date,iShares MSCI EM ESG Optimized_etf_Open_average,iShares MSCI EM ESG Optimized_etf_Open_max,iShares MSCI EM ESG Optimized_etf_Open_min,iShares MSCI EM ESG Optimized_etf_Open_volatility,iShares MSCI EM ESG Optimized_etf_Open_change,iShares MSCI EM ESG Optimized_etf_High_average,iShares MSCI EM ESG Optimized_etf_High_max,iShares MSCI EM ESG Optimized_etf_High_min,iShares MSCI EM ESG Optimized_etf_High_volatility,iShares MSCI EM ESG Optimized_etf_High_change,iShares MSCI EM ESG Optimized_etf_Low_average,iShares MSCI EM ESG Optimized_etf_Low_max,iShares MSCI EM ESG Optimized_etf_Low_min,iShares MSCI EM ESG Optimized_etf_Low_volatility,iShares MSCI EM ESG Optimized_etf_Low_change,iShares MSCI EM ESG Optimized_etf_Close_average,iShares MSCI EM ESG Optimized_etf_Close_max,iShares MSCI EM ESG Optimized_etf_Close_min,iShares MSCI EM ESG Optimized_etf_Close_volatility,iShares MSCI EM ESG Optimized_etf_Close_change
2018-01-14,39.38,39.38,39.38,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.24,39.24,39.24,0.0,0.0,39.45,39.45,39.45,0.0,0.0
2018-01-21,40.59,40.59,40.59,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.48,40.48,40.48,0.0,0.0,40.8,40.8,40.8,0.0,0.0
2018-01-28,39.24,39.24,39.24,0.0,0.0,39.24,39.24,39.24,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.65,38.65,38.65,0.0,0.0
2018-02-04,36.73,36.73,36.73,0.0,0.0,36.97,36.97,36.97,0.0,0.0,35.72,35.72,35.72,0.0,0.0,36.71,36.71,36.71,0.0,0.0
2018-02-11,39.0,39.0,39.0,0.0,0.0,39.28,39.28,39.28,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2018-02-18,38.9,38.9,38.9,0.0,0.0,39.12,39.12,39.12,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-02-25,37.5,37.5,37.5,0.0,0.0,38.03,38.03,38.03,0.0,0.0,37.34,37.34,37.34,0.0,0.0,38.01,38.01,38.01,0.0,0.0
2018-03-04,38.72,38.72,38.72,0.0,0.0,39.16,39.16,39.16,0.0,0.0,38.72,38.72,38.72,0.0,0.0,39.16,39.16,39.16,0.0,0.0
2018-03-11,38.92,38.92,38.92,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.76,38.76,38.76,0.0,0.0,38.87,38.87,38.87,0.0,0.0
2018-03-18,37.7,37.7,37.7,0.0,0.0,37.78,37.78,37.78,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2018-03-25,37.44,37.44,37.44,0.0,0.0,38.02,38.02,38.02,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.87,37.87,37.87,0.0,0.0
2018-04-01,37.3,37.3,37.3,0.0,0.0,37.33,37.33,37.33,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-04-08,37.53,37.53,37.53,0.0,0.0,37.53,37.53,37.53,0.0,0.0,37.1,37.1,37.1,0.0,0.0,37.21,37.21,37.21,0.0,0.0
2018-04-15,37.16,37.16,37.16,0.0,0.0,37.18,37.18,37.18,0.0,0.0,36.8,36.8,36.8,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-04-22,36.88,36.88,36.88,0.0,0.0,36.88,36.88,36.88,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.86,36.86,36.86,0.0,0.0
2018-04-29,35.77,35.77,35.77,0.0,0.0,36.44,36.44,36.44,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2018-05-06,36.94,36.94,36.94,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-05-13,35.7,35.7,35.7,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-05-20,36.13,36.13,36.13,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-05-27,35.78,35.78,35.78,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.78,35.78,35.78,0.0,0.0,36.03,36.03,36.03,0.0,0.0
