Date,SPDR FactSet Innovative Technology_Open_average,SPDR FactSet Innovative Technology_Open_max,SPDR FactSet Innovative Technology_Open_min,SPDR FactSet Innovative Technology_Open_volatility,SPDR FactSet Innovative Technology_Open_change,SPDR FactSet Innovative Technology_High_average,SPDR FactSet Innovative Technology_High_max,SPDR FactSet Innovative Technology_High_min,SPDR FactSet Innovative Technology_High_volatility,SPDR FactSet Innovative Technology_High_change,SPDR FactSet Innovative Technology_Low_average,SPDR FactSet Innovative Technology_Low_max,SPDR FactSet Innovative Technology_Low_min,SPDR FactSet Innovative Technology_Low_volatility,SPDR FactSet Innovative Technology_Low_change,SPDR FactSet Innovative Technology_Close_average,SPDR FactSet Innovative Technology_Close_max,SPDR FactSet Innovative Technology_Close_min,SPDR FactSet Innovative Technology_Close_volatility,SPDR FactSet Innovative Technology_Close_change
2018-01-14,83.26,83.26,83.26,0.0,0.0,83.26,83.26,83.26,0.0,0.0,83.01,83.01,83.01,0.0,0.0,83.23,83.23,83.23,0.0,0.0
2018-01-21,85.06,85.06,85.06,0.0,0.0,85.38,85.38,85.38,0.0,0.0,84.8,84.8,84.8,0.0,0.0,84.8,84.8,84.8,0.0,0.0
2018-01-28,81.93,81.93,81.93,0.0,0.0,82.99,82.99,82.99,0.0,0.0,80.21,80.21,80.21,0.0,0.0,81.13,81.13,81.13,0.0,0.0
2018-02-04,79.94,79.94,79.94,0.0,0.0,80.97,80.97,80.97,0.0,0.0,79.34,79.34,79.34,0.0,0.0,80.81,80.81,80.81,0.0,0.0
2018-02-11,86.12,86.12,86.12,0.0,0.0,86.23,86.23,86.23,0.0,0.0,85.9,85.9,85.9,0.0,0.0,86.11,86.11,86.11,0.0,0.0
2018-02-18,87.6,87.6,87.6,0.0,0.0,87.6,87.6,87.6,0.0,0.0,87.21,87.21,87.21,0.0,0.0,87.54,87.54,87.54,0.0,0.0
2018-02-25,86.55,86.55,86.55,0.0,0.0,89.17,89.17,89.17,0.0,0.0,86.55,86.55,86.55,0.0,0.0,89.17,89.17,89.17,0.0,0.0
2018-03-04,92.98,92.98,92.98,0.0,0.0,93.2,93.2,93.2,0.0,0.0,92.79,92.79,92.79,0.0,0.0,93.16,93.16,93.16,0.0,0.0
2018-03-11,92.02,92.02,92.02,0.0,0.0,92.02,92.02,92.02,0.0,0.0,89.76,89.76,89.76,0.0,0.0,90.47,90.47,90.47,0.0,0.0
2018-03-18,89.49,89.49,89.49,0.0,0.0,90.31,90.31,90.31,0.0,0.0,88.03,88.03,88.03,0.0,0.0,90.31,90.31,90.31,0.0,0.0
2018-03-25,87.07,87.07,87.07,0.0,0.0,87.36,87.36,87.36,0.0,0.0,85.28,85.28,85.28,0.0,0.0,85.48,85.48,85.48,0.0,0.0
2018-04-01,86.14,86.14,86.14,0.0,0.0,86.88,86.88,86.88,0.0,0.0,86.14,86.14,86.14,0.0,0.0,86.36,86.36,86.36,0.0,0.0
2018-04-08,88.0,88.0,88.0,0.0,0.0,88.2,88.2,88.2,0.0,0.0,87.64,87.64,87.64,0.0,0.0,88.2,88.2,88.2,0.0,0.0
2018-04-15,89.26,89.26,89.26,0.0,0.0,89.43,89.43,89.43,0.0,0.0,88.76,88.76,88.76,0.0,0.0,88.85,88.85,88.85,0.0,0.0
2018-04-22,87.43,87.43,87.43,0.0,0.0,88.04,88.04,88.04,0.0,0.0,87.41,87.41,87.41,0.0,0.0,87.57,87.57,87.57,0.0,0.0
2018-04-29,89.73,89.73,89.73,0.0,0.0,91.95,91.95,91.95,0.0,0.0,89.73,89.73,89.73,0.0,0.0,91.17,91.17,91.17,0.0,0.0
2018-05-06,94.56,94.56,94.56,0.0,0.0,94.83,94.83,94.83,0.0,0.0,93.05,93.05,93.05,0.0,0.0,93.05,93.05,93.05,0.0,0.0
2018-05-13,95.29,95.29,95.29,0.0,0.0,95.53,95.53,95.53,0.0,0.0,93.92,93.92,93.92,0.0,0.0,94.13,94.13,94.13,0.0,0.0
2018-05-20,94.4,94.4,94.4,0.0,0.0,94.72,94.72,94.72,0.0,0.0,94.4,94.4,94.4,0.0,0.0,94.48,94.48,94.48,0.0,0.0
2018-05-27,97.89,97.89,97.89,0.0,0.0,98.22,98.22,98.22,0.0,0.0,97.13,97.13,97.13,0.0,0.0,98.06,98.06,98.06,0.0,0.0
2018-06-03,98.34,98.34,98.34,0.0,0.0,99.68,99.68,99.68,0.0,0.0,98.34,98.34,98.34,0.0,0.0,99.3,99.3,99.3,0.0,0.0
2018-06-10,101.15,101.15,101.15,0.0,0.0,102.47,102.47,102.47,0.0,0.0,100.54,100.54,100.54,0.0,0.0,102.47,102.47,102.47,0.0,0.0
2018-06-17,98.17,98.17,98.17,0.0,0.0,98.17,98.17,98.17,0.0,0.0,94.76,94.76,94.76,0.0,0.0,95.59,95.59,95.59,0.0,0.0
2018-06-24,94.87,94.87,94.87,0.0,0.0,96.71,96.71,96.71,0.0,0.0,92.6,92.6,92.6,0.0,0.0,96.71,96.71,96.71,0.0,0.0
2018-07-01,99.71,99.71,99.71,0.0,0.0,99.8,99.8,99.8,0.0,0.0,98.58,98.58,98.58,0.0,0.0,99.22,99.22,99.22,0.0,0.0
2018-07-08,100.23,100.23,100.23,0.0,0.0,100.81,100.81,100.81,0.0,0.0,100.15,100.15,100.15,0.0,0.0,100.28,100.28,100.28,0.0,0.0
2018-07-15,100.0,100.0,100.0,0.0,0.0,100.95,100.95,100.95,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.95,100.95,100.95,0.0,0.0
2018-07-22,97.02,97.02,97.02,0.0,0.0,97.83,97.83,97.83,0.0,0.0,93.44,93.44,93.44,0.0,0.0,94.16,94.16,94.16,0.0,0.0
2018-07-29,96.6,96.6,96.6,0.0,0.0,97.25,97.25,97.25,0.0,0.0,95.93,95.93,95.93,0.0,0.0,97.14,97.14,97.14,0.0,0.0
2018-08-05,99.11,99.11,99.11,0.0,0.0,100.8,100.8,100.8,0.0,0.0,98.33,98.33,98.33,0.0,0.0,98.33,98.33,98.33,0.0,0.0
2018-08-12,99.49,99.49,99.49,0.0,0.0,99.49,99.49,99.49,0.0,0.0,96.82,96.82,96.82,0.0,0.0,98.79,98.79,98.79,0.0,0.0
2018-08-19,104.12,104.12,104.12,0.0,0.0,104.85,104.85,104.85,0.0,0.0,103.85,103.85,103.85,0.0,0.0,104.05,104.05,104.05,0.0,0.0
2018-08-26,104.33,104.33,104.33,0.0,0.0,105.3,105.3,105.3,0.0,0.0,104.33,104.33,104.33,0.0,0.0,105.19,105.19,105.19,0.0,0.0
2018-09-02,103.72,103.72,103.72,0.0,0.0,105.36,105.36,105.36,0.0,0.0,102.51,102.51,102.51,0.0,0.0,103.47,103.47,103.47,0.0,0.0
2018-09-09,104.04,104.04,104.04,0.0,0.0,104.04,104.04,104.04,0.0,0.0,103.12,103.12,103.12,0.0,0.0,103.23,103.23,103.23,0.0,0.0
2018-09-16,102.2,102.2,102.2,0.0,0.0,103.19,103.19,103.19,0.0,0.0,101.17,101.17,101.17,0.0,0.0,102.93,102.93,102.93,0.0,0.0
2018-09-23,104.93,104.93,104.93,0.0,0.0,104.93,104.93,104.93,0.0,0.0,102.32,102.32,102.32,0.0,0.0,102.32,102.32,102.32,0.0,0.0
2018-09-30,97.06,97.06,97.06,0.0,0.0,97.06,97.06,97.06,0.0,0.0,94.0,94.0,94.0,0.0,0.0,94.92,94.92,94.92,0.0,0.0
2018-10-07,91.75,91.75,91.75,0.0,0.0,92.2,92.2,92.2,0.0,0.0,90.36,90.36,90.36,0.0,0.0,91.48,91.48,91.48,0.0,0.0
2018-10-14,90.44,90.44,90.44,0.0,0.0,91.58,91.58,91.58,0.0,0.0,90.0,90.0,90.0,0.0,0.0,91.4,91.4,91.4,0.0,0.0
2018-10-21,87.42,87.42,87.42,0.0,0.0,88.26,88.26,88.26,0.0,0.0,83.7,83.7,83.7,0.0,0.0,84.87,84.87,84.87,0.0,0.0
2018-10-28,91.73,91.73,91.73,0.0,0.0,92.3,92.3,92.3,0.0,0.0,89.74,89.74,89.74,0.0,0.0,91.05,91.05,91.05,0.0,0.0
2018-11-04,90.45,90.45,90.45,0.0,0.0,90.45,90.45,90.45,0.0,0.0,86.88,86.88,86.88,0.0,0.0,87.64,87.64,87.64,0.0,0.0
2018-11-11,89.29,89.29,89.29,0.0,0.0,89.29,89.29,89.29,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.37,84.37,84.37,0.0,0.0
2018-11-18,86.75,86.75,86.75,0.0,0.0,87.62,87.62,87.62,0.0,0.0,86.35,86.35,86.35,0.0,0.0,87.52,87.52,87.52,0.0,0.0
2018-11-25,95.14,95.14,95.14,0.0,0.0,95.14,95.14,95.14,0.0,0.0,92.29,92.29,92.29,0.0,0.0,93.29,93.29,93.29,0.0,0.0
2018-12-02,87.19,87.19,87.19,0.0,0.0,89.16,89.16,89.16,0.0,0.0,87.19,87.19,87.19,0.0,0.0,88.96,88.96,88.96,0.0,0.0
2018-12-09,87.34,87.34,87.34,0.0,0.0,87.39,87.39,87.39,0.0,0.0,84.07,84.07,84.07,0.0,0.0,84.22,84.22,84.22,0.0,0.0
