Date,iShares Morningstar Mid-Cap Value_Open_average,iShares Morningstar Mid-Cap Value_Open_max,iShares Morningstar Mid-Cap Value_Open_min,iShares Morningstar Mid-Cap Value_Open_volatility,iShares Morningstar Mid-Cap Value_Open_change,iShares Morningstar Mid-Cap Value_High_average,iShares Morningstar Mid-Cap Value_High_max,iShares Morningstar Mid-Cap Value_High_min,iShares Morningstar Mid-Cap Value_High_volatility,iShares Morningstar Mid-Cap Value_High_change,iShares Morningstar Mid-Cap Value_Low_average,iShares Morningstar Mid-Cap Value_Low_max,iShares Morningstar Mid-Cap Value_Low_min,iShares Morningstar Mid-Cap Value_Low_volatility,iShares Morningstar Mid-Cap Value_Low_change,iShares Morningstar Mid-Cap Value_Close_average,iShares Morningstar Mid-Cap Value_Close_max,iShares Morningstar Mid-Cap Value_Close_min,iShares Morningstar Mid-Cap Value_Close_volatility,iShares Morningstar Mid-Cap Value_Close_change
2018-01-14,165.64,165.64,165.64,0.0,0.0,166.86,166.86,166.86,0.0,0.0,165.64,165.64,165.64,0.0,0.0,166.86,166.86,166.86,0.0,0.0
2018-01-21,167.8,167.8,167.8,0.0,0.0,168.22,168.22,168.22,0.0,0.0,166.75,166.75,166.75,0.0,0.0,166.75,166.75,166.75,0.0,0.0
2018-01-28,159.25,159.25,159.25,0.0,0.0,160.48,160.48,160.48,0.0,0.0,154.62,154.62,154.62,0.0,0.0,154.62,154.62,154.62,0.0,0.0
2018-02-04,154.6,154.6,154.6,0.0,0.0,156.04,156.04,156.04,0.0,0.0,153.68,153.68,153.68,0.0,0.0,155.26,155.26,155.26,0.0,0.0
2018-02-11,158.84,158.84,158.84,0.0,0.0,160.89,160.89,160.89,0.0,0.0,158.84,158.84,158.84,0.0,0.0,160.13,160.13,160.13,0.0,0.0
2018-02-18,160.25,160.25,160.25,0.0,0.0,160.69,160.69,160.69,0.0,0.0,159.73,159.73,159.73,0.0,0.0,160.36,160.36,160.36,0.0,0.0
2018-02-25,156.23,156.23,156.23,0.0,0.0,159.51,159.51,159.51,0.0,0.0,155.75,155.75,155.75,0.0,0.0,159.16,159.16,159.16,0.0,0.0
2018-03-04,161.29,161.29,161.29,0.0,0.0,161.4,161.4,161.4,0.0,0.0,161.14,161.14,161.14,0.0,0.0,161.19,161.19,161.19,0.0,0.0
2018-03-11,159.59,159.59,159.59,0.0,0.0,159.59,159.59,159.59,0.0,0.0,157.9,157.9,157.9,0.0,0.0,158.24,158.24,158.24,0.0,0.0
2018-03-18,154.39,154.39,154.39,0.0,0.0,155.16,155.16,155.16,0.0,0.0,153.19,153.19,153.19,0.0,0.0,155.16,155.16,155.16,0.0,0.0
2018-03-25,155.42,155.42,155.42,0.0,0.0,155.92,155.92,155.92,0.0,0.0,151.36,151.36,151.36,0.0,0.0,152.72,152.72,152.72,0.0,0.0
