Date,iShares GovernmentCredit Bond_Open_average,iShares GovernmentCredit Bond_Open_max,iShares GovernmentCredit Bond_Open_min,iShares GovernmentCredit Bond_Open_volatility,iShares GovernmentCredit Bond_Open_change,iShares GovernmentCredit Bond_High_average,iShares GovernmentCredit Bond_High_max,iShares GovernmentCredit Bond_High_min,iShares GovernmentCredit Bond_High_volatility,iShares GovernmentCredit Bond_High_change,iShares GovernmentCredit Bond_Low_average,iShares GovernmentCredit Bond_Low_max,iShares GovernmentCredit Bond_Low_min,iShares GovernmentCredit Bond_Low_volatility,iShares GovernmentCredit Bond_Low_change,iShares GovernmentCredit Bond_Close_average,iShares GovernmentCredit Bond_Close_max,iShares GovernmentCredit Bond_Close_min,iShares GovernmentCredit Bond_Close_volatility,iShares GovernmentCredit Bond_Close_change
2018-01-14,112.84,112.84,112.84,0.0,0.0,112.92,112.92,112.92,0.0,0.0,112.7,112.7,112.7,0.0,0.0,112.7,112.7,112.7,0.0,0.0
2018-01-21,112.88,112.88,112.88,0.0,0.0,112.95,112.95,112.95,0.0,0.0,112.78,112.78,112.78,0.0,0.0,112.86,112.86,112.86,0.0,0.0
2018-01-28,111.76,111.76,111.76,0.0,0.0,111.96,111.96,111.96,0.0,0.0,111.69,111.69,111.69,0.0,0.0,111.72,111.72,111.72,0.0,0.0
2018-02-04,111.42,111.42,111.42,0.0,0.0,111.48,111.48,111.48,0.0,0.0,111.19,111.19,111.19,0.0,0.0,111.19,111.19,111.19,0.0,0.0
2018-02-11,111.34,111.34,111.34,0.0,0.0,111.44,111.44,111.44,0.0,0.0,111.11,111.11,111.11,0.0,0.0,111.42,111.42,111.42,0.0,0.0
2018-02-18,111.14,111.14,111.14,0.0,0.0,111.19,111.19,111.19,0.0,0.0,111.14,111.14,111.14,0.0,0.0,111.19,111.19,111.19,0.0,0.0
2018-02-25,110.85,110.85,110.85,0.0,0.0,110.99,110.99,110.99,0.0,0.0,110.78,110.78,110.78,0.0,0.0,110.84,110.84,110.84,0.0,0.0
2018-03-04,110.69,110.69,110.69,0.0,0.0,110.86,110.86,110.86,0.0,0.0,110.69,110.69,110.69,0.0,0.0,110.79,110.79,110.79,0.0,0.0
2018-03-11,111.02,111.02,111.02,0.0,0.0,111.18,111.18,111.18,0.0,0.0,111.01,111.01,111.01,0.0,0.0,111.06,111.06,111.06,0.0,0.0
2018-03-18,110.93,110.93,110.93,0.0,0.0,111.03,111.03,111.03,0.0,0.0,110.93,110.93,110.93,0.0,0.0,111.03,111.03,111.03,0.0,0.0
2018-03-25,111.56,111.56,111.56,0.0,0.0,111.6,111.6,111.6,0.0,0.0,111.55,111.55,111.55,0.0,0.0,111.6,111.6,111.6,0.0,0.0
2018-04-01,111.14,111.14,111.14,0.0,0.0,111.3,111.3,111.3,0.0,0.0,111.09,111.09,111.09,0.0,0.0,111.1,111.1,111.1,0.0,0.0
2018-04-08,111.12,111.12,111.12,0.0,0.0,111.2,111.2,111.2,0.0,0.0,111.12,111.12,111.12,0.0,0.0,111.2,111.2,111.2,0.0,0.0
2018-04-15,110.6,110.6,110.6,0.0,0.0,110.65,110.65,110.65,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.63,110.63,110.63,0.0,0.0
2018-04-22,110.24,110.24,110.24,0.0,0.0,110.26,110.26,110.26,0.0,0.0,110.22,110.22,110.22,0.0,0.0,110.22,110.22,110.22,0.0,0.0
2018-04-29,110.16,110.16,110.16,0.0,0.0,110.16,110.16,110.16,0.0,0.0,110.0,110.0,110.0,0.0,0.0,110.08,110.08,110.08,0.0,0.0
2018-05-06,110.08,110.08,110.08,0.0,0.0,110.08,110.08,110.08,0.0,0.0,110.0,110.0,110.0,0.0,0.0,110.06,110.06,110.06,0.0,0.0
2018-05-13,109.5,109.5,109.5,0.0,0.0,109.5,109.5,109.5,0.0,0.0,109.5,109.5,109.5,0.0,0.0,109.5,109.5,109.5,0.0,0.0
2018-05-20,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0,110.29,110.29,110.29,0.0,0.0
2018-05-27,110.46,110.46,110.46,0.0,0.0,110.46,110.46,110.46,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.43,110.43,110.43,0.0,0.0
2018-06-03,110.03,110.03,110.03,0.0,0.0,110.12,110.12,110.12,0.0,0.0,110.03,110.03,110.03,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2018-06-10,110.43,110.43,110.43,0.0,0.0,110.43,110.43,110.43,0.0,0.0,110.18,110.18,110.18,0.0,0.0,110.28,110.28,110.28,0.0,0.0
2018-06-17,110.07,110.07,110.07,0.0,0.0,110.13,110.13,110.13,0.0,0.0,109.99,109.99,109.99,0.0,0.0,110.13,110.13,110.13,0.0,0.0
2018-06-24,110.48,110.48,110.48,0.0,0.0,110.48,110.48,110.48,0.0,0.0,110.42,110.42,110.42,0.0,0.0,110.42,110.42,110.42,0.0,0.0
2018-07-01,110.64,110.64,110.64,0.0,0.0,110.68,110.68,110.68,0.0,0.0,110.5,110.5,110.5,0.0,0.0,110.64,110.64,110.64,0.0,0.0
2018-07-08,110.88,110.88,110.88,0.0,0.0,110.88,110.88,110.88,0.0,0.0,110.69,110.69,110.69,0.0,0.0,110.7,110.7,110.7,0.0,0.0
2018-07-15,110.42,110.42,110.42,0.0,0.0,110.48,110.48,110.48,0.0,0.0,110.39,110.39,110.39,0.0,0.0,110.4,110.4,110.4,0.0,0.0
2018-07-22,110.23,110.23,110.23,0.0,0.0,110.23,110.23,110.23,0.0,0.0,110.2,110.2,110.2,0.0,0.0,110.2,110.2,110.2,0.0,0.0
2018-07-29,109.99,109.99,109.99,0.0,0.0,110.19,110.19,110.19,0.0,0.0,109.99,109.99,109.99,0.0,0.0,110.17,110.17,110.17,0.0,0.0
2018-08-05,110.54,110.54,110.54,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.44,110.44,110.44,0.0,0.0,110.57,110.57,110.57,0.0,0.0
2018-08-12,110.74,110.74,110.74,0.0,0.0,110.74,110.74,110.74,0.0,0.0,110.57,110.57,110.57,0.0,0.0,110.68,110.68,110.68,0.0,0.0
2018-08-19,111.09,111.09,111.09,0.0,0.0,111.09,111.09,111.09,0.0,0.0,111.09,111.09,111.09,0.0,0.0,111.09,111.09,111.09,0.0,0.0
2018-08-26,110.81,110.81,110.81,0.0,0.0,110.83,110.83,110.83,0.0,0.0,110.71,110.71,110.71,0.0,0.0,110.71,110.71,110.71,0.0,0.0
2018-09-02,110.09,110.09,110.09,0.0,0.0,110.12,110.12,110.12,0.0,0.0,109.99,109.99,109.99,0.0,0.0,110.01,110.01,110.01,0.0,0.0
2018-09-09,109.98,109.98,109.98,0.0,0.0,109.98,109.98,109.98,0.0,0.0,109.98,109.98,109.98,0.0,0.0,109.98,109.98,109.98,0.0,0.0
2018-09-16,109.73,109.73,109.73,0.0,0.0,109.73,109.73,109.73,0.0,0.0,109.55,109.55,109.55,0.0,0.0,109.55,109.55,109.55,0.0,0.0
2018-09-23,109.8,109.8,109.8,0.0,0.0,109.89,109.89,109.89,0.0,0.0,109.79,109.79,109.79,0.0,0.0,109.89,109.89,109.89,0.0,0.0
2018-09-30,108.46,108.46,108.46,0.0,0.0,108.46,108.46,108.46,0.0,0.0,108.46,108.46,108.46,0.0,0.0,108.46,108.46,108.46,0.0,0.0
2018-10-07,108.87,108.87,108.87,0.0,0.0,109.11,109.11,109.11,0.0,0.0,108.87,108.87,108.87,0.0,0.0,108.96,108.96,108.96,0.0,0.0
2018-10-14,108.81,108.81,108.81,0.0,0.0,108.84,108.84,108.84,0.0,0.0,108.5,108.5,108.5,0.0,0.0,108.5,108.5,108.5,0.0,0.0
2018-10-21,109.14,109.14,109.14,0.0,0.0,109.22,109.22,109.22,0.0,0.0,109.12,109.12,109.12,0.0,0.0,109.17,109.17,109.17,0.0,0.0
2018-10-28,108.32,108.32,108.32,0.0,0.0,108.33,108.33,108.33,0.0,0.0,108.17,108.17,108.17,0.0,0.0,108.19,108.19,108.19,0.0,0.0
2018-11-04,108.39,108.39,108.39,0.0,0.0,108.39,108.39,108.39,0.0,0.0,108.29,108.29,108.29,0.0,0.0,108.39,108.39,108.39,0.0,0.0
2018-11-11,108.82,108.82,108.82,0.0,0.0,108.82,108.82,108.82,0.0,0.0,108.6,108.6,108.6,0.0,0.0,108.72,108.72,108.72,0.0,0.0
2018-11-18,108.83,108.83,108.83,0.0,0.0,109.03,109.03,109.03,0.0,0.0,108.79,108.79,108.79,0.0,0.0,108.92,108.92,108.92,0.0,0.0
2018-11-25,108.79,108.79,108.79,0.0,0.0,109.07,109.07,109.07,0.0,0.0,108.74,108.74,108.74,0.0,0.0,108.83,108.83,108.83,0.0,0.0
