Date,EGHT_stock_Open_average,EGHT_stock_Open_max,EGHT_stock_Open_min,EGHT_stock_Open_volatility,EGHT_stock_Open_change,EGHT_stock_High_average,EGHT_stock_High_max,EGHT_stock_High_min,EGHT_stock_High_volatility,EGHT_stock_High_change,EGHT_stock_Low_average,EGHT_stock_Low_max,EGHT_stock_Low_min,EGHT_stock_Low_volatility,EGHT_stock_Low_change,EGHT_stock_Close_average,EGHT_stock_Close_max,EGHT_stock_Close_min,EGHT_stock_Close_volatility,EGHT_stock_Close_change,EGHT_stock_Volume_average,EGHT_stock_Volume_max,EGHT_stock_Volume_min,EGHT_stock_Volume_volatility,EGHT_stock_Volume_change
2018-01-14,15.9375,16.15,15.45,0.6999999999999993,0.6999999999999993,16.28,16.77,15.55,1.2199999999999989,1.2199999999999989,15.5625,15.95,15.05,0.8999999999999986,0.8999999999999986,16.025,16.6,15.3,1.3000000000000007,1.3000000000000007,1040576,1332807,752581,580226,469572
2018-01-21,16.73,17.4,15.85,1.549999999999999,0.75,17.189999999999998,18.5,16.2,2.3000000000000007,1.1000000000000014,16.18,17.15,15.45,1.6999999999999993,0.75,16.65,17.75,15.65,2.0999999999999996,0.3999999999999986,2293220,4171758,915507,3256251,1474633
2018-01-28,17.7,18.1,17.45,0.6500000000000021,-0.15000000000000213,17.96,18.2,17.6,0.5999999999999979,-0.5499999999999972,17.42,17.6,17.2,0.40000000000000213,-0.3500000000000014,17.71,17.9,17.5,0.3999999999999986,-0.34999999999999787,1247146,1634771,776357,858414,-683479
2018-02-04,16.92,17.3,16.35,0.9499999999999993,-0.6000000000000014,17.24,17.55,16.93,0.620000000000001,-0.620000000000001,16.38,16.85,15.75,1.1000000000000014,-0.9499999999999993,16.810000000000002,17.1,16.35,0.75,0.05000000000000071,930135,1080041,654116,425925,87696
2018-02-11,17.6,18.35,16.85,1.5,1.4000000000000021,18.09,18.75,17.1,1.6499999999999986,1.6499999999999986,17.376,18.25,16.6,1.6499999999999986,1.6499999999999986,17.89,18.5,16.8,1.6999999999999993,1.6999999999999993,1047914,2025526,613330,1412196,148789
2018-02-18,18.6125,18.95,18.3,0.6499999999999986,0.34999999999999787,18.92,19.13,18.65,0.4800000000000004,-0.4800000000000004,18.2675,18.45,18.02,0.4299999999999997,-0.28000000000000114,18.6375,18.95,18.45,0.5,-0.3999999999999986,963723,1798687,519294,1279393,-1198191
2018-02-25,18.400000000000002,18.6,18.1,0.5,-0.5,18.78,19.15,18.5,0.6499999999999986,0.29999999999999716,18.19,18.5,17.85,0.6499999999999986,-0.5,18.53,19.1,18.25,0.8500000000000014,0.5,661264,949407,418539,530868,331222
2018-03-04,19.63,20.0,19.0,1.0,0.9499999999999993,19.95,20.05,19.75,0.3000000000000007,0.1999999999999993,19.332,19.6,18.85,0.75,0.75,19.79,20.0,19.6,0.3999999999999986,0.25,800951,1136710,320530,816180,-707776
2018-03-11,19.64,20.0,19.4,0.6000000000000014,-0.5500000000000007,19.74,20.0,19.45,0.5500000000000007,-0.3500000000000014,19.22,19.35,19.15,0.20000000000000284,-0.15000000000000213,19.52,19.8,19.35,0.4499999999999993,-0.15000000000000213,666403,1316662,387145,929517,929517
2018-03-18,19.69,20.0,19.45,0.5500000000000007,-0.10000000000000142,19.936,20.25,19.55,0.6999999999999993,-0.129999999999999,19.28,19.65,19.0,0.6499999999999986,-0.04999999999999716,19.650000000000002,20.25,19.1,1.1499999999999986,-0.5,576623,690770,436952,253818,129763
