Date,ProShares Ultra Nasdaq Biotechnology_etf_Open_average,ProShares Ultra Nasdaq Biotechnology_etf_Open_max,ProShares Ultra Nasdaq Biotechnology_etf_Open_min,ProShares Ultra Nasdaq Biotechnology_etf_Open_volatility,ProShares Ultra Nasdaq Biotechnology_etf_Open_change,ProShares Ultra Nasdaq Biotechnology_etf_High_average,ProShares Ultra Nasdaq Biotechnology_etf_High_max,ProShares Ultra Nasdaq Biotechnology_etf_High_min,ProShares Ultra Nasdaq Biotechnology_etf_High_volatility,ProShares Ultra Nasdaq Biotechnology_etf_High_change,ProShares Ultra Nasdaq Biotechnology_etf_Low_average,ProShares Ultra Nasdaq Biotechnology_etf_Low_max,ProShares Ultra Nasdaq Biotechnology_etf_Low_min,ProShares Ultra Nasdaq Biotechnology_etf_Low_volatility,ProShares Ultra Nasdaq Biotechnology_etf_Low_change,ProShares Ultra Nasdaq Biotechnology_etf_Close_average,ProShares Ultra Nasdaq Biotechnology_etf_Close_max,ProShares Ultra Nasdaq Biotechnology_etf_Close_min,ProShares Ultra Nasdaq Biotechnology_etf_Close_volatility,ProShares Ultra Nasdaq Biotechnology_etf_Close_change
2018-01-14,60.88,60.88,60.88,0.0,0.0,61.7,61.7,61.7,0.0,0.0,60.84,60.84,60.84,0.0,0.0,61.54,61.54,61.54,0.0,0.0
2018-01-21,66.88,66.88,66.88,0.0,0.0,68.62,68.62,68.62,0.0,0.0,66.88,66.88,66.88,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-01-28,62.85,62.85,62.85,0.0,0.0,63.59,63.59,63.59,0.0,0.0,61.35,61.35,61.35,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2018-02-04,54.11,54.11,54.11,0.0,0.0,55.21,55.21,55.21,0.0,0.0,49.56,49.56,49.56,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2018-02-11,59.46,59.46,59.46,0.0,0.0,60.45,60.45,60.45,0.0,0.0,58.68,58.68,58.68,0.0,0.0,59.15,59.15,59.15,0.0,0.0
2018-02-18,57.73,57.73,57.73,0.0,0.0,59.53,59.53,59.53,0.0,0.0,56.85,56.85,56.85,0.0,0.0,59.44,59.44,59.44,0.0,0.0
2018-02-25,54.01,54.01,54.01,0.0,0.0,58.45,58.45,58.45,0.0,0.0,53.89,53.89,53.89,0.0,0.0,58.25,58.25,58.25,0.0,0.0
2018-03-04,61.98,61.98,61.98,0.0,0.0,63.42,63.42,63.42,0.0,0.0,61.63,61.63,61.63,0.0,0.0,63.27,63.27,63.27,0.0,0.0
2018-03-11,61.55,61.55,61.55,0.0,0.0,62.35,62.35,62.35,0.0,0.0,61.43,61.43,61.43,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2018-03-18,56.25,56.25,56.25,0.0,0.0,56.78,56.78,56.78,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-03-25,54.01,54.01,54.01,0.0,0.0,56.02,56.02,56.02,0.0,0.0,53.73,53.73,53.73,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2018-04-01,50.79,50.79,50.79,0.0,0.0,51.4,51.4,51.4,0.0,0.0,48.17,48.17,48.17,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-04-08,55.0,55.0,55.0,0.0,0.0,55.0,55.0,55.0,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-04-15,53.77,53.77,53.77,0.0,0.0,53.92,53.92,53.92,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2018-04-22,53.01,53.01,53.01,0.0,0.0,53.42,53.42,53.42,0.0,0.0,52.3,52.3,52.3,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-04-29,48.64,48.64,48.64,0.0,0.0,50.52,50.52,50.52,0.0,0.0,48.61,48.61,48.61,0.0,0.0,49.97,49.97,49.97,0.0,0.0
2018-05-06,51.25,51.25,51.25,0.0,0.0,54.42,54.42,54.42,0.0,0.0,51.25,51.25,51.25,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2018-05-13,54.88,54.88,54.88,0.0,0.0,55.65,55.65,55.65,0.0,0.0,54.74,54.74,54.74,0.0,0.0,55.23,55.23,55.23,0.0,0.0
2018-05-20,54.83,54.83,54.83,0.0,0.0,55.23,55.23,55.23,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.94,54.94,54.94,0.0,0.0
