Date,iShares MSCI Japan Small-Cap_Open_average,iShares MSCI Japan Small-Cap_Open_max,iShares MSCI Japan Small-Cap_Open_min,iShares MSCI Japan Small-Cap_Open_volatility,iShares MSCI Japan Small-Cap_Open_change,iShares MSCI Japan Small-Cap_High_average,iShares MSCI Japan Small-Cap_High_max,iShares MSCI Japan Small-Cap_High_min,iShares MSCI Japan Small-Cap_High_volatility,iShares MSCI Japan Small-Cap_High_change,iShares MSCI Japan Small-Cap_Low_average,iShares MSCI Japan Small-Cap_Low_max,iShares MSCI Japan Small-Cap_Low_min,iShares MSCI Japan Small-Cap_Low_volatility,iShares MSCI Japan Small-Cap_Low_change,iShares MSCI Japan Small-Cap_Close_average,iShares MSCI Japan Small-Cap_Close_max,iShares MSCI Japan Small-Cap_Close_min,iShares MSCI Japan Small-Cap_Close_volatility,iShares MSCI Japan Small-Cap_Close_change
2018-01-14,83.41,83.41,83.41,0.0,0.0,83.72,83.72,83.72,0.0,0.0,83.32,83.32,83.32,0.0,0.0,83.72,83.72,83.72,0.0,0.0
2018-01-21,84.81,84.81,84.81,0.0,0.0,85.02,85.02,85.02,0.0,0.0,84.65,84.65,84.65,0.0,0.0,84.75,84.75,84.75,0.0,0.0
2018-01-28,81.06,81.06,81.06,0.0,0.0,81.54,81.54,81.54,0.0,0.0,78.65,78.65,78.65,0.0,0.0,78.81,78.81,78.81,0.0,0.0
2018-02-04,78.33,78.33,78.33,0.0,0.0,79.07,79.07,79.07,0.0,0.0,78.02,78.02,78.02,0.0,0.0,78.94,78.94,78.94,0.0,0.0
2018-02-11,80.51,80.51,80.51,0.0,0.0,80.74,80.74,80.74,0.0,0.0,80.35,80.35,80.35,0.0,0.0,80.62,80.62,80.62,0.0,0.0
2018-02-18,82.4,82.4,82.4,0.0,0.0,82.87,82.87,82.87,0.0,0.0,82.21,82.21,82.21,0.0,0.0,82.87,82.87,82.87,0.0,0.0
2018-02-25,79.24,79.24,79.24,0.0,0.0,80.19,80.19,80.19,0.0,0.0,79.22,79.22,79.22,0.0,0.0,80.14,80.14,80.14,0.0,0.0
2018-03-04,81.12,81.12,81.12,0.0,0.0,81.17,81.17,81.17,0.0,0.0,80.82,80.82,80.82,0.0,0.0,80.95,80.95,80.95,0.0,0.0
2018-03-11,80.59,80.59,80.59,0.0,0.0,80.59,80.59,80.59,0.0,0.0,79.43,79.43,79.43,0.0,0.0,79.85,79.85,79.85,0.0,0.0
2018-03-18,78.93,78.93,78.93,0.0,0.0,79.12,79.12,79.12,0.0,0.0,78.38,78.38,78.38,0.0,0.0,79.09,79.09,79.09,0.0,0.0
2018-03-25,81.27,81.27,81.27,0.0,0.0,81.32,81.32,81.32,0.0,0.0,79.99,79.99,79.99,0.0,0.0,80.37,80.37,80.37,0.0,0.0
2018-04-01,81.44,81.44,81.44,0.0,0.0,82.0,82.0,82.0,0.0,0.0,81.38,81.38,81.38,0.0,0.0,81.43,81.43,81.43,0.0,0.0
2018-04-08,81.33,81.33,81.33,0.0,0.0,81.41,81.41,81.41,0.0,0.0,81.15,81.15,81.15,0.0,0.0,81.22,81.22,81.22,0.0,0.0
2018-04-15,81.47,81.47,81.47,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.01,81.01,81.01,0.0,0.0,81.23,81.23,81.23,0.0,0.0
2018-04-22,81.75,81.75,81.75,0.0,0.0,81.96,81.96,81.96,0.0,0.0,81.45,81.45,81.45,0.0,0.0,81.45,81.45,81.45,0.0,0.0
2018-04-29,81.79,81.79,81.79,0.0,0.0,81.89,81.89,81.89,0.0,0.0,81.59,81.59,81.59,0.0,0.0,81.81,81.81,81.81,0.0,0.0
2018-05-06,82.84,82.84,82.84,0.0,0.0,83.1,83.1,83.1,0.0,0.0,82.73,82.73,82.73,0.0,0.0,83.09,83.09,83.09,0.0,0.0
2018-05-13,82.0,82.0,82.0,0.0,0.0,82.18,82.18,82.18,0.0,0.0,82.0,82.0,82.0,0.0,0.0,82.14,82.14,82.14,0.0,0.0
2018-05-20,81.51,81.51,81.51,0.0,0.0,81.71,81.71,81.71,0.0,0.0,81.37,81.37,81.37,0.0,0.0,81.46,81.46,81.46,0.0,0.0
2018-05-27,81.83,81.83,81.83,0.0,0.0,81.88,81.88,81.88,0.0,0.0,81.47,81.47,81.47,0.0,0.0,81.52,81.52,81.52,0.0,0.0
2018-06-03,82.08,82.08,82.08,0.0,0.0,82.2,82.2,82.2,0.0,0.0,81.98,81.98,81.98,0.0,0.0,82.01,82.01,82.01,0.0,0.0
2018-06-10,80.08,80.08,80.08,0.0,0.0,80.41,80.41,80.41,0.0,0.0,80.08,80.08,80.08,0.0,0.0,80.32,80.32,80.32,0.0,0.0
2018-06-17,78.18,78.18,78.18,0.0,0.0,78.32,78.32,78.32,0.0,0.0,77.68,77.68,77.68,0.0,0.0,77.82,77.82,77.82,0.0,0.0
2018-06-24,76.09,76.09,76.09,0.0,0.0,76.42,76.42,76.42,0.0,0.0,75.89,75.89,75.89,0.0,0.0,76.21,76.21,76.21,0.0,0.0
2018-07-01,76.96,76.96,76.96,0.0,0.0,77.18,77.18,77.18,0.0,0.0,76.93,76.93,76.93,0.0,0.0,77.09,77.09,77.09,0.0,0.0
2018-07-08,76.03,76.03,76.03,0.0,0.0,76.07,76.07,76.07,0.0,0.0,75.84,75.84,75.84,0.0,0.0,75.92,75.92,75.92,0.0,0.0
2018-07-15,77.03,77.03,77.03,0.0,0.0,77.07,77.07,77.07,0.0,0.0,76.9,76.9,76.9,0.0,0.0,76.98,76.98,76.98,0.0,0.0
2018-07-22,78.93,78.93,78.93,0.0,0.0,78.93,78.93,78.93,0.0,0.0,78.48,78.48,78.48,0.0,0.0,78.53,78.53,78.53,0.0,0.0
2018-07-29,76.32,76.32,76.32,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.19,76.19,76.19,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2018-08-05,75.22,75.22,75.22,0.0,0.0,75.31,75.31,75.31,0.0,0.0,74.95,74.95,74.95,0.0,0.0,75.07,75.07,75.07,0.0,0.0
2018-08-12,73.9,73.9,73.9,0.0,0.0,74.28,74.28,74.28,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2018-08-19,76.16,76.16,76.16,0.0,0.0,76.42,76.42,76.42,0.0,0.0,76.14,76.14,76.14,0.0,0.0,76.36,76.36,76.36,0.0,0.0
2018-08-26,76.58,76.58,76.58,0.0,0.0,76.75,76.75,76.75,0.0,0.0,76.36,76.36,76.36,0.0,0.0,76.59,76.59,76.59,0.0,0.0
2018-09-02,74.56,74.56,74.56,0.0,0.0,74.61,74.61,74.61,0.0,0.0,74.35,74.35,74.35,0.0,0.0,74.42,74.42,74.42,0.0,0.0
2018-09-09,75.82,75.82,75.82,0.0,0.0,75.87,75.87,75.87,0.0,0.0,75.31,75.31,75.31,0.0,0.0,75.41,75.41,75.41,0.0,0.0
2018-09-16,77.38,77.38,77.38,0.0,0.0,77.41,77.41,77.41,0.0,0.0,77.19,77.19,77.19,0.0,0.0,77.29,77.29,77.29,0.0,0.0
2018-09-23,78.2,78.2,78.2,0.0,0.0,78.62,78.62,78.62,0.0,0.0,78.17,78.17,78.17,0.0,0.0,78.48,78.48,78.48,0.0,0.0
2018-09-30,75.96,75.96,75.96,0.0,0.0,76.57,76.57,76.57,0.0,0.0,75.79,75.79,75.79,0.0,0.0,76.55,76.55,76.55,0.0,0.0
2018-10-07,73.16,73.16,73.16,0.0,0.0,73.76,73.76,73.76,0.0,0.0,72.92,72.92,72.92,0.0,0.0,73.4,73.4,73.4,0.0,0.0
2018-10-14,73.12,73.12,73.12,0.0,0.0,73.12,73.12,73.12,0.0,0.0,72.73,72.73,72.73,0.0,0.0,72.78,72.78,72.78,0.0,0.0
2018-10-21,69.03,69.03,69.03,0.0,0.0,69.24,69.24,69.24,0.0,0.0,67.54,67.54,67.54,0.0,0.0,68.18,68.18,68.18,0.0,0.0
2018-10-28,71.24,71.24,71.24,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.14,71.14,71.14,0.0,0.0,71.18,71.18,71.18,0.0,0.0
2018-11-04,71.19,71.19,71.19,0.0,0.0,71.19,71.19,71.19,0.0,0.0,70.32,70.32,70.32,0.0,0.0,70.39,70.39,70.39,0.0,0.0
