Date,VanEck Vectors Russia Small-Cap_Open_average,VanEck Vectors Russia Small-Cap_Open_max,VanEck Vectors Russia Small-Cap_Open_min,VanEck Vectors Russia Small-Cap_Open_volatility,VanEck Vectors Russia Small-Cap_Open_change,VanEck Vectors Russia Small-Cap_High_average,VanEck Vectors Russia Small-Cap_High_max,VanEck Vectors Russia Small-Cap_High_min,VanEck Vectors Russia Small-Cap_High_volatility,VanEck Vectors Russia Small-Cap_High_change,VanEck Vectors Russia Small-Cap_Low_average,VanEck Vectors Russia Small-Cap_Low_max,VanEck Vectors Russia Small-Cap_Low_min,VanEck Vectors Russia Small-Cap_Low_volatility,VanEck Vectors Russia Small-Cap_Low_change,VanEck Vectors Russia Small-Cap_Close_average,VanEck Vectors Russia Small-Cap_Close_max,VanEck Vectors Russia Small-Cap_Close_min,VanEck Vectors Russia Small-Cap_Close_volatility,VanEck Vectors Russia Small-Cap_Close_change
2018-01-14,42.82,42.82,42.82,0.0,0.0,43.2,43.2,43.2,0.0,0.0,42.73,42.73,42.73,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-01-21,43.1,43.1,43.1,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.69,42.69,42.69,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-01-28,42.09,42.09,42.09,0.0,0.0,42.22,42.22,42.22,0.0,0.0,40.84,40.84,40.84,0.0,0.0,40.84,40.84,40.84,0.0,0.0
2018-02-04,40.91,40.91,40.91,0.0,0.0,41.48,41.48,41.48,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.48,41.48,41.48,0.0,0.0
2018-02-11,42.83,42.83,42.83,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.46,42.46,42.46,0.0,0.0,42.46,42.46,42.46,0.0,0.0
2018-02-18,43.29,43.29,43.29,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-02-25,42.48,42.48,42.48,0.0,0.0,43.06,43.06,43.06,0.0,0.0,42.48,42.48,42.48,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2018-03-04,43.12,43.12,43.12,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2018-03-11,42.57,42.57,42.57,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.27,42.27,42.27,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-03-18,42.6,42.6,42.6,0.0,0.0,42.6,42.6,42.6,0.0,0.0,42.14,42.14,42.14,0.0,0.0,42.22,42.22,42.22,0.0,0.0
2018-03-25,42.0,42.0,42.0,0.0,0.0,42.0,42.0,42.0,0.0,0.0,41.56,41.56,41.56,0.0,0.0,41.71,41.71,41.71,0.0,0.0
2018-04-01,38.77,38.77,38.77,0.0,0.0,40.04,40.04,40.04,0.0,0.0,37.9,37.9,37.9,0.0,0.0,37.9,37.9,37.9,0.0,0.0
