Date,ProShares Decline of the Retail Store_Open_average,ProShares Decline of the Retail Store_Open_max,ProShares Decline of the Retail Store_Open_min,ProShares Decline of the Retail Store_Open_volatility,ProShares Decline of the Retail Store_Open_change,ProShares Decline of the Retail Store_High_average,ProShares Decline of the Retail Store_High_max,ProShares Decline of the Retail Store_High_min,ProShares Decline of the Retail Store_High_volatility,ProShares Decline of the Retail Store_High_change,ProShares Decline of the Retail Store_Low_average,ProShares Decline of the Retail Store_Low_max,ProShares Decline of the Retail Store_Low_min,ProShares Decline of the Retail Store_Low_volatility,ProShares Decline of the Retail Store_Low_change,ProShares Decline of the Retail Store_Close_average,ProShares Decline of the Retail Store_Close_max,ProShares Decline of the Retail Store_Close_min,ProShares Decline of the Retail Store_Close_volatility,ProShares Decline of the Retail Store_Close_change
2018-01-14,32.14,32.14,32.14,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.67,31.67,31.67,0.0,0.0
2018-01-21,32.5,32.5,32.5,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.11,32.11,32.11,0.0,0.0,32.17,32.17,32.17,0.0,0.0
2018-01-28,34.86,34.86,34.86,0.0,0.0,35.72,35.72,35.72,0.0,0.0,34.38,34.38,34.38,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-02-04,34.77,34.77,34.77,0.0,0.0,35.39,35.39,35.39,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.85,34.85,34.85,0.0,0.0
2018-02-11,33.45,33.45,33.45,0.0,0.0,33.78,33.78,33.78,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.78,33.78,33.78,0.0,0.0
2018-02-18,33.56,33.56,33.56,0.0,0.0,34.04,34.04,34.04,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.83,33.83,33.83,0.0,0.0
2018-02-25,34.5,34.5,34.5,0.0,0.0,34.5,34.5,34.5,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-03-04,34.8,34.8,34.8,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.56,34.56,34.56,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-03-11,35.6,35.6,35.6,0.0,0.0,35.6,35.6,35.6,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.42,35.42,35.42,0.0,0.0
2018-03-18,35.68,35.68,35.68,0.0,0.0,36.05,36.05,36.05,0.0,0.0,35.68,35.68,35.68,0.0,0.0,36.05,36.05,36.05,0.0,0.0
2018-03-25,35.0,35.0,35.0,0.0,0.0,36.15,36.15,36.15,0.0,0.0,35.0,35.0,35.0,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-04-01,34.74,34.74,34.74,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.94,34.94,34.94,0.0,0.0
2018-04-08,35.37,35.37,35.37,0.0,0.0,35.37,35.37,35.37,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.69,34.69,34.69,0.0,0.0
2018-04-15,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-04-22,33.94,33.94,33.94,0.0,0.0,34.41,34.41,34.41,0.0,0.0,33.94,33.94,33.94,0.0,0.0,34.41,34.41,34.41,0.0,0.0
2018-04-29,35.44,35.44,35.44,0.0,0.0,35.51,35.51,35.51,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-05-06,34.27,34.27,34.27,0.0,0.0,34.32,34.32,34.32,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.13,34.13,34.13,0.0,0.0
2018-05-13,33.63,33.63,33.63,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2018-05-20,33.59,33.59,33.59,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.55,33.55,33.55,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-05-27,33.38,33.38,33.38,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-06-03,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-06-10,31.65,31.65,31.65,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-06-17,30.96,30.96,30.96,0.0,0.0,31.22,31.22,31.22,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-06-24,32.25,32.25,32.25,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.35,32.35,32.35,0.0,0.0
