Date,SPDR S&P Oil & Gas Exploration & Production_Open_average,SPDR S&P Oil & Gas Exploration & Production_Open_max,SPDR S&P Oil & Gas Exploration & Production_Open_min,SPDR S&P Oil & Gas Exploration & Production_Open_volatility,SPDR S&P Oil & Gas Exploration & Production_Open_change,SPDR S&P Oil & Gas Exploration & Production_High_average,SPDR S&P Oil & Gas Exploration & Production_High_max,SPDR S&P Oil & Gas Exploration & Production_High_min,SPDR S&P Oil & Gas Exploration & Production_High_volatility,SPDR S&P Oil & Gas Exploration & Production_High_change,SPDR S&P Oil & Gas Exploration & Production_Low_average,SPDR S&P Oil & Gas Exploration & Production_Low_max,SPDR S&P Oil & Gas Exploration & Production_Low_min,SPDR S&P Oil & Gas Exploration & Production_Low_volatility,SPDR S&P Oil & Gas Exploration & Production_Low_change,SPDR S&P Oil & Gas Exploration & Production_Close_average,SPDR S&P Oil & Gas Exploration & Production_Close_max,SPDR S&P Oil & Gas Exploration & Production_Close_min,SPDR S&P Oil & Gas Exploration & Production_Close_volatility,SPDR S&P Oil & Gas Exploration & Production_Close_change
2018-01-14,154.88,154.88,154.88,0.0,0.0,158.84,158.84,158.84,0.0,0.0,154.8,154.8,154.8,0.0,0.0,158.76,158.76,158.76,0.0,0.0
2018-01-21,154.52,154.52,154.52,0.0,0.0,155.88,155.88,155.88,0.0,0.0,152.96,152.96,152.96,0.0,0.0,153.2,153.2,153.2,0.0,0.0
2018-01-28,140.36,140.36,140.36,0.0,0.0,142.88,142.88,142.88,0.0,0.0,136.12,136.12,136.12,0.0,0.0,137.48,137.48,137.48,0.0,0.0
2018-02-04,131.16,131.16,131.16,0.0,0.0,134.18,134.18,134.18,0.0,0.0,130.92,130.92,130.92,0.0,0.0,132.92,132.92,132.92,0.0,0.0
2018-02-11,135.4,135.4,135.4,0.0,0.0,137.96,137.96,137.96,0.0,0.0,135.2,135.2,135.2,0.0,0.0,135.68,135.68,135.68,0.0,0.0
2018-02-18,139.2,139.2,139.2,0.0,0.0,140.28,140.28,140.28,0.0,0.0,137.94,137.94,137.94,0.0,0.0,139.16,139.16,139.16,0.0,0.0
2018-02-25,135.76,135.76,135.76,0.0,0.0,139.96,139.96,139.96,0.0,0.0,135.52,135.52,135.52,0.0,0.0,139.04,139.04,139.04,0.0,0.0
2018-03-04,139.0,139.0,139.0,0.0,0.0,140.4,140.4,140.4,0.0,0.0,137.74,137.74,137.74,0.0,0.0,139.24,139.24,139.24,0.0,0.0
2018-03-11,136.92,136.92,136.92,0.0,0.0,137.1,137.1,137.1,0.0,0.0,133.24,133.24,133.24,0.0,0.0,134.24,134.24,134.24,0.0,0.0
2018-03-18,140.24,140.24,140.24,0.0,0.0,141.44,141.44,141.44,0.0,0.0,137.76,137.76,137.76,0.0,0.0,141.4,141.4,141.4,0.0,0.0
2018-03-25,139.76,139.76,139.76,0.0,0.0,140.02,140.02,140.02,0.0,0.0,133.42,133.42,133.42,0.0,0.0,136.12,136.12,136.12,0.0,0.0
2018-04-01,140.0,140.0,140.0,0.0,0.0,141.28,141.28,141.28,0.0,0.0,138.72,138.72,138.72,0.0,0.0,138.84,138.84,138.84,0.0,0.0
2018-04-08,149.32,149.32,149.32,0.0,0.0,151.52,151.52,151.52,0.0,0.0,148.2,148.2,148.2,0.0,0.0,150.6,150.6,150.6,0.0,0.0
2018-04-15,154.2,154.2,154.2,0.0,0.0,156.56,156.56,156.56,0.0,0.0,153.0,153.0,153.0,0.0,0.0,156.48,156.48,156.48,0.0,0.0
2018-04-22,155.24,155.24,155.24,0.0,0.0,159.12,159.12,159.12,0.0,0.0,155.2,155.2,155.2,0.0,0.0,157.52,157.52,157.52,0.0,0.0
2018-04-29,160.0,160.0,160.0,0.0,0.0,164.04,164.04,164.04,0.0,0.0,159.16,159.16,159.16,0.0,0.0,159.4,159.4,159.4,0.0,0.0
2018-05-06,165.76,165.76,165.76,0.0,0.0,167.56,167.56,167.56,0.0,0.0,165.76,165.76,165.76,0.0,0.0,167.16,167.16,167.16,0.0,0.0
2018-05-13,174.0,174.0,174.0,0.0,0.0,176.88,176.88,176.88,0.0,0.0,173.26,173.26,173.26,0.0,0.0,176.88,176.88,176.88,0.0,0.0
2018-05-20,164.24,164.24,164.24,0.0,0.0,164.6,164.6,164.6,0.0,0.0,160.2,160.2,160.2,0.0,0.0,163.52,163.52,163.52,0.0,0.0
2018-05-27,169.2,169.2,169.2,0.0,0.0,170.28,170.28,170.28,0.0,0.0,163.68,163.68,163.68,0.0,0.0,164.68,164.68,164.68,0.0,0.0
2018-06-03,167.32,167.32,167.32,0.0,0.0,170.3,170.3,170.3,0.0,0.0,167.2,167.2,167.2,0.0,0.0,169.36,169.36,169.36,0.0,0.0
2018-06-10,161.92,161.92,161.92,0.0,0.0,167.4,167.4,167.4,0.0,0.0,161.44,161.44,161.44,0.0,0.0,165.16,165.16,165.16,0.0,0.0
2018-06-17,170.32,170.32,170.32,0.0,0.0,170.56,170.56,170.56,0.0,0.0,164.97,164.97,164.97,0.0,0.0,165.88,165.88,165.88,0.0,0.0
