Date,CBAN_Open_average,CBAN_Open_max,CBAN_Open_min,CBAN_Open_volatility,CBAN_Open_change,CBAN_High_average,CBAN_High_max,CBAN_High_min,CBAN_High_volatility,CBAN_High_change,CBAN_Low_average,CBAN_Low_max,CBAN_Low_min,CBAN_Low_volatility,CBAN_Low_change,CBAN_Close_average,CBAN_Close_max,CBAN_Close_min,CBAN_Close_volatility,CBAN_Close_change,CBAN_Volume_average,CBAN_Volume_max,CBAN_Volume_min,CBAN_Volume_volatility,CBAN_Volume_change
2018-01-14,14.49,14.6,14.4,0.1999999999999993,0.15000000000000036,14.52,14.6,14.4,0.1999999999999993,0.09999999999999964,14.39,14.6,14.05,0.5499999999999989,0.5,14.51,14.6,14.4,0.1999999999999993,0.09999999999999964,1152,3861,202,3659,-3649
2018-01-21,14.5,14.6,14.35,0.25,-0.1999999999999993,14.57,14.65,14.4,0.25,-0.1999999999999993,14.44,14.6,14.35,0.25,-0.25,14.5,14.6,14.35,0.25,-0.25,4674,12803,1149,11654,-177
2018-01-28,14.375,14.45,14.35,0.09999999999999964,0.09999999999999964,14.4375,14.6,14.35,0.25,0.09999999999999964,14.35,14.35,14.35,0.0,0.0,14.3625,14.4,14.35,0.05000000000000071,0.05000000000000071,1561,3863,675,3188,-1
2018-02-04,14.0,14.4,13.8,0.5999999999999996,-0.40000000000000036,14.04,14.4,13.8,0.5999999999999996,-0.20000000000000107,13.692,13.95,13.51,0.4399999999999995,0.040000000000000924,13.8,13.95,13.65,0.29999999999999893,0.0,42777,105869,202,105667,98394
2018-02-11,13.8575,13.95,13.73,0.21999999999999886,0.11999999999999922,14.075,14.2,13.95,0.25,0.1999999999999993,13.7625,13.9,13.65,0.25,0.1999999999999993,13.9375,14.1,13.7,0.40000000000000036,0.40000000000000036,3902,8534,1180,7354,-3008
2018-02-18,14.21,14.4,14.05,0.34999999999999964,0.34999999999999964,14.24,14.4,14.1,0.3000000000000007,0.3000000000000007,14.13,14.4,13.75,0.6500000000000004,0.6500000000000004,14.190000000000001,14.4,14.05,0.34999999999999964,0.34999999999999964,773,1977,0,1977,-174
2018-02-25,14.26,14.45,14.05,0.3999999999999986,-0.14999999999999858,14.54,14.85,14.35,0.5,0.40000000000000036,14.234,14.45,14.05,0.3999999999999986,-0.14999999999999858,14.496,14.85,14.13,0.7199999999999989,0.40000000000000036,28980,142936,0,142936,652
2018-03-04,14.767999999999999,15.0,14.45,0.5500000000000007,0.05000000000000071,15.1,15.25,15.0,0.25,0.15000000000000036,14.648,14.85,14.45,0.40000000000000036,-0.049999999999998934,14.99,15.25,14.8,0.4499999999999993,0.4499999999999993,2319,4597,331,4266,959
2018-03-11,15.508,15.7,15.05,0.6499999999999986,0.6499999999999986,15.98,16.95,15.3,1.6499999999999986,1.25,15.46,15.7,15.05,0.6499999999999986,0.5,15.918,16.7,15.29,1.4100000000000001,1.2100000000000009,2585,5700,410,5290,919
2018-03-18,16.33,17.4,15.3,2.099999999999998,-1.3999999999999986,17.28,19.5,16.1,3.3999999999999986,2.1000000000000014,15.674,16.65,15.0,1.6499999999999986,0.28999999999999915,17.12,19.5,15.8,3.6999999999999993,2.6000000000000014,2878,3618,1068,2550,-885
