Date,PowerShares S&P SmallCap Consumer Staples_etf_Open_average,PowerShares S&P SmallCap Consumer Staples_etf_Open_max,PowerShares S&P SmallCap Consumer Staples_etf_Open_min,PowerShares S&P SmallCap Consumer Staples_etf_Open_volatility,PowerShares S&P SmallCap Consumer Staples_etf_Open_change,PowerShares S&P SmallCap Consumer Staples_etf_High_average,PowerShares S&P SmallCap Consumer Staples_etf_High_max,PowerShares S&P SmallCap Consumer Staples_etf_High_min,PowerShares S&P SmallCap Consumer Staples_etf_High_volatility,PowerShares S&P SmallCap Consumer Staples_etf_High_change,PowerShares S&P SmallCap Consumer Staples_etf_Low_average,PowerShares S&P SmallCap Consumer Staples_etf_Low_max,PowerShares S&P SmallCap Consumer Staples_etf_Low_min,PowerShares S&P SmallCap Consumer Staples_etf_Low_volatility,PowerShares S&P SmallCap Consumer Staples_etf_Low_change,PowerShares S&P SmallCap Consumer Staples_etf_Close_average,PowerShares S&P SmallCap Consumer Staples_etf_Close_max,PowerShares S&P SmallCap Consumer Staples_etf_Close_min,PowerShares S&P SmallCap Consumer Staples_etf_Close_volatility,PowerShares S&P SmallCap Consumer Staples_etf_Close_change
2018-01-14,72.94,72.94,72.94,0.0,0.0,74.23,74.23,74.23,0.0,0.0,72.94,72.94,72.94,0.0,0.0,74.23,74.23,74.23,0.0,0.0
2018-01-21,74.67,74.67,74.67,0.0,0.0,74.68,74.68,74.68,0.0,0.0,74.06,74.06,74.06,0.0,0.0,74.66,74.66,74.66,0.0,0.0
2018-01-28,72.0,72.0,72.0,0.0,0.0,72.0,72.0,72.0,0.0,0.0,70.74,70.74,70.74,0.0,0.0,70.78,70.78,70.78,0.0,0.0
2018-02-04,70.23,70.23,70.23,0.0,0.0,70.33,70.33,70.33,0.0,0.0,68.98,68.98,68.98,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2018-02-11,71.17,71.17,71.17,0.0,0.0,72.09,72.09,72.09,0.0,0.0,71.17,71.17,71.17,0.0,0.0,71.98,71.98,71.98,0.0,0.0
2018-02-18,69.27,69.27,69.27,0.0,0.0,69.4,69.4,69.4,0.0,0.0,69.11,69.11,69.11,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-02-25,67.3,67.3,67.3,0.0,0.0,69.46,69.46,69.46,0.0,0.0,67.3,67.3,67.3,0.0,0.0,69.33,69.33,69.33,0.0,0.0
2018-03-04,71.41,71.41,71.41,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.15,71.15,71.15,0.0,0.0,71.38,71.38,71.38,0.0,0.0
2018-03-11,71.2,71.2,71.2,0.0,0.0,71.5,71.5,71.5,0.0,0.0,71.07,71.07,71.07,0.0,0.0,71.37,71.37,71.37,0.0,0.0
2018-03-18,69.66,69.66,69.66,0.0,0.0,69.66,69.66,69.66,0.0,0.0,69.23,69.23,69.23,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-03-25,70.08,70.08,70.08,0.0,0.0,70.22,70.22,70.22,0.0,0.0,69.97,69.97,69.97,0.0,0.0,69.97,69.97,69.97,0.0,0.0
2018-04-01,71.06,71.06,71.06,0.0,0.0,71.3,71.3,71.3,0.0,0.0,70.99,70.99,70.99,0.0,0.0,71.21,71.21,71.21,0.0,0.0
2018-04-08,70.59,70.59,70.59,0.0,0.0,70.86,70.86,70.86,0.0,0.0,70.38,70.38,70.38,0.0,0.0,70.7,70.7,70.7,0.0,0.0
2018-04-15,71.1,71.1,71.1,0.0,0.0,71.1,71.1,71.1,0.0,0.0,70.2,70.2,70.2,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2018-04-22,71.02,71.02,71.02,0.0,0.0,71.13,71.13,71.13,0.0,0.0,70.97,70.97,70.97,0.0,0.0,71.13,71.13,71.13,0.0,0.0
2018-04-29,69.92,69.92,69.92,0.0,0.0,70.23,70.23,70.23,0.0,0.0,69.78,69.78,69.78,0.0,0.0,69.78,69.78,69.78,0.0,0.0
2018-05-06,71.19,71.19,71.19,0.0,0.0,71.19,71.19,71.19,0.0,0.0,71.19,71.19,71.19,0.0,0.0,71.19,71.19,71.19,0.0,0.0
2018-05-13,72.83,72.83,72.83,0.0,0.0,72.83,72.83,72.83,0.0,0.0,71.76,71.76,71.76,0.0,0.0,72.33,72.33,72.33,0.0,0.0
2018-05-20,73.76,73.76,73.76,0.0,0.0,74.77,74.77,74.77,0.0,0.0,73.76,73.76,73.76,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-05-27,75.98,75.98,75.98,0.0,0.0,76.19,76.19,76.19,0.0,0.0,75.96,75.96,75.96,0.0,0.0,75.96,75.96,75.96,0.0,0.0
2018-06-03,77.23,77.23,77.23,0.0,0.0,77.8,77.8,77.8,0.0,0.0,77.23,77.23,77.23,0.0,0.0,77.51,77.51,77.51,0.0,0.0
2018-06-10,79.46,79.46,79.46,0.0,0.0,79.76,79.76,79.76,0.0,0.0,79.45,79.45,79.45,0.0,0.0,79.61,79.61,79.61,0.0,0.0
2018-06-17,80.61,80.61,80.61,0.0,0.0,80.7,80.7,80.7,0.0,0.0,80.55,80.55,80.55,0.0,0.0,80.55,80.55,80.55,0.0,0.0
2018-06-24,80.26,80.26,80.26,0.0,0.0,80.54,80.54,80.54,0.0,0.0,79.86,79.86,79.86,0.0,0.0,80.02,80.02,80.02,0.0,0.0
2018-07-01,82.61,82.61,82.61,0.0,0.0,83.37,83.37,83.37,0.0,0.0,82.61,82.61,82.61,0.0,0.0,83.13,83.13,83.13,0.0,0.0
2018-07-08,82.0,82.0,82.0,0.0,0.0,82.09,82.09,82.09,0.0,0.0,81.56,81.56,81.56,0.0,0.0,81.67,81.67,81.67,0.0,0.0
2018-07-15,81.69,81.69,81.69,0.0,0.0,81.69,81.69,81.69,0.0,0.0,81.17,81.17,81.17,0.0,0.0,81.4,81.4,81.4,0.0,0.0
2018-07-22,83.75,83.75,83.75,0.0,0.0,83.85,83.85,83.85,0.0,0.0,82.59,82.59,82.59,0.0,0.0,82.84,82.84,82.84,0.0,0.0
2018-07-29,84.85,84.85,84.85,0.0,0.0,84.85,84.85,84.85,0.0,0.0,83.54,83.54,83.54,0.0,0.0,84.12,84.12,84.12,0.0,0.0
2018-08-05,83.23,83.23,83.23,0.0,0.0,83.96,83.96,83.96,0.0,0.0,83.19,83.19,83.19,0.0,0.0,83.52,83.52,83.52,0.0,0.0
2018-08-12,84.65,84.65,84.65,0.0,0.0,84.88,84.88,84.88,0.0,0.0,83.89,83.89,83.89,0.0,0.0,84.88,84.88,84.88,0.0,0.0
2018-08-19,85.57,85.57,85.57,0.0,0.0,85.81,85.81,85.81,0.0,0.0,85.18,85.18,85.18,0.0,0.0,85.58,85.58,85.58,0.0,0.0
2018-08-26,84.71,84.71,84.71,0.0,0.0,85.33,85.33,85.33,0.0,0.0,84.26,84.26,84.26,0.0,0.0,85.33,85.33,85.33,0.0,0.0
2018-09-02,85.49,85.49,85.49,0.0,0.0,85.64,85.64,85.64,0.0,0.0,85.23,85.23,85.23,0.0,0.0,85.54,85.54,85.54,0.0,0.0
