Date,ProShares Ultra SmallCap600Etf_Open_average,ProShares Ultra SmallCap600Etf_Open_max,ProShares Ultra SmallCap600Etf_Open_min,ProShares Ultra SmallCap600Etf_Open_volatility,ProShares Ultra SmallCap600Etf_Open_change,ProShares Ultra SmallCap600Etf_High_average,ProShares Ultra SmallCap600Etf_High_max,ProShares Ultra SmallCap600Etf_High_min,ProShares Ultra SmallCap600Etf_High_volatility,ProShares Ultra SmallCap600Etf_High_change,ProShares Ultra SmallCap600Etf_Low_average,ProShares Ultra SmallCap600Etf_Low_max,ProShares Ultra SmallCap600Etf_Low_min,ProShares Ultra SmallCap600Etf_Low_volatility,ProShares Ultra SmallCap600Etf_Low_change,ProShares Ultra SmallCap600Etf_Close_average,ProShares Ultra SmallCap600Etf_Close_max,ProShares Ultra SmallCap600Etf_Close_min,ProShares Ultra SmallCap600Etf_Close_volatility,ProShares Ultra SmallCap600Etf_Close_change
2018-01-14,105.81,105.81,105.81,0.0,0.0,107.67,107.67,107.67,0.0,0.0,105.81,105.81,105.81,0.0,0.0,107.67,107.67,107.67,0.0,0.0
2018-01-21,107.82,107.82,107.82,0.0,0.0,108.2,108.2,108.2,0.0,0.0,107.5,107.5,107.5,0.0,0.0,108.2,108.2,108.2,0.0,0.0
2018-01-28,102.8,102.8,102.8,0.0,0.0,102.87,102.87,102.87,0.0,0.0,101.19,101.19,101.19,0.0,0.0,101.19,101.19,101.19,0.0,0.0
2018-02-04,91.0,91.0,91.0,0.0,0.0,91.0,91.0,91.0,0.0,0.0,90.16,90.16,90.16,0.0,0.0,90.16,90.16,90.16,0.0,0.0
2018-02-11,100.0,100.0,100.0,0.0,0.0,100.58,100.58,100.58,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.58,100.58,100.58,0.0,0.0
2018-02-18,100.28,100.28,100.28,0.0,0.0,100.28,100.28,100.28,0.0,0.0,100.28,100.28,100.28,0.0,0.0,100.28,100.28,100.28,0.0,0.0
2018-02-25,93.98,93.98,93.98,0.0,0.0,98.09,98.09,98.09,0.0,0.0,93.98,93.98,93.98,0.0,0.0,98.09,98.09,98.09,0.0,0.0
2018-03-04,104.49,104.49,104.49,0.0,0.0,104.49,104.49,104.49,0.0,0.0,102.16,102.16,102.16,0.0,0.0,102.16,102.16,102.16,0.0,0.0
2018-03-11,105.66,105.66,105.66,0.0,0.0,105.66,105.66,105.66,0.0,0.0,105.53,105.53,105.53,0.0,0.0,105.53,105.53,105.53,0.0,0.0
2018-03-18,99.99,99.99,99.99,0.0,0.0,99.99,99.99,99.99,0.0,0.0,99.99,99.99,99.99,0.0,0.0,99.99,99.99,99.99,0.0,0.0
