Date,iShares Russell Mid-Cap_Open_average,iShares Russell Mid-Cap_Open_max,iShares Russell Mid-Cap_Open_min,iShares Russell Mid-Cap_Open_volatility,iShares Russell Mid-Cap_Open_change,iShares Russell Mid-Cap_High_average,iShares Russell Mid-Cap_High_max,iShares Russell Mid-Cap_High_min,iShares Russell Mid-Cap_High_volatility,iShares Russell Mid-Cap_High_change,iShares Russell Mid-Cap_Low_average,iShares Russell Mid-Cap_Low_max,iShares Russell Mid-Cap_Low_min,iShares Russell Mid-Cap_Low_volatility,iShares Russell Mid-Cap_Low_change,iShares Russell Mid-Cap_Close_average,iShares Russell Mid-Cap_Close_max,iShares Russell Mid-Cap_Close_min,iShares Russell Mid-Cap_Close_volatility,iShares Russell Mid-Cap_Close_change
2018-01-14,54.19,54.19,54.19,0.0,0.0,54.53,54.53,54.53,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2018-01-21,54.91,54.91,54.91,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-01-28,52.37,52.37,52.37,0.0,0.0,52.92,52.92,52.92,0.0,0.0,50.95,50.95,50.95,0.0,0.0,50.98,50.98,50.98,0.0,0.0
2018-02-04,50.57,50.57,50.57,0.0,0.0,51.22,51.22,51.22,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.92,50.92,50.92,0.0,0.0
2018-02-11,52.29,52.29,52.29,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.48,52.48,52.48,0.0,0.0
2018-02-18,52.85,52.85,52.85,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-02-25,51.48,51.48,51.48,0.0,0.0,52.47,52.47,52.47,0.0,0.0,51.48,51.48,51.48,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2018-03-04,53.76,53.76,53.76,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.67,53.67,53.67,0.0,0.0
2018-03-11,53.14,53.14,53.14,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2018-03-18,51.29,51.29,51.29,0.0,0.0,51.75,51.75,51.75,0.0,0.0,50.8,50.8,50.8,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-03-25,51.47,51.47,51.47,0.0,0.0,51.56,51.56,51.56,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.43,50.43,50.43,0.0,0.0
2018-04-01,51.1,51.1,51.1,0.0,0.0,51.54,51.54,51.54,0.0,0.0,50.82,50.82,50.82,0.0,0.0,50.86,50.86,50.86,0.0,0.0
2018-04-08,51.86,51.86,51.86,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.65,51.65,51.65,0.0,0.0,52.01,52.01,52.01,0.0,0.0
2018-04-15,52.09,52.09,52.09,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.79,51.79,51.79,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-04-22,52.06,52.06,52.06,0.0,0.0,52.18,52.18,52.18,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-04-29,51.95,51.95,51.95,0.0,0.0,52.21,52.21,52.21,0.0,0.0,51.86,51.86,51.86,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2018-05-06,53.03,53.03,53.03,0.0,0.0,53.11,53.11,53.11,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2018-05-13,53.15,53.15,53.15,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.23,53.23,53.23,0.0,0.0
2018-05-20,52.96,52.96,52.96,0.0,0.0,53.06,53.06,53.06,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-05-27,53.3,53.3,53.3,0.0,0.0,53.41,53.41,53.41,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.41,53.41,53.41,0.0,0.0
