Date,Direxion Daily Japan Bull 3x SharesEtf_Open_average,Direxion Daily Japan Bull 3x SharesEtf_Open_max,Direxion Daily Japan Bull 3x SharesEtf_Open_min,Direxion Daily Japan Bull 3x SharesEtf_Open_volatility,Direxion Daily Japan Bull 3x SharesEtf_Open_change,Direxion Daily Japan Bull 3x SharesEtf_High_average,Direxion Daily Japan Bull 3x SharesEtf_High_max,Direxion Daily Japan Bull 3x SharesEtf_High_min,Direxion Daily Japan Bull 3x SharesEtf_High_volatility,Direxion Daily Japan Bull 3x SharesEtf_High_change,Direxion Daily Japan Bull 3x SharesEtf_Low_average,Direxion Daily Japan Bull 3x SharesEtf_Low_max,Direxion Daily Japan Bull 3x SharesEtf_Low_min,Direxion Daily Japan Bull 3x SharesEtf_Low_volatility,Direxion Daily Japan Bull 3x SharesEtf_Low_change,Direxion Daily Japan Bull 3x SharesEtf_Close_average,Direxion Daily Japan Bull 3x SharesEtf_Close_max,Direxion Daily Japan Bull 3x SharesEtf_Close_min,Direxion Daily Japan Bull 3x SharesEtf_Close_volatility,Direxion Daily Japan Bull 3x SharesEtf_Close_change
2018-01-14,93.02,93.02,93.02,0.0,0.0,93.28,93.28,93.28,0.0,0.0,92.27,92.27,92.27,0.0,0.0,92.72,92.72,92.72,0.0,0.0
2018-01-21,95.06,95.06,95.06,0.0,0.0,96.48,96.48,96.48,0.0,0.0,95.0,95.0,95.0,0.0,0.0,96.48,96.48,96.48,0.0,0.0
2018-01-28,88.5,88.5,88.5,0.0,0.0,88.65,88.65,88.65,0.0,0.0,85.87,85.87,85.87,0.0,0.0,85.93,85.93,85.93,0.0,0.0
2018-02-04,73.65,73.65,73.65,0.0,0.0,73.9,73.9,73.9,0.0,0.0,67.17,67.17,67.17,0.0,0.0,72.01,72.01,72.01,0.0,0.0
2018-02-11,80.5,80.5,80.5,0.0,0.0,81.98,81.98,81.98,0.0,0.0,80.48,80.48,80.48,0.0,0.0,81.61,81.61,81.61,0.0,0.0
2018-02-18,79.88,79.88,79.88,0.0,0.0,81.58,81.58,81.58,0.0,0.0,79.8,79.8,79.8,0.0,0.0,81.56,81.56,81.56,0.0,0.0
2018-02-25,71.4,71.4,71.4,0.0,0.0,74.72,74.72,74.72,0.0,0.0,71.3,71.3,71.3,0.0,0.0,74.72,74.72,74.72,0.0,0.0
2018-03-04,75.44,75.44,75.44,0.0,0.0,77.33,77.33,77.33,0.0,0.0,75.03,75.03,75.03,0.0,0.0,77.14,77.14,77.14,0.0,0.0
2018-03-11,76.86,76.86,76.86,0.0,0.0,77.3,77.3,77.3,0.0,0.0,76.75,76.75,76.75,0.0,0.0,77.12,77.12,77.12,0.0,0.0
2018-03-18,71.22,71.22,71.22,0.0,0.0,71.81,71.81,71.81,0.0,0.0,68.09,68.09,68.09,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2018-03-25,74.92,74.92,74.92,0.0,0.0,77.28,77.28,77.28,0.0,0.0,74.92,74.92,74.92,0.0,0.0,76.85,76.85,76.85,0.0,0.0
2018-04-01,74.07,74.07,74.07,0.0,0.0,74.59,74.59,74.59,0.0,0.0,72.52,72.52,72.52,0.0,0.0,72.82,72.82,72.82,0.0,0.0
2018-04-08,74.93,74.93,74.93,0.0,0.0,74.93,74.93,74.93,0.0,0.0,74.36,74.36,74.36,0.0,0.0,74.41,74.41,74.41,0.0,0.0
2018-04-15,76.74,76.74,76.74,0.0,0.0,76.74,76.74,76.74,0.0,0.0,75.92,75.92,75.92,0.0,0.0,76.16,76.16,76.16,0.0,0.0
2018-04-22,77.4,77.4,77.4,0.0,0.0,77.89,77.89,77.89,0.0,0.0,76.58,76.58,76.58,0.0,0.0,76.58,76.58,76.58,0.0,0.0
2018-04-29,75.25,75.25,75.25,0.0,0.0,76.3,76.3,76.3,0.0,0.0,75.25,75.25,75.25,0.0,0.0,76.3,76.3,76.3,0.0,0.0
2018-05-06,78.36,78.36,78.36,0.0,0.0,78.36,78.36,78.36,0.0,0.0,77.94,77.94,77.94,0.0,0.0,78.18,78.18,78.18,0.0,0.0
2018-05-13,77.31,77.31,77.31,0.0,0.0,77.46,77.46,77.46,0.0,0.0,76.88,76.88,76.88,0.0,0.0,76.9,76.9,76.9,0.0,0.0
2018-05-20,73.87,73.87,73.87,0.0,0.0,74.08,74.08,74.08,0.0,0.0,73.31,73.31,73.31,0.0,0.0,73.77,73.77,73.77,0.0,0.0
2018-05-27,73.24,73.24,73.24,0.0,0.0,73.85,73.85,73.85,0.0,0.0,73.23,73.23,73.23,0.0,0.0,73.47,73.47,73.47,0.0,0.0
2018-06-03,75.3,75.3,75.3,0.0,0.0,76.14,76.14,76.14,0.0,0.0,75.3,75.3,75.3,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2018-06-10,73.88,73.88,73.88,0.0,0.0,74.16,74.16,74.16,0.0,0.0,73.45,73.45,73.45,0.0,0.0,74.14,74.14,74.14,0.0,0.0
2018-06-17,70.86,70.86,70.86,0.0,0.0,71.28,71.28,71.28,0.0,0.0,70.84,70.84,70.84,0.0,0.0,71.17,71.17,71.17,0.0,0.0
2018-06-24,67.25,67.25,67.25,0.0,0.0,67.29,67.29,67.29,0.0,0.0,66.53,66.53,66.53,0.0,0.0,66.79,66.79,66.79,0.0,0.0
2018-07-01,63.6,63.6,63.6,0.0,0.0,64.59,64.59,64.59,0.0,0.0,63.54,63.54,63.54,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2018-07-08,64.72,64.72,64.72,0.0,0.0,65.3,65.3,65.3,0.0,0.0,64.56,64.56,64.56,0.0,0.0,65.17,65.17,65.17,0.0,0.0
2018-07-15,67.13,67.13,67.13,0.0,0.0,67.27,67.27,67.27,0.0,0.0,67.06,67.06,67.06,0.0,0.0,67.15,67.15,67.15,0.0,0.0
2018-07-22,72.48,72.48,72.48,0.0,0.0,72.5,72.5,72.5,0.0,0.0,71.45,71.45,71.45,0.0,0.0,71.45,71.45,71.45,0.0,0.0
2018-07-29,67.03,67.03,67.03,0.0,0.0,68.1,68.1,68.1,0.0,0.0,67.03,67.03,67.03,0.0,0.0,68.1,68.1,68.1,0.0,0.0
2018-08-05,64.91,64.91,64.91,0.0,0.0,64.91,64.91,64.91,0.0,0.0,64.31,64.31,64.31,0.0,0.0,64.7,64.7,64.7,0.0,0.0
2018-08-12,63.01,63.01,63.01,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.01,63.01,63.01,0.0,0.0,63.94,63.94,63.94,0.0,0.0
2018-08-19,64.5,64.5,64.5,0.0,0.0,64.78,64.78,64.78,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.62,64.62,64.62,0.0,0.0
2018-08-26,66.18,66.18,66.18,0.0,0.0,66.56,66.56,66.56,0.0,0.0,66.18,66.18,66.18,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-09-02,61.37,61.37,61.37,0.0,0.0,61.65,61.65,61.65,0.0,0.0,61.01,61.01,61.01,0.0,0.0,61.25,61.25,61.25,0.0,0.0
2018-09-09,66.07,66.07,66.07,0.0,0.0,66.15,66.15,66.15,0.0,0.0,65.47,65.47,65.47,0.0,0.0,65.85,65.85,65.85,0.0,0.0
2018-09-16,72.0,72.0,72.0,0.0,0.0,72.79,72.79,72.79,0.0,0.0,71.93,71.93,71.93,0.0,0.0,72.66,72.66,72.66,0.0,0.0
2018-09-23,73.0,73.0,73.0,0.0,0.0,73.8,73.8,73.8,0.0,0.0,72.85,72.85,72.85,0.0,0.0,73.09,73.09,73.09,0.0,0.0
2018-09-30,69.49,69.49,69.49,0.0,0.0,69.92,69.92,69.92,0.0,0.0,68.46,68.46,68.46,0.0,0.0,69.21,69.21,69.21,0.0,0.0
2018-10-07,60.74,60.74,60.74,0.0,0.0,60.93,60.93,60.93,0.0,0.0,58.9,58.9,58.9,0.0,0.0,60.77,60.77,60.77,0.0,0.0
2018-10-14,61.52,61.52,61.52,0.0,0.0,61.71,61.71,61.71,0.0,0.0,60.06,60.06,60.06,0.0,0.0,60.37,60.37,60.37,0.0,0.0
2018-10-21,51.34,51.34,51.34,0.0,0.0,52.33,52.33,52.33,0.0,0.0,49.84,49.84,49.84,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2018-10-28,56.19,56.19,56.19,0.0,0.0,56.19,56.19,56.19,0.0,0.0,53.62,53.62,53.62,0.0,0.0,54.49,54.49,54.49,0.0,0.0
2018-11-04,54.76,54.76,54.76,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.76,54.76,54.76,0.0,0.0
2018-11-11,52.69,52.69,52.69,0.0,0.0,53.75,53.75,53.75,0.0,0.0,52.69,52.69,52.69,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-11-18,52.19,52.19,52.19,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.85,51.85,51.85,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2018-11-25,54.78,54.78,54.78,0.0,0.0,55.26,55.26,55.26,0.0,0.0,54.78,54.78,54.78,0.0,0.0,55.22,55.22,55.22,0.0,0.0
2018-12-02,51.2,51.2,51.2,0.0,0.0,51.2,51.2,51.2,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-12-09,47.63,47.63,47.63,0.0,0.0,48.31,48.31,48.31,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.78,47.78,47.78,0.0,0.0
2018-12-16,40.89,40.89,40.89,0.0,0.0,42.09,42.09,42.09,0.0,0.0,40.05,40.05,40.05,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2018-12-23,43.08,43.08,43.08,0.0,0.0,43.49,43.49,43.49,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-12-30,44.2,44.2,44.2,0.0,0.0,47.06,47.06,47.06,0.0,0.0,44.2,44.2,44.2,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2019-01-06,47.99,47.99,47.99,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.46,47.46,47.46,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2019-01-13,50.9,50.9,50.9,0.0,0.0,51.44,51.44,51.44,0.0,0.0,50.55,50.55,50.55,0.0,0.0,51.44,51.44,51.44,0.0,0.0
2019-01-20,50.5,50.5,50.5,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.3,50.3,50.3,0.0,0.0
2019-01-27,50.78,50.78,50.78,0.0,0.0,51.2,51.2,51.2,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2019-02-03,46.61,46.61,46.61,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2019-02-10,51.01,51.01,51.01,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.77,51.77,51.77,0.0,0.0
