Date,Saba Interest Rate Hedged CEF_Open_average,Saba Interest Rate Hedged CEF_Open_max,Saba Interest Rate Hedged CEF_Open_min,Saba Interest Rate Hedged CEF_Open_volatility,Saba Interest Rate Hedged CEF_Open_change,Saba Interest Rate Hedged CEF_High_average,Saba Interest Rate Hedged CEF_High_max,Saba Interest Rate Hedged CEF_High_min,Saba Interest Rate Hedged CEF_High_volatility,Saba Interest Rate Hedged CEF_High_change,Saba Interest Rate Hedged CEF_Low_average,Saba Interest Rate Hedged CEF_Low_max,Saba Interest Rate Hedged CEF_Low_min,Saba Interest Rate Hedged CEF_Low_volatility,Saba Interest Rate Hedged CEF_Low_change,Saba Interest Rate Hedged CEF_Close_average,Saba Interest Rate Hedged CEF_Close_max,Saba Interest Rate Hedged CEF_Close_min,Saba Interest Rate Hedged CEF_Close_volatility,Saba Interest Rate Hedged CEF_Close_change
2018-01-14,21.85,21.85,21.85,0.0,0.0,21.85,21.85,21.85,0.0,0.0,21.61,21.61,21.61,0.0,0.0,21.66,21.66,21.66,0.0,0.0
2018-01-21,22.01,22.01,22.01,0.0,0.0,23.0,23.0,23.0,0.0,0.0,21.71,21.71,21.71,0.0,0.0,21.74,21.74,21.74,0.0,0.0
2018-01-28,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,20.81,20.81,20.81,0.0,0.0,20.89,20.89,20.89,0.0,0.0
2018-02-04,20.73,20.73,20.73,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.72,20.72,20.72,0.0,0.0,20.81,20.81,20.81,0.0,0.0
2018-02-11,21.05,21.05,21.05,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.05,21.05,21.05,0.0,0.0,21.18,21.18,21.18,0.0,0.0
2018-02-18,21.1,21.1,21.1,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.09,21.09,21.09,0.0,0.0,21.12,21.12,21.12,0.0,0.0
2018-02-25,20.76,20.76,20.76,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.76,20.76,20.76,0.0,0.0,20.8,20.8,20.8,0.0,0.0
2018-03-04,21.2,21.2,21.2,0.0,0.0,21.2,21.2,21.2,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2018-03-11,20.93,20.93,20.93,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.84,20.84,20.84,0.0,0.0,20.84,20.84,20.84,0.0,0.0
2018-03-18,20.55,20.55,20.55,0.0,0.0,20.55,20.55,20.55,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.48,20.48,20.48,0.0,0.0
