Date,ProShares UltraShort Oil and Gas_Open_average,ProShares UltraShort Oil and Gas_Open_max,ProShares UltraShort Oil and Gas_Open_min,ProShares UltraShort Oil and Gas_Open_volatility,ProShares UltraShort Oil and Gas_Open_change,ProShares UltraShort Oil and Gas_High_average,ProShares UltraShort Oil and Gas_High_max,ProShares UltraShort Oil and Gas_High_min,ProShares UltraShort Oil and Gas_High_volatility,ProShares UltraShort Oil and Gas_High_change,ProShares UltraShort Oil and Gas_Low_average,ProShares UltraShort Oil and Gas_Low_max,ProShares UltraShort Oil and Gas_Low_min,ProShares UltraShort Oil and Gas_Low_volatility,ProShares UltraShort Oil and Gas_Low_change,ProShares UltraShort Oil and Gas_Close_average,ProShares UltraShort Oil and Gas_Close_max,ProShares UltraShort Oil and Gas_Close_min,ProShares UltraShort Oil and Gas_Close_volatility,ProShares UltraShort Oil and Gas_Close_change
2018-01-14,33.08,33.08,33.08,0.0,0.0,33.08,33.08,33.08,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-01-21,32.62,32.62,32.62,0.0,0.0,33.27,33.27,33.27,0.0,0.0,32.31,32.31,32.31,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-01-28,37.54,37.54,37.54,0.0,0.0,40.67,40.67,40.67,0.0,0.0,36.75,36.75,36.75,0.0,0.0,39.68,39.68,39.68,0.0,0.0
2018-02-04,41.78,41.78,41.78,0.0,0.0,42.23,42.23,42.23,0.0,0.0,40.63,40.63,40.63,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-02-11,40.98,40.98,40.98,0.0,0.0,41.35,41.35,41.35,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.9,40.9,40.9,0.0,0.0
2018-02-18,39.56,39.56,39.56,0.0,0.0,39.98,39.98,39.98,0.0,0.0,39.31,39.31,39.31,0.0,0.0,39.44,39.44,39.44,0.0,0.0
2018-02-25,42.39,42.39,42.39,0.0,0.0,42.39,42.39,42.39,0.0,0.0,40.79,40.79,40.79,0.0,0.0,41.05,41.05,41.05,0.0,0.0
2018-03-04,40.14,40.14,40.14,0.0,0.0,40.61,40.61,40.61,0.0,0.0,39.72,39.72,39.72,0.0,0.0,40.21,40.21,40.21,0.0,0.0
2018-03-11,41.16,41.16,41.16,0.0,0.0,42.66,42.66,42.66,0.0,0.0,41.16,41.16,41.16,0.0,0.0,42.27,42.27,42.27,0.0,0.0
2018-03-18,40.51,40.51,40.51,0.0,0.0,41.39,41.39,41.39,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-03-25,40.78,40.78,40.78,0.0,0.0,43.49,43.49,43.49,0.0,0.0,40.69,40.69,40.69,0.0,0.0,42.15,42.15,42.15,0.0,0.0
2018-04-01,40.15,40.15,40.15,0.0,0.0,40.28,40.28,40.28,0.0,0.0,39.07,39.07,39.07,0.0,0.0,40.12,40.12,40.12,0.0,0.0
2018-04-08,35.69,35.69,35.69,0.0,0.0,35.96,35.96,35.96,0.0,0.0,34.76,34.76,34.76,0.0,0.0,35.08,35.08,35.08,0.0,0.0
2018-04-15,34.14,34.14,34.14,0.0,0.0,34.43,34.43,34.43,0.0,0.0,33.48,33.48,33.48,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-04-22,33.54,33.54,33.54,0.0,0.0,33.54,33.54,33.54,0.0,0.0,32.7,32.7,32.7,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-04-29,32.82,32.82,32.82,0.0,0.0,33.29,33.29,33.29,0.0,0.0,31.75,31.75,31.75,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-05-06,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.39,30.39,30.39,0.0,0.0
2018-05-13,29.34,29.34,29.34,0.0,0.0,29.53,29.53,29.53,0.0,0.0,28.98,28.98,28.98,0.0,0.0,29.01,29.01,29.01,0.0,0.0
2018-05-20,31.85,31.85,31.85,0.0,0.0,33.04,33.04,33.04,0.0,0.0,31.85,31.85,31.85,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2018-05-27,30.61,30.61,30.61,0.0,0.0,31.57,31.57,31.57,0.0,0.0,30.2,30.2,30.2,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-06-03,30.55,30.55,30.55,0.0,0.0,30.62,30.62,30.62,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-06-10,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-06-17,31.55,31.55,31.55,0.0,0.0,32.81,32.81,32.81,0.0,0.0,31.2,31.2,31.2,0.0,0.0,32.49,32.49,32.49,0.0,0.0
2018-06-24,30.87,30.87,30.87,0.0,0.0,31.7,31.7,31.7,0.0,0.0,30.87,30.87,30.87,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-07-01,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-07-08,30.57,30.57,30.57,0.0,0.0,31.34,31.34,31.34,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.82,30.82,30.82,0.0,0.0
2018-07-15,31.22,31.22,31.22,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-07-22,29.59,29.59,29.59,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-07-29,30.81,30.81,30.81,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-08-05,31.11,31.11,31.11,0.0,0.0,31.79,31.79,31.79,0.0,0.0,30.9,30.9,30.9,0.0,0.0,31.77,31.77,31.77,0.0,0.0
2018-08-12,32.95,32.95,32.95,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.46,32.46,32.46,0.0,0.0,32.69,32.69,32.69,0.0,0.0
2018-08-19,30.94,30.94,30.94,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-08-26,31.25,31.25,31.25,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-09-02,32.6,32.6,32.6,0.0,0.0,33.06,33.06,33.06,0.0,0.0,32.43,32.43,32.43,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2018-09-09,31.53,31.53,31.53,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.58,31.58,31.58,0.0,0.0
2018-09-16,29.98,29.98,29.98,0.0,0.0,29.98,29.98,29.98,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-09-23,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.92,28.92,28.92,0.0,0.0
2018-09-30,29.27,29.27,29.27,0.0,0.0,29.41,29.41,29.41,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-10-07,31.87,31.87,31.87,0.0,0.0,32.28,32.28,32.28,0.0,0.0,31.57,31.57,31.57,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-10-14,33.18,33.18,33.18,0.0,0.0,34.21,34.21,34.21,0.0,0.0,33.18,33.18,33.18,0.0,0.0,33.85,33.85,33.85,0.0,0.0
2018-10-21,37.91,37.91,37.91,0.0,0.0,40.87,40.87,40.87,0.0,0.0,37.83,37.83,37.83,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-10-28,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.82,35.82,35.82,0.0,0.0
2018-11-04,35.73,35.73,35.73,0.0,0.0,37.9,37.9,37.9,0.0,0.0,35.41,35.41,35.41,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-11-11,38.36,38.36,38.36,0.0,0.0,38.36,38.36,38.36,0.0,0.0,37.48,37.48,37.48,0.0,0.0,37.76,37.76,37.76,0.0,0.0
2018-11-18,40.97,40.97,40.97,0.0,0.0,40.97,40.97,40.97,0.0,0.0,39.65,39.65,39.65,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2018-11-25,36.96,36.96,36.96,0.0,0.0,37.99,37.99,37.99,0.0,0.0,36.71,36.71,36.71,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2018-12-02,41.65,41.65,41.65,0.0,0.0,44.45,44.45,44.45,0.0,0.0,41.6,41.6,41.6,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-12-09,44.45,44.45,44.45,0.0,0.0,46.52,46.52,46.52,0.0,0.0,43.75,43.75,43.75,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2018-12-16,54.45,54.45,54.45,0.0,0.0,57.65,57.65,57.65,0.0,0.0,54.13,54.13,54.13,0.0,0.0,57.58,57.58,57.58,0.0,0.0
2018-12-23,49.71,49.71,49.71,0.0,0.0,51.32,51.32,51.32,0.0,0.0,49.39,49.39,49.39,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-12-30,44.8,44.8,44.8,0.0,0.0,45.86,45.86,45.86,0.0,0.0,43.42,43.42,43.42,0.0,0.0,44.08,44.08,44.08,0.0,0.0
2019-01-06,43.13,43.13,43.13,0.0,0.0,43.13,43.13,43.13,0.0,0.0,42.09,42.09,42.09,0.0,0.0,42.36,42.36,42.36,0.0,0.0
2019-01-13,40.48,40.48,40.48,0.0,0.0,40.95,40.95,40.95,0.0,0.0,39.82,39.82,39.82,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2019-01-20,41.95,41.95,41.95,0.0,0.0,42.7,42.7,42.7,0.0,0.0,41.83,41.83,41.83,0.0,0.0,41.83,41.83,41.83,0.0,0.0
