Date,VanEck Vectors ChinaAMC China Bond_Open_average,VanEck Vectors ChinaAMC China Bond_Open_max,VanEck Vectors ChinaAMC China Bond_Open_min,VanEck Vectors ChinaAMC China Bond_Open_volatility,VanEck Vectors ChinaAMC China Bond_Open_change,VanEck Vectors ChinaAMC China Bond_High_average,VanEck Vectors ChinaAMC China Bond_High_max,VanEck Vectors ChinaAMC China Bond_High_min,VanEck Vectors ChinaAMC China Bond_High_volatility,VanEck Vectors ChinaAMC China Bond_High_change,VanEck Vectors ChinaAMC China Bond_Low_average,VanEck Vectors ChinaAMC China Bond_Low_max,VanEck Vectors ChinaAMC China Bond_Low_min,VanEck Vectors ChinaAMC China Bond_Low_volatility,VanEck Vectors ChinaAMC China Bond_Low_change,VanEck Vectors ChinaAMC China Bond_Close_average,VanEck Vectors ChinaAMC China Bond_Close_max,VanEck Vectors ChinaAMC China Bond_Close_min,VanEck Vectors ChinaAMC China Bond_Close_volatility,VanEck Vectors ChinaAMC China Bond_Close_change
2018-01-14,23.23,23.23,23.23,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.22,23.22,23.22,0.0,0.0
2018-01-21,23.43,23.43,23.43,0.0,0.0,23.46,23.46,23.46,0.0,0.0,23.43,23.43,23.43,0.0,0.0,23.44,23.44,23.44,0.0,0.0
2018-01-28,23.54,23.54,23.54,0.0,0.0,23.58,23.58,23.58,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-02-04,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0,23.37,23.37,23.37,0.0,0.0
2018-02-11,23.8,23.8,23.8,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.69,23.69,23.69,0.0,0.0,23.69,23.69,23.69,0.0,0.0
2018-02-18,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-02-25,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0
2018-03-04,23.73,23.73,23.73,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.72,23.72,23.72,0.0,0.0
2018-03-11,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-03-18,23.88,23.88,23.88,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.98,23.98,23.98,0.0,0.0
2018-03-25,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2018-04-01,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.88,23.88,23.88,0.0,0.0,23.88,23.88,23.88,0.0,0.0
2018-04-08,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2018-04-15,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.24,24.24,24.24,0.0,0.0,24.24,24.24,24.24,0.0,0.0
2018-04-22,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-04-29,23.85,23.85,23.85,0.0,0.0,23.85,23.85,23.85,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.84,23.84,23.84,0.0,0.0
2018-05-06,23.87,23.87,23.87,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.81,23.81,23.81,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-05-13,23.83,23.83,23.83,0.0,0.0,23.86,23.86,23.86,0.0,0.0,23.75,23.75,23.75,0.0,0.0,23.86,23.86,23.86,0.0,0.0
2018-05-20,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0
