Date,iShares MSCI India Small-Cap_etf_Open_average,iShares MSCI India Small-Cap_etf_Open_max,iShares MSCI India Small-Cap_etf_Open_min,iShares MSCI India Small-Cap_etf_Open_volatility,iShares MSCI India Small-Cap_etf_Open_change,iShares MSCI India Small-Cap_etf_High_average,iShares MSCI India Small-Cap_etf_High_max,iShares MSCI India Small-Cap_etf_High_min,iShares MSCI India Small-Cap_etf_High_volatility,iShares MSCI India Small-Cap_etf_High_change,iShares MSCI India Small-Cap_etf_Low_average,iShares MSCI India Small-Cap_etf_Low_max,iShares MSCI India Small-Cap_etf_Low_min,iShares MSCI India Small-Cap_etf_Low_volatility,iShares MSCI India Small-Cap_etf_Low_change,iShares MSCI India Small-Cap_etf_Close_average,iShares MSCI India Small-Cap_etf_Close_max,iShares MSCI India Small-Cap_etf_Close_min,iShares MSCI India Small-Cap_etf_Close_volatility,iShares MSCI India Small-Cap_etf_Close_change
2018-01-14,53.78,53.78,53.78,0.0,0.0,53.88,53.88,53.88,0.0,0.0,52.85,52.85,52.85,0.0,0.0,53.65,53.65,53.65,0.0,0.0
2018-01-21,53.66,53.66,53.66,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.91,53.91,53.91,0.0,0.0
2018-01-28,49.62,49.62,49.62,0.0,0.0,49.82,49.82,49.82,0.0,0.0,48.41,48.41,48.41,0.0,0.0,48.42,48.42,48.42,0.0,0.0
2018-02-04,49.75,49.75,49.75,0.0,0.0,50.37,50.37,50.37,0.0,0.0,48.78,48.78,48.78,0.0,0.0,50.16,50.16,50.16,0.0,0.0
2018-02-11,50.2,50.2,50.2,0.0,0.0,50.2,50.2,50.2,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.59,49.59,49.59,0.0,0.0
2018-02-18,49.49,49.49,49.49,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.2,49.2,49.2,0.0,0.0,49.68,49.68,49.68,0.0,0.0
2018-02-25,47.84,47.84,47.84,0.0,0.0,48.39,48.39,48.39,0.0,0.0,47.8,47.8,47.8,0.0,0.0,48.3,48.3,48.3,0.0,0.0
2018-03-04,47.62,47.62,47.62,0.0,0.0,48.1,48.1,48.1,0.0,0.0,47.51,47.51,47.51,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-03-11,48.21,48.21,48.21,0.0,0.0,48.4,48.4,48.4,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.8,47.8,47.8,0.0,0.0
2018-03-18,46.55,46.55,46.55,0.0,0.0,46.6,46.6,46.6,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-03-25,47.16,47.16,47.16,0.0,0.0,47.55,47.55,47.55,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-04-01,48.67,48.67,48.67,0.0,0.0,49.36,49.36,49.36,0.0,0.0,48.33,48.33,48.33,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-04-08,48.97,48.97,48.97,0.0,0.0,49.35,49.35,49.35,0.0,0.0,48.97,48.97,48.97,0.0,0.0,49.05,49.05,49.05,0.0,0.0
2018-04-15,48.73,48.73,48.73,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-04-22,48.81,48.81,48.81,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.64,48.64,48.64,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-04-29,47.58,47.58,47.58,0.0,0.0,48.0,48.0,48.0,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-05-06,47.25,47.25,47.25,0.0,0.0,47.3,47.3,47.3,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.09,47.09,47.09,0.0,0.0
2018-05-13,45.55,45.55,45.55,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-05-20,45.27,45.27,45.27,0.0,0.0,45.6,45.6,45.6,0.0,0.0,45.15,45.15,45.15,0.0,0.0,45.5,45.5,45.5,0.0,0.0
2018-05-27,45.39,45.39,45.39,0.0,0.0,45.75,45.75,45.75,0.0,0.0,45.39,45.39,45.39,0.0,0.0,45.67,45.67,45.67,0.0,0.0
2018-06-03,45.2,45.2,45.2,0.0,0.0,45.42,45.42,45.42,0.0,0.0,44.99,44.99,44.99,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-06-10,44.98,44.98,44.98,0.0,0.0,44.98,44.98,44.98,0.0,0.0,44.55,44.55,44.55,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-06-17,43.5,43.5,43.5,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-06-24,41.71,41.71,41.71,0.0,0.0,42.43,42.43,42.43,0.0,0.0,41.71,41.71,41.71,0.0,0.0,42.0,42.0,42.0,0.0,0.0
2018-07-01,41.84,41.84,41.84,0.0,0.0,42.32,42.32,42.32,0.0,0.0,41.84,41.84,41.84,0.0,0.0,42.1,42.1,42.1,0.0,0.0
2018-07-08,42.64,42.64,42.64,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2018-07-15,41.38,41.38,41.38,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.53,41.53,41.53,0.0,0.0
2018-07-22,43.29,43.29,43.29,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.54,43.54,43.54,0.0,0.0
2018-07-29,44.17,44.17,44.17,0.0,0.0,44.66,44.66,44.66,0.0,0.0,44.17,44.17,44.17,0.0,0.0,44.63,44.63,44.63,0.0,0.0
2018-08-05,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2018-08-12,43.5,43.5,43.5,0.0,0.0,43.96,43.96,43.96,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2018-08-19,43.78,43.78,43.78,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.78,43.78,43.78,0.0,0.0,44.05,44.05,44.05,0.0,0.0
2018-08-26,43.84,43.84,43.84,0.0,0.0,44.14,44.14,44.14,0.0,0.0,43.81,43.81,43.81,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2018-09-02,42.16,42.16,42.16,0.0,0.0,42.63,42.63,42.63,0.0,0.0,42.15,42.15,42.15,0.0,0.0,42.25,42.25,42.25,0.0,0.0
2018-09-09,42.06,42.06,42.06,0.0,0.0,42.22,42.22,42.22,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.04,42.04,42.04,0.0,0.0
2018-09-16,40.6,40.6,40.6,0.0,0.0,40.63,40.63,40.63,0.0,0.0,39.55,39.55,39.55,0.0,0.0,39.88,39.88,39.88,0.0,0.0
2018-09-23,36.68,36.68,36.68,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-09-30,34.15,34.15,34.15,0.0,0.0,34.58,34.58,34.58,0.0,0.0,33.61,33.61,33.61,0.0,0.0,33.86,33.86,33.86,0.0,0.0
2018-10-07,35.38,35.38,35.38,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.3,35.3,35.3,0.0,0.0
