Date,VictoryShares Dividend Accelerator_Open_average,VictoryShares Dividend Accelerator_Open_max,VictoryShares Dividend Accelerator_Open_min,VictoryShares Dividend Accelerator_Open_volatility,VictoryShares Dividend Accelerator_Open_change,VictoryShares Dividend Accelerator_High_average,VictoryShares Dividend Accelerator_High_max,VictoryShares Dividend Accelerator_High_min,VictoryShares Dividend Accelerator_High_volatility,VictoryShares Dividend Accelerator_High_change,VictoryShares Dividend Accelerator_Low_average,VictoryShares Dividend Accelerator_Low_max,VictoryShares Dividend Accelerator_Low_min,VictoryShares Dividend Accelerator_Low_volatility,VictoryShares Dividend Accelerator_Low_change,VictoryShares Dividend Accelerator_Close_average,VictoryShares Dividend Accelerator_Close_max,VictoryShares Dividend Accelerator_Close_min,VictoryShares Dividend Accelerator_Close_volatility,VictoryShares Dividend Accelerator_Close_change
2018-01-14,29.35,29.35,29.35,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.35,29.35,29.35,0.0,0.0,29.39,29.39,29.39,0.0,0.0
2018-01-21,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-01-28,28.87,28.87,28.87,0.0,0.0,28.88,28.88,28.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0,27.88,27.88,27.88,0.0,0.0
2018-02-04,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-02-11,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2018-02-18,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-02-25,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0,27.95,27.95,27.95,0.0,0.0
2018-03-04,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.72,28.72,28.72,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2018-03-11,28.42,28.42,28.42,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-03-18,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-03-25,27.2,27.2,27.2,0.0,0.0,27.2,27.2,27.2,0.0,0.0,26.95,26.95,26.95,0.0,0.0,26.95,26.95,26.95,0.0,0.0
2018-04-01,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-04-08,28.21,28.21,28.21,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-04-15,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2018-04-22,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-04-29,28.09,28.09,28.09,0.0,0.0,28.09,28.09,28.09,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.08,28.08,28.08,0.0,0.0
2018-05-06,28.11,28.11,28.11,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.11,28.11,28.11,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-05-13,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-05-20,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-05-27,28.22,28.22,28.22,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.04,28.04,28.04,0.0,0.0
2018-06-03,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2018-06-10,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0,28.76,28.76,28.76,0.0,0.0
