Date,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_Open_change,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_High_change,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_Low_change,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_average,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_max,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_min,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_volatility,PowerShares DWA NASDAQ Momentum PortfolioEtf_Close_change
2018-01-14,110.01,110.01,110.01,0.0,0.0,110.29,110.29,110.29,0.0,0.0,109.7,109.7,109.7,0.0,0.0,110.13,110.13,110.13,0.0,0.0
2018-01-21,110.89,110.89,110.89,0.0,0.0,111.37,111.37,111.37,0.0,0.0,110.65,110.65,110.65,0.0,0.0,111.37,111.37,111.37,0.0,0.0
2018-01-28,108.9,108.9,108.9,0.0,0.0,108.9,108.9,108.9,0.0,0.0,107.27,107.27,107.27,0.0,0.0,107.3,107.3,107.3,0.0,0.0
2018-02-04,101.01,101.01,101.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0,101.01,101.01,101.01,0.0,0.0
2018-02-11,108.38,108.38,108.38,0.0,0.0,108.89,108.89,108.89,0.0,0.0,108.24,108.24,108.24,0.0,0.0,108.24,108.24,108.24,0.0,0.0
2018-02-18,108.74,108.74,108.74,0.0,0.0,109.09,109.09,109.09,0.0,0.0,108.28,108.28,108.28,0.0,0.0,109.08,109.08,109.08,0.0,0.0
2018-02-25,108.8,108.8,108.8,0.0,0.0,108.89,108.89,108.89,0.0,0.0,108.8,108.8,108.8,0.0,0.0,108.84,108.84,108.84,0.0,0.0
2018-03-04,113.4,113.4,113.4,0.0,0.0,113.65,113.65,113.65,0.0,0.0,113.4,113.4,113.4,0.0,0.0,113.64,113.64,113.64,0.0,0.0
2018-03-11,112.28,112.28,112.28,0.0,0.0,112.28,112.28,112.28,0.0,0.0,112.28,112.28,112.28,0.0,0.0,112.28,112.28,112.28,0.0,0.0
2018-03-18,107.15,107.15,107.15,0.0,0.0,107.31,107.31,107.31,0.0,0.0,106.3,106.3,106.3,0.0,0.0,106.33,106.33,106.33,0.0,0.0
2018-03-25,104.46,104.46,104.46,0.0,0.0,106.9,106.9,106.9,0.0,0.0,104.46,104.46,104.46,0.0,0.0,106.9,106.9,106.9,0.0,0.0
2018-04-01,104.48,104.48,104.48,0.0,0.0,104.52,104.52,104.52,0.0,0.0,103.58,103.58,103.58,0.0,0.0,103.6,103.6,103.6,0.0,0.0
2018-04-08,105.7,105.7,105.7,0.0,0.0,106.54,106.54,106.54,0.0,0.0,105.7,105.7,105.7,0.0,0.0,106.54,106.54,106.54,0.0,0.0
2018-04-15,106.35,106.35,106.35,0.0,0.0,106.35,106.35,106.35,0.0,0.0,105.7,105.7,105.7,0.0,0.0,105.7,105.7,105.7,0.0,0.0
2018-04-22,104.79,104.79,104.79,0.0,0.0,104.79,104.79,104.79,0.0,0.0,104.79,104.79,104.79,0.0,0.0,104.79,104.79,104.79,0.0,0.0
2018-04-29,106.04,106.04,106.04,0.0,0.0,106.04,106.04,106.04,0.0,0.0,106.04,106.04,106.04,0.0,0.0,106.04,106.04,106.04,0.0,0.0
2018-05-06,110.09,110.09,110.09,0.0,0.0,110.23,110.23,110.23,0.0,0.0,109.93,109.93,109.93,0.0,0.0,110.13,110.13,110.13,0.0,0.0
2018-05-13,110.83,110.83,110.83,0.0,0.0,110.93,110.93,110.93,0.0,0.0,110.51,110.51,110.51,0.0,0.0,110.51,110.51,110.51,0.0,0.0
2018-05-20,111.06,111.06,111.06,0.0,0.0,111.06,111.06,111.06,0.0,0.0,111.06,111.06,111.06,0.0,0.0,111.06,111.06,111.06,0.0,0.0
2018-05-27,112.57,112.57,112.57,0.0,0.0,112.57,112.57,112.57,0.0,0.0,112.57,112.57,112.57,0.0,0.0,112.57,112.57,112.57,0.0,0.0
2018-06-03,114.13,114.13,114.13,0.0,0.0,114.13,114.13,114.13,0.0,0.0,114.13,114.13,114.13,0.0,0.0,114.13,114.13,114.13,0.0,0.0
2018-06-10,115.85,115.85,115.85,0.0,0.0,115.85,115.85,115.85,0.0,0.0,115.03,115.03,115.03,0.0,0.0,115.37,115.37,115.37,0.0,0.0
2018-06-17,117.5,117.5,117.5,0.0,0.0,117.5,117.5,117.5,0.0,0.0,114.69,114.69,114.69,0.0,0.0,114.69,114.69,114.69,0.0,0.0
2018-06-24,110.76,110.76,110.76,0.0,0.0,111.02,111.02,111.02,0.0,0.0,110.76,110.76,110.76,0.0,0.0,111.02,111.02,111.02,0.0,0.0
2018-07-01,112.28,112.28,112.28,0.0,0.0,113.27,113.27,113.27,0.0,0.0,112.28,112.28,112.28,0.0,0.0,113.13,113.13,113.13,0.0,0.0
2018-07-08,114.57,114.57,114.57,0.0,0.0,114.57,114.57,114.57,0.0,0.0,114.39,114.39,114.39,0.0,0.0,114.39,114.39,114.39,0.0,0.0
2018-07-15,115.9,115.9,115.9,0.0,0.0,115.9,115.9,115.9,0.0,0.0,115.81,115.81,115.81,0.0,0.0,115.81,115.81,115.81,0.0,0.0
