Date,PowerShares S&P SmallCap Utilities_Open_average,PowerShares S&P SmallCap Utilities_Open_max,PowerShares S&P SmallCap Utilities_Open_min,PowerShares S&P SmallCap Utilities_Open_volatility,PowerShares S&P SmallCap Utilities_Open_change,PowerShares S&P SmallCap Utilities_High_average,PowerShares S&P SmallCap Utilities_High_max,PowerShares S&P SmallCap Utilities_High_min,PowerShares S&P SmallCap Utilities_High_volatility,PowerShares S&P SmallCap Utilities_High_change,PowerShares S&P SmallCap Utilities_Low_average,PowerShares S&P SmallCap Utilities_Low_max,PowerShares S&P SmallCap Utilities_Low_min,PowerShares S&P SmallCap Utilities_Low_volatility,PowerShares S&P SmallCap Utilities_Low_change,PowerShares S&P SmallCap Utilities_Close_average,PowerShares S&P SmallCap Utilities_Close_max,PowerShares S&P SmallCap Utilities_Close_min,PowerShares S&P SmallCap Utilities_Close_volatility,PowerShares S&P SmallCap Utilities_Close_change
2018-01-14,51.85,51.85,51.85,0.0,0.0,52.03,52.03,52.03,0.0,0.0,50.83,50.83,50.83,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-01-21,52.61,52.61,52.61,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-01-28,50.78,50.78,50.78,0.0,0.0,51.07,51.07,51.07,0.0,0.0,50.75,50.75,50.75,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-02-04,48.44,48.44,48.44,0.0,0.0,48.53,48.53,48.53,0.0,0.0,47.96,47.96,47.96,0.0,0.0,48.53,48.53,48.53,0.0,0.0
2018-02-11,50.08,50.08,50.08,0.0,0.0,50.59,50.59,50.59,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.55,50.55,50.55,0.0,0.0
2018-02-18,49.26,49.26,49.26,0.0,0.0,50.59,50.59,50.59,0.0,0.0,49.26,49.26,49.26,0.0,0.0,50.58,50.58,50.58,0.0,0.0
2018-02-25,48.84,48.84,48.84,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.7,48.7,48.7,0.0,0.0
2018-03-04,49.55,49.55,49.55,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.53,49.53,49.53,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-03-11,49.61,49.61,49.61,0.0,0.0,50.22,50.22,50.22,0.0,0.0,49.61,49.61,49.61,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-03-18,49.57,49.57,49.57,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.36,49.36,49.36,0.0,0.0,49.36,49.36,49.36,0.0,0.0
2018-03-25,49.95,49.95,49.95,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-04-01,50.64,50.64,50.64,0.0,0.0,51.1,51.1,51.1,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-04-08,50.71,50.71,50.71,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2018-04-15,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.68,51.68,51.68,0.0,0.0,51.69,51.69,51.69,0.0,0.0
2018-04-22,52.14,52.14,52.14,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.98,51.98,51.98,0.0,0.0,52.05,52.05,52.05,0.0,0.0
2018-04-29,52.75,52.75,52.75,0.0,0.0,53.27,53.27,53.27,0.0,0.0,52.75,52.75,52.75,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2018-05-06,52.85,52.85,52.85,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-05-13,52.32,52.32,52.32,0.0,0.0,52.32,52.32,52.32,0.0,0.0,52.16,52.16,52.16,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2018-05-20,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-05-27,52.75,52.75,52.75,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-06-03,52.14,52.14,52.14,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2018-06-10,53.42,53.42,53.42,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.29,53.29,53.29,0.0,0.0,53.51,53.51,53.51,0.0,0.0
2018-06-17,54.33,54.33,54.33,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.08,54.08,54.08,0.0,0.0,54.16,54.16,54.16,0.0,0.0
2018-06-24,54.28,54.28,54.28,0.0,0.0,54.29,54.29,54.29,0.0,0.0,53.91,53.91,53.91,0.0,0.0,54.11,54.11,54.11,0.0,0.0
