Date,DVNStock_Open_average,DVNStock_Open_max,DVNStock_Open_min,DVNStock_Open_volatility,DVNStock_Open_change,DVNStock_High_average,DVNStock_High_max,DVNStock_High_min,DVNStock_High_volatility,DVNStock_High_change,DVNStock_Low_average,DVNStock_Low_max,DVNStock_Low_min,DVNStock_Low_volatility,DVNStock_Low_change,DVNStock_Close_average,DVNStock_Close_max,DVNStock_Close_min,DVNStock_Close_volatility,DVNStock_Close_change,DVNStock_Volume_average,DVNStock_Volume_max,DVNStock_Volume_min,DVNStock_Volume_volatility,DVNStock_Volume_change
2018-01-14,43.4475,44.17,42.94,1.230000000000004,-1.230000000000004,43.7675,44.42,43.03,1.3900000000000006,-1.3900000000000006,42.7975,43.24,42.39,0.8500000000000014,-0.8500000000000014,43.1875,43.44,42.85,0.5899999999999963,-0.4099999999999966,4573827,5634854,2714666,2920188,-30553
2018-01-21,44.33,44.97,43.06,1.9099999999999966,0.9699999999999989,44.892,45.16,44.31,0.8499999999999943,-0.509999999999998,43.788000000000004,44.24,42.99,1.25,0.769999999999996,44.324,44.81,43.86,0.9500000000000028,-0.9500000000000028,4136962,5302090,2734485,2567605,-2106158
2018-01-28,42.266,43.59,41.52,2.0700000000000003,-1.970000000000006,42.702,44.41,41.75,2.6599999999999966,-2.6599999999999966,41.44,43.31,39.95,3.3599999999999994,-3.3599999999999994,41.694,43.33,40.03,3.299999999999997,-3.299999999999997,5536782,7342188,3401046,3941142,2608832
2018-02-04,37.525999999999996,39.37,35.28,4.089999999999996,-4.089999999999996,38.2,40.18,35.28,4.899999999999999,-4.899999999999999,35.97,38.3,32.69,5.609999999999999,-5.609999999999999,36.682,38.65,34.68,3.969999999999999,-3.969999999999999,8931152,11522676,7717826,3804850,3097327
2018-02-11,34.996,35.65,34.03,1.6199999999999974,-0.6699999999999946,35.58,36.11,34.91,1.2000000000000028,-1.2000000000000028,34.16,35.05,33.56,1.4899999999999949,-1.0499999999999972,34.952,35.78,34.11,1.6700000000000017,-1.6700000000000017,6299506,6839574,4889999,1949575,201239
2018-02-18,31.7275,34.3,30.71,3.5899999999999963,-3.5299999999999976,32.7825,34.9,31.46,3.4399999999999977,-3.4399999999999977,31.215,34.18,30.19,3.9899999999999984,-3.9400000000000013,31.765,34.65,30.41,4.239999999999998,-3.219999999999999,16982226,31052282,6373401,24678881,5504385
2018-02-25,31.188,31.92,30.4,1.5200000000000031,-1.1400000000000006,31.91,32.48,31.42,1.0599999999999952,-0.5599999999999987,30.632,31.39,29.97,1.4200000000000017,-0.7600000000000016,31.208,31.86,30.54,1.3200000000000003,-0.25,10526977,12820759,8932285,3888474,-2081737
2018-03-04,31.72,32.56,30.97,1.5900000000000034,1.4400000000000013,32.282,32.85,31.5,1.3500000000000014,0.5200000000000031,31.394,32.15,30.74,1.4100000000000001,1.0399999999999991,31.878,32.72,30.95,1.7699999999999996,0.7199999999999989,8920350,12183865,6492362,5691503,-709436
2018-03-11,32.583999999999996,32.97,31.72,1.25,-1.009999999999998,33.028,33.35,32.58,0.7700000000000031,-0.7700000000000031,32.118,32.6,31.51,1.0899999999999999,-0.9600000000000009,32.38,32.82,31.71,1.1099999999999994,-0.8599999999999994,9461451,10675513,7303005,3372508,3372508
2018-03-18,31.98,32.48,31.46,1.019999999999996,0.7299999999999969,32.598,33.3,31.9,1.3999999999999986,1.1799999999999997,31.628,32.1,30.9,1.2000000000000028,1.2000000000000028,32.03,32.92,31.16,1.7600000000000016,1.0699999999999967,9120875,10172353,8514905,1657448,-1213544
2018-03-25,32.09,32.57,31.42,1.1499999999999986,-1.1499999999999986,32.29,32.59,31.96,0.6300000000000026,-0.6099999999999994,31.322499999999998,31.58,30.98,0.5999999999999979,-0.370000000000001,31.7925,32.47,31.2,1.2699999999999996,-0.6799999999999997,6444298,7075739,6045092,1030647,-75656
2018-04-01,31.254,32.05,30.46,1.5899999999999963,0.3999999999999986,31.844,32.48,31.39,1.0899999999999963,0.509999999999998,30.526,31.38,29.82,1.5599999999999987,1.1400000000000006,31.356,32.29,30.35,1.9399999999999977,1.0999999999999979,6769580,8078322,5654945,2423377,-1564183
2018-04-08,32.87,33.55,31.8,1.7499999999999964,1.4499999999999993,33.522,34.06,32.28,1.7800000000000011,1.6099999999999994,32.583999999999996,33.37,31.43,1.9399999999999977,1.7000000000000028,33.048,33.74,31.47,2.270000000000003,2.1300000000000026,7866873,9887035,6238693,3648342,1025123
2018-04-15,34.66,36.54,33.58,2.960000000000001,1.8400000000000034,35.31,36.71,33.72,2.990000000000002,1.8800000000000026,34.128,35.41,33.12,2.289999999999999,1.6700000000000017,34.9,36.1,33.62,2.480000000000004,1.7800000000000011,9143838,15106860,4698630,10408230,3633837
2018-04-22,35.172,35.55,34.5,1.0499999999999972,0.21999999999999886,35.71,36.05,35.3,0.75,0.45999999999999375,34.692,35.19,34.12,1.0700000000000003,0.4200000000000017,35.328,35.78,34.48,1.3000000000000043,0.3200000000000003,7075836,9014469,5048880,3965589,1888466
2018-04-29,36.9,37.96,35.53,2.4299999999999997,1.7299999999999969,37.826,39.62,36.61,3.009999999999998,1.4399999999999977,36.498,37.24,35.48,1.7600000000000051,1.480000000000004,37.166,38.23,36.2,2.029999999999994,1.5399999999999991,8909017,17385608,5657342,11728266,161973
2018-05-06,39.486,40.93,37.89,3.039999999999999,2.490000000000002,40.406,41.4,39.32,2.0799999999999983,1.990000000000002,38.942,40.69,36.55,4.140000000000001,2.8499999999999943,39.794000000000004,40.95,37.89,3.0600000000000023,3.0600000000000023,10962153,13498685,8170183,5328502,-131542
2018-05-13,41.512,42.17,41.03,1.1400000000000006,0.9299999999999997,41.976,42.7,41.56,1.1400000000000006,0.8299999999999983,41.198,41.74,40.85,0.8900000000000006,0.8900000000000006,41.664,42.36,41.28,1.0799999999999983,0.6400000000000006,5863069,7387108,4232603,3154505,-2096259
2018-05-20,41.666000000000004,42.54,40.47,2.0700000000000003,-1.980000000000004,42.064,42.89,40.72,2.1700000000000017,-1.9200000000000017,40.952,41.81,39.59,2.219999999999999,-2.219999999999999,41.717999999999996,42.33,40.58,1.75,-1.75,6026934,6948699,4461639,2487060,2487060
