Date,ALPS Emerging Sector Dividend DogsEtf_Open_average,ALPS Emerging Sector Dividend DogsEtf_Open_max,ALPS Emerging Sector Dividend DogsEtf_Open_min,ALPS Emerging Sector Dividend DogsEtf_Open_volatility,ALPS Emerging Sector Dividend DogsEtf_Open_change,ALPS Emerging Sector Dividend DogsEtf_High_average,ALPS Emerging Sector Dividend DogsEtf_High_max,ALPS Emerging Sector Dividend DogsEtf_High_min,ALPS Emerging Sector Dividend DogsEtf_High_volatility,ALPS Emerging Sector Dividend DogsEtf_High_change,ALPS Emerging Sector Dividend DogsEtf_Low_average,ALPS Emerging Sector Dividend DogsEtf_Low_max,ALPS Emerging Sector Dividend DogsEtf_Low_min,ALPS Emerging Sector Dividend DogsEtf_Low_volatility,ALPS Emerging Sector Dividend DogsEtf_Low_change,ALPS Emerging Sector Dividend DogsEtf_Close_average,ALPS Emerging Sector Dividend DogsEtf_Close_max,ALPS Emerging Sector Dividend DogsEtf_Close_min,ALPS Emerging Sector Dividend DogsEtf_Close_volatility,ALPS Emerging Sector Dividend DogsEtf_Close_change
2018-01-14,26.57,26.57,26.57,0.0,0.0,26.57,26.57,26.57,0.0,0.0,26.41,26.41,26.41,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2018-01-21,27.17,27.17,27.17,0.0,0.0,27.31,27.31,27.31,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.23,27.23,27.23,0.0,0.0
2018-01-28,26.23,26.23,26.23,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-02-04,25.22,25.22,25.22,0.0,0.0,25.22,25.22,25.22,0.0,0.0,24.57,24.57,24.57,0.0,0.0,25.14,25.14,25.14,0.0,0.0
2018-02-11,26.18,26.18,26.18,0.0,0.0,26.39,26.39,26.39,0.0,0.0,26.17,26.17,26.17,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2018-02-18,26.29,26.29,26.29,0.0,0.0,26.51,26.51,26.51,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-02-25,25.59,25.59,25.59,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.79,25.79,25.79,0.0,0.0
2018-03-04,25.86,25.86,25.86,0.0,0.0,26.03,26.03,26.03,0.0,0.0,25.83,25.83,25.83,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-03-11,25.22,25.22,25.22,0.0,0.0,25.35,25.35,25.35,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-03-18,24.8,24.8,24.8,0.0,0.0,24.82,24.82,24.82,0.0,0.0,24.53,24.53,24.53,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-03-25,24.59,24.59,24.59,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.88,24.88,24.88,0.0,0.0
2018-04-01,24.72,24.72,24.72,0.0,0.0,24.72,24.72,24.72,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-04-08,24.52,24.52,24.52,0.0,0.0,24.52,24.52,24.52,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2018-04-15,24.38,24.38,24.38,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2018-04-22,24.1,24.1,24.1,0.0,0.0,24.18,24.18,24.18,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-04-29,23.27,23.27,23.27,0.0,0.0,23.47,23.47,23.47,0.0,0.0,23.24,23.24,23.24,0.0,0.0,23.43,23.43,23.43,0.0,0.0
2018-05-06,23.57,23.57,23.57,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-05-13,22.95,22.95,22.95,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.91,22.91,22.91,0.0,0.0
2018-05-20,23.12,23.12,23.12,0.0,0.0,23.15,23.15,23.15,0.0,0.0,23.06,23.06,23.06,0.0,0.0,23.14,23.14,23.14,0.0,0.0
2018-05-27,22.95,22.95,22.95,0.0,0.0,23.13,23.13,23.13,0.0,0.0,22.95,22.95,22.95,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-06-03,22.94,22.94,22.94,0.0,0.0,23.02,23.02,23.02,0.0,0.0,22.78,22.78,22.78,0.0,0.0,23.02,23.02,23.02,0.0,0.0
2018-06-10,22.35,22.35,22.35,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.14,22.14,22.14,0.0,0.0,22.37,22.37,22.37,0.0,0.0
