Date,American Century Diversified Corporate Bond_Open_average,American Century Diversified Corporate Bond_Open_max,American Century Diversified Corporate Bond_Open_min,American Century Diversified Corporate Bond_Open_volatility,American Century Diversified Corporate Bond_Open_change,American Century Diversified Corporate Bond_High_average,American Century Diversified Corporate Bond_High_max,American Century Diversified Corporate Bond_High_min,American Century Diversified Corporate Bond_High_volatility,American Century Diversified Corporate Bond_High_change,American Century Diversified Corporate Bond_Low_average,American Century Diversified Corporate Bond_Low_max,American Century Diversified Corporate Bond_Low_min,American Century Diversified Corporate Bond_Low_volatility,American Century Diversified Corporate Bond_Low_change,American Century Diversified Corporate Bond_Close_average,American Century Diversified Corporate Bond_Close_max,American Century Diversified Corporate Bond_Close_min,American Century Diversified Corporate Bond_Close_volatility,American Century Diversified Corporate Bond_Close_change
2018-01-14,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-01-21,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-01-28,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-02-04,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-02-11,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0,49.4,49.4,49.4,0.0,0.0
2018-02-18,49.13,49.13,49.13,0.0,0.0,49.13,49.13,49.13,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-02-25,49.06,49.06,49.06,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.06,49.06,49.06,0.0,0.0,49.06,49.06,49.06,0.0,0.0
2018-03-04,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0
2018-03-11,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.94,48.94,48.94,0.0,0.0
2018-03-18,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.07,49.07,49.07,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-03-25,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.95,48.95,48.95,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2018-04-01,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.87,48.87,48.87,0.0,0.0
2018-04-08,48.79,48.79,48.79,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.78,48.78,48.78,0.0,0.0,48.78,48.78,48.78,0.0,0.0
2018-04-15,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-04-22,48.69,48.69,48.69,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.69,48.69,48.69,0.0,0.0
2018-04-29,48.59,48.59,48.59,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.59,48.59,48.59,0.0,0.0,48.59,48.59,48.59,0.0,0.0
2018-05-06,48.58,48.58,48.58,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-05-13,48.57,48.57,48.57,0.0,0.0,48.57,48.57,48.57,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-05-20,48.66,48.66,48.66,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-05-27,48.54,48.54,48.54,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.54,48.54,48.54,0.0,0.0
2018-06-03,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0
2018-06-10,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0
2018-06-17,48.68,48.68,48.68,0.0,0.0,48.68,48.68,48.68,0.0,0.0,48.66,48.66,48.66,0.0,0.0,48.66,48.66,48.66,0.0,0.0
2018-06-24,48.58,48.58,48.58,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.58,48.58,48.58,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-07-01,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-07-08,48.79,48.79,48.79,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.79,48.79,48.79,0.0,0.0
2018-07-15,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.85,48.85,48.85,0.0,0.0
2018-07-22,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-07-29,48.94,48.94,48.94,0.0,0.0,48.96,48.96,48.96,0.0,0.0,48.94,48.94,48.94,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2018-08-05,48.91,48.91,48.91,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.82,48.82,48.82,0.0,0.0,48.82,48.82,48.82,0.0,0.0
