Date,Invesco S and P MidCap Value with MomentumEtf_Open_average,Invesco S and P MidCap Value with MomentumEtf_Open_max,Invesco S and P MidCap Value with MomentumEtf_Open_min,Invesco S and P MidCap Value with MomentumEtf_Open_volatility,Invesco S and P MidCap Value with MomentumEtf_Open_change,Invesco S and P MidCap Value with MomentumEtf_High_average,Invesco S and P MidCap Value with MomentumEtf_High_max,Invesco S and P MidCap Value with MomentumEtf_High_min,Invesco S and P MidCap Value with MomentumEtf_High_volatility,Invesco S and P MidCap Value with MomentumEtf_High_change,Invesco S and P MidCap Value with MomentumEtf_Low_average,Invesco S and P MidCap Value with MomentumEtf_Low_max,Invesco S and P MidCap Value with MomentumEtf_Low_min,Invesco S and P MidCap Value with MomentumEtf_Low_volatility,Invesco S and P MidCap Value with MomentumEtf_Low_change,Invesco S and P MidCap Value with MomentumEtf_Close_average,Invesco S and P MidCap Value with MomentumEtf_Close_max,Invesco S and P MidCap Value with MomentumEtf_Close_min,Invesco S and P MidCap Value with MomentumEtf_Close_volatility,Invesco S and P MidCap Value with MomentumEtf_Close_change
2018-01-14,31.5,31.5,31.5,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-01-21,31.95,31.95,31.95,0.0,0.0,32.05,32.05,32.05,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-01-28,31.14,31.14,31.14,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.03,31.03,31.03,0.0,0.0
2018-02-04,29.51,29.51,29.51,0.0,0.0,29.59,29.59,29.59,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.4,29.4,29.4,0.0,0.0
2018-02-11,30.71,30.71,30.71,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-02-18,30.32,30.32,30.32,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-02-25,29.77,29.77,29.77,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-03-04,30.73,30.73,30.73,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-03-11,30.89,30.89,30.89,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.96,30.96,30.96,0.0,0.0
2018-03-18,30.12,30.12,30.12,0.0,0.0,30.12,30.12,30.12,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-03-25,30.17,30.17,30.17,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.24,30.24,30.24,0.0,0.0
2018-04-01,30.6,30.6,30.6,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.01,30.01,30.01,0.0,0.0
2018-04-08,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.27,30.27,30.27,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-04-15,30.82,30.82,30.82,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-04-22,30.91,30.91,30.91,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-04-29,30.44,30.44,30.44,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-05-06,31.0,31.0,31.0,0.0,0.0,31.03,31.03,31.03,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-05-13,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.94,30.94,30.94,0.0,0.0,30.97,30.97,30.97,0.0,0.0
2018-05-20,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-05-27,31.14,31.14,31.14,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-06-03,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.23,31.23,31.23,0.0,0.0
2018-06-10,31.21,31.21,31.21,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0
2018-06-17,31.1,31.1,31.1,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-06-24,31.11,31.11,31.11,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.05,31.05,31.05,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-07-01,31.45,31.45,31.45,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-07-08,31.49,31.49,31.49,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.51,31.51,31.51,0.0,0.0
2018-07-15,31.38,31.38,31.38,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2018-07-22,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.32,31.32,31.32,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2018-07-29,31.76,31.76,31.76,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.74,31.74,31.74,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-08-05,31.64,31.64,31.64,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-08-12,31.93,31.93,31.93,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.08,32.08,32.08,0.0,0.0
2018-08-19,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-08-26,31.9,31.9,31.9,0.0,0.0,31.9,31.9,31.9,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-09-02,31.72,31.72,31.72,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.71,31.71,31.71,0.0,0.0
2018-09-09,31.85,31.85,31.85,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-09-16,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.18,32.18,32.18,0.0,0.0
2018-09-23,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-09-30,30.88,30.88,30.88,0.0,0.0,30.88,30.88,30.88,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-10-07,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-10-14,30.54,30.54,30.54,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-10-21,29.44,29.44,29.44,0.0,0.0,29.44,29.44,29.44,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.28,29.28,29.28,0.0,0.0
2018-10-28,30.35,30.35,30.35,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.02,30.02,30.02,0.0,0.0,30.21,30.21,30.21,0.0,0.0
2018-11-04,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-11-11,30.51,30.51,30.51,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-11-18,29.95,29.95,29.95,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.95,29.95,29.95,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2018-11-25,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-12-02,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.05,30.05,30.05,0.0,0.0,30.06,30.06,30.06,0.0,0.0
2018-12-09,29.68,29.68,29.68,0.0,0.0,29.68,29.68,29.68,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.55,29.55,29.55,0.0,0.0
2018-12-16,27.98,27.98,27.98,0.0,0.0,28.3,28.3,28.3,0.0,0.0,27.46,27.46,27.46,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2018-12-23,27.38,27.38,27.38,0.0,0.0,27.91,27.91,27.91,0.0,0.0,27.38,27.38,27.38,0.0,0.0,27.43,27.43,27.43,0.0,0.0
2018-12-30,27.75,27.75,27.75,0.0,0.0,28.14,28.14,28.14,0.0,0.0,27.75,27.75,27.75,0.0,0.0,28.06,28.06,28.06,0.0,0.0
