Date,Barclays ETN Plus Select MLP_etf_Open_average,Barclays ETN Plus Select MLP_etf_Open_max,Barclays ETN Plus Select MLP_etf_Open_min,Barclays ETN Plus Select MLP_etf_Open_volatility,Barclays ETN Plus Select MLP_etf_Open_change,Barclays ETN Plus Select MLP_etf_High_average,Barclays ETN Plus Select MLP_etf_High_max,Barclays ETN Plus Select MLP_etf_High_min,Barclays ETN Plus Select MLP_etf_High_volatility,Barclays ETN Plus Select MLP_etf_High_change,Barclays ETN Plus Select MLP_etf_Low_average,Barclays ETN Plus Select MLP_etf_Low_max,Barclays ETN Plus Select MLP_etf_Low_min,Barclays ETN Plus Select MLP_etf_Low_volatility,Barclays ETN Plus Select MLP_etf_Low_change,Barclays ETN Plus Select MLP_etf_Close_average,Barclays ETN Plus Select MLP_etf_Close_max,Barclays ETN Plus Select MLP_etf_Close_min,Barclays ETN Plus Select MLP_etf_Close_volatility,Barclays ETN Plus Select MLP_etf_Close_change
2018-01-14,21.93,21.93,21.93,0.0,0.0,22.21,22.21,22.21,0.0,0.0,21.93,21.93,21.93,0.0,0.0,22.18,22.18,22.18,0.0,0.0
2018-01-21,22.5,22.5,22.5,0.0,0.0,22.66,22.66,22.66,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.61,22.61,22.61,0.0,0.0
2018-01-28,21.42,21.42,21.42,0.0,0.0,21.64,21.64,21.64,0.0,0.0,21.19,21.19,21.19,0.0,0.0,21.19,21.19,21.19,0.0,0.0
2018-02-04,20.75,20.75,20.75,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-02-11,20.86,20.86,20.86,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.79,20.79,20.79,0.0,0.0,20.82,20.82,20.82,0.0,0.0
2018-02-18,20.4,20.4,20.4,0.0,0.0,20.52,20.52,20.52,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.49,20.49,20.49,0.0,0.0
2018-02-25,19.35,19.35,19.35,0.0,0.0,19.68,19.68,19.68,0.0,0.0,19.29,19.29,19.29,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2018-03-04,19.54,19.54,19.54,0.0,0.0,19.82,19.82,19.82,0.0,0.0,19.54,19.54,19.54,0.0,0.0,19.8,19.8,19.8,0.0,0.0
2018-03-11,19.06,19.06,19.06,0.0,0.0,19.43,19.43,19.43,0.0,0.0,18.87,18.87,18.87,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2018-03-18,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.24,18.24,18.24,0.0,0.0
