Date,iShares Global EnergyEtf_Open_average,iShares Global EnergyEtf_Open_max,iShares Global EnergyEtf_Open_min,iShares Global EnergyEtf_Open_volatility,iShares Global EnergyEtf_Open_change,iShares Global EnergyEtf_High_average,iShares Global EnergyEtf_High_max,iShares Global EnergyEtf_High_min,iShares Global EnergyEtf_High_volatility,iShares Global EnergyEtf_High_change,iShares Global EnergyEtf_Low_average,iShares Global EnergyEtf_Low_max,iShares Global EnergyEtf_Low_min,iShares Global EnergyEtf_Low_volatility,iShares Global EnergyEtf_Low_change,iShares Global EnergyEtf_Close_average,iShares Global EnergyEtf_Close_max,iShares Global EnergyEtf_Close_min,iShares Global EnergyEtf_Close_volatility,iShares Global EnergyEtf_Close_change
2018-01-14,36.43,36.43,36.43,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-01-21,37.03,37.03,37.03,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.94,36.94,36.94,0.0,0.0,37.09,37.09,37.09,0.0,0.0
2018-01-28,35.65,35.65,35.65,0.0,0.0,35.67,35.67,35.67,0.0,0.0,34.77,34.77,34.77,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-02-04,32.49,32.49,32.49,0.0,0.0,32.63,32.63,32.63,0.0,0.0,31.29,31.29,31.29,0.0,0.0,32.3,32.3,32.3,0.0,0.0
2018-02-11,33.11,33.11,33.11,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.01,33.01,33.01,0.0,0.0,33.15,33.15,33.15,0.0,0.0
2018-02-18,33.09,33.09,33.09,0.0,0.0,33.51,33.51,33.51,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.5,33.5,33.5,0.0,0.0
2018-02-25,32.2,32.2,32.2,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.55,32.55,32.55,0.0,0.0
2018-03-04,32.83,32.83,32.83,0.0,0.0,33.12,33.12,33.12,0.0,0.0,32.83,32.83,32.83,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-03-11,32.57,32.57,32.57,0.0,0.0,32.96,32.96,32.96,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-03-18,32.92,32.92,32.92,0.0,0.0,33.17,33.17,33.17,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-03-25,32.66,32.66,32.66,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.66,32.66,32.66,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-04-01,33.79,33.79,33.79,0.0,0.0,33.99,33.99,33.99,0.0,0.0,33.19,33.19,33.19,0.0,0.0,33.52,33.52,33.52,0.0,0.0
2018-04-08,34.89,34.89,34.89,0.0,0.0,35.27,35.27,35.27,0.0,0.0,34.89,34.89,34.89,0.0,0.0,35.11,35.11,35.11,0.0,0.0
2018-04-15,35.98,35.98,35.98,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-04-22,36.09,36.09,36.09,0.0,0.0,36.24,36.24,36.24,0.0,0.0,35.96,35.96,35.96,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-04-29,35.84,35.84,35.84,0.0,0.0,36.27,36.27,36.27,0.0,0.0,35.75,35.75,35.75,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-05-06,37.54,37.54,37.54,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-05-13,38.25,38.25,38.25,0.0,0.0,38.29,38.29,38.29,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2018-05-20,36.3,36.3,36.3,0.0,0.0,36.3,36.3,36.3,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-05-27,36.79,36.79,36.79,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-06-03,37.01,37.01,37.01,0.0,0.0,37.07,37.07,37.07,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2018-06-10,36.37,36.37,36.37,0.0,0.0,36.37,36.37,36.37,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.9,35.9,35.9,0.0,0.0
2018-06-17,35.82,35.82,35.82,0.0,0.0,36.13,36.13,36.13,0.0,0.0,35.82,35.82,35.82,0.0,0.0,35.88,35.88,35.88,0.0,0.0
2018-06-24,36.25,36.25,36.25,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2018-07-01,36.16,36.16,36.16,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-07-08,36.49,36.49,36.49,0.0,0.0,36.78,36.78,36.78,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-07-15,36.15,36.15,36.15,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.01,36.01,36.01,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2018-07-22,36.49,36.49,36.49,0.0,0.0,36.84,36.84,36.84,0.0,0.0,36.49,36.49,36.49,0.0,0.0,36.67,36.67,36.67,0.0,0.0
2018-07-29,36.19,36.19,36.19,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.24,36.24,36.24,0.0,0.0
2018-08-05,35.85,35.85,35.85,0.0,0.0,35.93,35.93,35.93,0.0,0.0,35.66,35.66,35.66,0.0,0.0,35.91,35.91,35.91,0.0,0.0
2018-08-12,34.76,34.76,34.76,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.87,34.87,34.87,0.0,0.0
2018-08-19,35.85,35.85,35.85,0.0,0.0,36.06,36.06,36.06,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.87,35.87,35.87,0.0,0.0
2018-08-26,35.88,35.88,35.88,0.0,0.0,35.88,35.88,35.88,0.0,0.0,35.55,35.55,35.55,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-09-02,34.61,34.61,34.61,0.0,0.0,34.78,34.78,34.78,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.77,34.77,34.77,0.0,0.0
2018-09-09,35.48,35.48,35.48,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.48,35.48,35.48,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-09-16,36.29,36.29,36.29,0.0,0.0,36.51,36.51,36.51,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-09-23,36.83,36.83,36.83,0.0,0.0,37.14,37.14,37.14,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.78,36.78,36.78,0.0,0.0
2018-09-30,37.24,37.24,37.24,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2018-10-07,35.74,35.74,35.74,0.0,0.0,35.74,35.74,35.74,0.0,0.0,34.95,34.95,34.95,0.0,0.0,35.4,35.4,35.4,0.0,0.0
2018-10-14,35.14,35.14,35.14,0.0,0.0,35.38,35.38,35.38,0.0,0.0,34.98,34.98,34.98,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-10-21,32.7,32.7,32.7,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.95,32.95,32.95,0.0,0.0
2018-10-28,33.71,33.71,33.71,0.0,0.0,33.81,33.81,33.81,0.0,0.0,32.97,32.97,32.97,0.0,0.0,33.27,33.27,33.27,0.0,0.0
2018-11-04,33.33,33.33,33.33,0.0,0.0,33.67,33.67,33.67,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-11-11,32.88,32.88,32.88,0.0,0.0,33.15,33.15,33.15,0.0,0.0,32.8,32.8,32.8,0.0,0.0,33.1,33.1,33.1,0.0,0.0
2018-11-18,31.71,31.71,31.71,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-11-25,32.26,32.26,32.26,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.38,32.38,32.38,0.0,0.0
2018-12-02,32.13,32.13,32.13,0.0,0.0,32.54,32.54,32.54,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-12-09,31.15,31.15,31.15,0.0,0.0,31.3,31.3,31.3,0.0,0.0,30.69,30.69,30.69,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-12-16,28.21,28.21,28.21,0.0,0.0,28.61,28.61,28.61,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.97,27.97,27.97,0.0,0.0
2018-12-23,28.78,28.78,28.78,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-12-30,29.57,29.57,29.57,0.0,0.0,29.99,29.99,29.99,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2019-01-06,30.8,30.8,30.8,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2019-01-13,31.32,31.32,31.32,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2019-01-20,30.96,30.96,30.96,0.0,0.0,31.17,31.17,31.17,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2019-01-27,31.8,31.8,31.8,0.0,0.0,32.1,32.1,32.1,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.98,31.98,31.98,0.0,0.0
2019-02-03,31.43,31.43,31.43,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2019-02-10,32.4,32.4,32.4,0.0,0.0,32.61,32.61,32.61,0.0,0.0,32.4,32.4,32.4,0.0,0.0,32.61,32.61,32.61,0.0,0.0
2019-02-17,32.75,32.75,32.75,0.0,0.0,32.79,32.79,32.79,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.66,32.66,32.66,0.0,0.0
2019-02-24,32.6,32.6,32.6,0.0,0.0,32.82,32.82,32.82,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2019-03-03,31.81,31.81,31.81,0.0,0.0,31.85,31.85,31.85,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.83,31.83,31.83,0.0,0.0
