Date,SPDR S&P 500_Open_average,SPDR S&P 500_Open_max,SPDR S&P 500_Open_min,SPDR S&P 500_Open_volatility,SPDR S&P 500_Open_change,SPDR S&P 500_High_average,SPDR S&P 500_High_max,SPDR S&P 500_High_min,SPDR S&P 500_High_volatility,SPDR S&P 500_High_change,SPDR S&P 500_Low_average,SPDR S&P 500_Low_max,SPDR S&P 500_Low_min,SPDR S&P 500_Low_volatility,SPDR S&P 500_Low_change,SPDR S&P 500_Close_average,SPDR S&P 500_Close_max,SPDR S&P 500_Close_min,SPDR S&P 500_Close_volatility,SPDR S&P 500_Close_change
2018-01-14,279.8,279.8,279.8,0.0,0.0,280.41,280.41,280.41,0.0,0.0,279.14,279.14,279.14,0.0,0.0,280.41,280.41,280.41,0.0,0.0
2018-01-21,284.25,284.25,284.25,0.0,0.0,286.63,286.63,286.63,0.0,0.0,283.96,283.96,283.96,0.0,0.0,286.58,286.58,286.58,0.0,0.0
2018-01-28,280.08,280.08,280.08,0.0,0.0,280.23,280.23,280.23,0.0,0.0,275.41,275.41,275.41,0.0,0.0,275.45,275.45,275.45,0.0,0.0
2018-02-04,260.8,260.8,260.8,0.0,0.0,263.61,263.61,263.61,0.0,0.0,252.92,252.92,252.92,0.0,0.0,261.5,261.5,261.5,0.0,0.0
2018-02-11,272.32,272.32,272.32,0.0,0.0,275.32,275.32,275.32,0.0,0.0,272.27,272.27,272.27,0.0,0.0,273.11,273.11,273.11,0.0,0.0
2018-02-18,271.79,271.79,271.79,0.0,0.0,274.71,274.71,274.71,0.0,0.0,271.25,271.25,271.25,0.0,0.0,274.71,274.71,274.71,0.0,0.0
2018-02-25,265.8,265.8,265.8,0.0,0.0,269.72,269.72,269.72,0.0,0.0,264.82,264.82,264.82,0.0,0.0,269.08,269.08,269.08,0.0,0.0
2018-03-04,275.7,275.7,275.7,0.0,0.0,278.87,278.87,278.87,0.0,0.0,275.34,275.34,275.34,0.0,0.0,278.87,278.87,278.87,0.0,0.0
2018-03-11,274.5,274.5,274.5,0.0,0.0,275.39,275.39,275.39,0.0,0.0,274.14,274.14,274.14,0.0,0.0,274.2,274.2,274.2,0.0,0.0
2018-03-18,264.17,264.17,264.17,0.0,0.0,265.02,265.02,265.02,0.0,0.0,257.83,257.83,257.83,0.0,0.0,258.05,258.05,258.05,0.0,0.0
2018-03-25,261.12,261.12,261.12,0.0,0.0,265.26,265.26,265.26,0.0,0.0,259.84,259.84,259.84,0.0,0.0,263.15,263.15,263.15,0.0,0.0
2018-04-01,263.42,263.42,263.42,0.0,0.0,265.11,265.11,265.11,0.0,0.0,258.0,258.0,258.0,0.0,0.0,259.72,259.72,259.72,0.0,0.0
2018-04-08,267.41,267.41,267.41,0.0,0.0,267.54,267.54,267.54,0.0,0.0,264.01,264.01,264.01,0.0,0.0,265.15,265.15,265.15,0.0,0.0
2018-04-15,268.81,268.81,268.81,0.0,0.0,269.06,269.06,269.06,0.0,0.0,265.61,265.61,265.61,0.0,0.0,266.61,266.61,266.61,0.0,0.0
2018-04-22,267.0,267.0,267.0,0.0,0.0,267.34,267.34,267.34,0.0,0.0,265.5,265.5,265.5,0.0,0.0,266.56,266.56,266.56,0.0,0.0
2018-04-29,261.52,261.52,261.52,0.0,0.0,266.79,266.79,266.79,0.0,0.0,261.15,261.15,261.15,0.0,0.0,266.02,266.02,266.02,0.0,0.0
2018-05-06,272.16,272.16,272.16,0.0,0.0,273.15,273.15,273.15,0.0,0.0,271.58,271.58,271.58,0.0,0.0,272.85,272.85,272.85,0.0,0.0
2018-05-13,271.62,271.62,271.62,0.0,0.0,272.03,272.03,272.03,0.0,0.0,270.93,270.93,270.93,0.0,0.0,271.33,271.33,271.33,0.0,0.0
2018-05-20,272.15,272.15,272.15,0.0,0.0,272.86,272.86,272.86,0.0,0.0,271.58,271.58,271.58,0.0,0.0,272.15,272.15,272.15,0.0,0.0
2018-05-27,272.41,272.41,272.41,0.0,0.0,273.94,273.94,273.94,0.0,0.0,272.33,272.33,272.33,0.0,0.0,273.6,273.6,273.6,0.0,0.0
2018-06-03,276.85,276.85,276.85,0.0,0.0,278.25,278.25,278.25,0.0,0.0,276.66,276.66,276.66,0.0,0.0,278.19,278.19,278.19,0.0,0.0
2018-06-10,276.6,276.6,276.6,0.0,0.0,277.51,277.51,277.51,0.0,0.0,275.35,275.35,275.35,0.0,0.0,277.13,277.13,277.13,0.0,0.0
2018-06-17,275.66,275.66,275.66,0.0,0.0,275.79,275.79,275.79,0.0,0.0,274.49,274.49,274.49,0.0,0.0,274.74,274.74,274.74,0.0,0.0
2018-06-24,272.12,272.12,272.12,0.0,0.0,273.66,273.66,273.66,0.0,0.0,271.15,271.15,271.15,0.0,0.0,271.28,271.28,271.28,0.0,0.0
2018-07-01,273.14,273.14,273.14,0.0,0.0,275.84,275.84,275.84,0.0,0.0,272.71,272.71,272.71,0.0,0.0,275.42,275.42,275.42,0.0,0.0
