Date,Janus Small Cap Growth Alpha_Open_average,Janus Small Cap Growth Alpha_Open_max,Janus Small Cap Growth Alpha_Open_min,Janus Small Cap Growth Alpha_Open_volatility,Janus Small Cap Growth Alpha_Open_change,Janus Small Cap Growth Alpha_High_average,Janus Small Cap Growth Alpha_High_max,Janus Small Cap Growth Alpha_High_min,Janus Small Cap Growth Alpha_High_volatility,Janus Small Cap Growth Alpha_High_change,Janus Small Cap Growth Alpha_Low_average,Janus Small Cap Growth Alpha_Low_max,Janus Small Cap Growth Alpha_Low_min,Janus Small Cap Growth Alpha_Low_volatility,Janus Small Cap Growth Alpha_Low_change,Janus Small Cap Growth Alpha_Close_average,Janus Small Cap Growth Alpha_Close_max,Janus Small Cap Growth Alpha_Close_min,Janus Small Cap Growth Alpha_Close_volatility,Janus Small Cap Growth Alpha_Close_change
2018-01-14,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.14,38.14,38.14,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-01-21,38.78,38.78,38.78,0.0,0.0,38.78,38.78,38.78,0.0,0.0,38.38,38.38,38.38,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2018-01-28,36.92,36.92,36.92,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.02,36.02,36.02,0.0,0.0,36.02,36.02,36.02,0.0,0.0
2018-02-04,35.63,35.63,35.63,0.0,0.0,35.71,35.71,35.71,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.71,35.71,35.71,0.0,0.0
2018-02-11,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.67,37.67,37.67,0.0,0.0
2018-02-18,37.45,37.45,37.45,0.0,0.0,37.68,37.68,37.68,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2018-02-25,37.51,37.51,37.51,0.0,0.0,37.51,37.51,37.51,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2018-03-04,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2018-03-11,38.17,38.17,38.17,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.97,37.97,37.97,0.0,0.0,37.97,37.97,37.97,0.0,0.0
2018-03-18,37.3,37.3,37.3,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.82,37.82,37.82,0.0,0.0
2018-03-25,36.34,36.34,36.34,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2018-04-01,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0,37.11,37.11,37.11,0.0,0.0
