Date,PIMCO Investment Grade Corporate Bond_Open_average,PIMCO Investment Grade Corporate Bond_Open_max,PIMCO Investment Grade Corporate Bond_Open_min,PIMCO Investment Grade Corporate Bond_Open_volatility,PIMCO Investment Grade Corporate Bond_Open_change,PIMCO Investment Grade Corporate Bond_High_average,PIMCO Investment Grade Corporate Bond_High_max,PIMCO Investment Grade Corporate Bond_High_min,PIMCO Investment Grade Corporate Bond_High_volatility,PIMCO Investment Grade Corporate Bond_High_change,PIMCO Investment Grade Corporate Bond_Low_average,PIMCO Investment Grade Corporate Bond_Low_max,PIMCO Investment Grade Corporate Bond_Low_min,PIMCO Investment Grade Corporate Bond_Low_volatility,PIMCO Investment Grade Corporate Bond_Low_change,PIMCO Investment Grade Corporate Bond_Close_average,PIMCO Investment Grade Corporate Bond_Close_max,PIMCO Investment Grade Corporate Bond_Close_min,PIMCO Investment Grade Corporate Bond_Close_volatility,PIMCO Investment Grade Corporate Bond_Close_change
2018-01-14,104.44,104.44,104.44,0.0,0.0,104.7,104.7,104.7,0.0,0.0,104.33,104.33,104.33,0.0,0.0,104.34,104.34,104.34,0.0,0.0
2018-01-21,104.76,104.76,104.76,0.0,0.0,104.86,104.86,104.86,0.0,0.0,104.38,104.38,104.38,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2018-01-28,103.9,103.9,103.9,0.0,0.0,103.94,103.94,103.94,0.0,0.0,103.44,103.44,103.44,0.0,0.0,103.83,103.83,103.83,0.0,0.0
2018-02-04,102.82,102.82,102.82,0.0,0.0,102.88,102.88,102.88,0.0,0.0,102.5,102.5,102.5,0.0,0.0,102.7,102.7,102.7,0.0,0.0
2018-02-11,102.68,102.68,102.68,0.0,0.0,102.78,102.78,102.78,0.0,0.0,102.4,102.4,102.4,0.0,0.0,102.58,102.58,102.58,0.0,0.0
2018-02-18,102.61,102.61,102.61,0.0,0.0,102.79,102.79,102.79,0.0,0.0,102.41,102.41,102.41,0.0,0.0,102.64,102.64,102.64,0.0,0.0
2018-02-25,101.98,101.98,101.98,0.0,0.0,102.19,102.19,102.19,0.0,0.0,101.95,101.95,101.95,0.0,0.0,102.04,102.04,102.04,0.0,0.0
2018-03-04,101.81,101.81,101.81,0.0,0.0,101.93,101.93,101.93,0.0,0.0,101.66,101.66,101.66,0.0,0.0,101.85,101.85,101.85,0.0,0.0
2018-03-11,102.0,102.0,102.0,0.0,0.0,102.23,102.23,102.23,0.0,0.0,101.91,101.91,101.91,0.0,0.0,102.0,102.0,102.0,0.0,0.0
2018-03-18,101.53,101.53,101.53,0.0,0.0,101.84,101.84,101.84,0.0,0.0,101.52,101.52,101.52,0.0,0.0,101.55,101.55,101.55,0.0,0.0
2018-03-25,101.71,101.71,101.71,0.0,0.0,102.1,102.1,102.1,0.0,0.0,101.62,101.62,101.62,0.0,0.0,102.0,102.0,102.0,0.0,0.0
2018-04-01,102.05,102.05,102.05,0.0,0.0,102.64,102.64,102.64,0.0,0.0,101.82,101.82,101.82,0.0,0.0,102.17,102.17,102.17,0.0,0.0
2018-04-08,101.87,101.87,101.87,0.0,0.0,102.21,102.21,102.21,0.0,0.0,101.87,101.87,101.87,0.0,0.0,102.21,102.21,102.21,0.0,0.0
