Date,iShares S&P Mid-Cap 400 Growth_etf_Open_average,iShares S&P Mid-Cap 400 Growth_etf_Open_max,iShares S&P Mid-Cap 400 Growth_etf_Open_min,iShares S&P Mid-Cap 400 Growth_etf_Open_volatility,iShares S&P Mid-Cap 400 Growth_etf_Open_change,iShares S&P Mid-Cap 400 Growth_etf_High_average,iShares S&P Mid-Cap 400 Growth_etf_High_max,iShares S&P Mid-Cap 400 Growth_etf_High_min,iShares S&P Mid-Cap 400 Growth_etf_High_volatility,iShares S&P Mid-Cap 400 Growth_etf_High_change,iShares S&P Mid-Cap 400 Growth_etf_Low_average,iShares S&P Mid-Cap 400 Growth_etf_Low_max,iShares S&P Mid-Cap 400 Growth_etf_Low_min,iShares S&P Mid-Cap 400 Growth_etf_Low_volatility,iShares S&P Mid-Cap 400 Growth_etf_Low_change,iShares S&P Mid-Cap 400 Growth_etf_Close_average,iShares S&P Mid-Cap 400 Growth_etf_Close_max,iShares S&P Mid-Cap 400 Growth_etf_Close_min,iShares S&P Mid-Cap 400 Growth_etf_Close_volatility,iShares S&P Mid-Cap 400 Growth_etf_Close_change
2018-01-14,225.27,225.27,225.27,0.0,0.0,227.55,227.55,227.55,0.0,0.0,225.27,225.27,225.27,0.0,0.0,227.55,227.55,227.55,0.0,0.0
2018-01-21,229.34,229.34,229.34,0.0,0.0,229.91,229.91,229.91,0.0,0.0,227.9,227.9,227.9,0.0,0.0,229.9,229.9,229.9,0.0,0.0
2018-01-28,224.56,224.56,224.56,0.0,0.0,224.56,224.56,224.56,0.0,0.0,221.6,221.6,221.6,0.0,0.0,221.7,221.7,221.7,0.0,0.0
2018-02-04,209.37,209.37,209.37,0.0,0.0,211.36,211.36,211.36,0.0,0.0,204.16,204.16,204.16,0.0,0.0,210.08,210.08,210.08,0.0,0.0
2018-02-11,219.47,219.47,219.47,0.0,0.0,221.07,221.07,221.07,0.0,0.0,219.29,219.29,219.29,0.0,0.0,220.01,220.01,220.01,0.0,0.0
2018-02-18,219.24,219.24,219.24,0.0,0.0,220.52,220.52,220.52,0.0,0.0,218.16,218.16,218.16,0.0,0.0,220.47,220.47,220.47,0.0,0.0
2018-02-25,213.85,213.85,213.85,0.0,0.0,217.9,217.9,217.9,0.0,0.0,213.29,213.29,213.29,0.0,0.0,217.48,217.48,217.48,0.0,0.0
2018-03-04,224.35,224.35,224.35,0.0,0.0,227.04,227.04,227.04,0.0,0.0,224.1,224.1,224.1,0.0,0.0,227.04,227.04,227.04,0.0,0.0
2018-03-11,224.24,224.24,224.24,0.0,0.0,225.87,225.87,225.87,0.0,0.0,224.21,224.21,224.21,0.0,0.0,225.25,225.25,225.25,0.0,0.0
2018-03-18,218.64,218.64,218.64,0.0,0.0,219.27,219.27,219.27,0.0,0.0,214.25,214.25,214.25,0.0,0.0,214.32,214.32,214.32,0.0,0.0
2018-03-25,216.08,216.08,216.08,0.0,0.0,219.69,219.69,219.69,0.0,0.0,215.67,215.67,215.67,0.0,0.0,218.33,218.33,218.33,0.0,0.0
2018-04-01,217.72,217.72,217.72,0.0,0.0,219.0,219.0,219.0,0.0,0.0,213.64,213.64,213.64,0.0,0.0,215.11,215.11,215.11,0.0,0.0
2018-04-08,220.19,220.19,220.19,0.0,0.0,220.19,220.19,220.19,0.0,0.0,217.53,217.53,217.53,0.0,0.0,218.29,218.29,218.29,0.0,0.0
2018-04-15,221.08,221.08,221.08,0.0,0.0,221.47,221.47,221.47,0.0,0.0,219.52,219.52,219.52,0.0,0.0,220.07,220.07,220.07,0.0,0.0
2018-04-22,218.44,218.44,218.44,0.0,0.0,218.64,218.64,218.64,0.0,0.0,216.88,216.88,216.88,0.0,0.0,217.96,217.96,217.96,0.0,0.0
2018-04-29,215.82,215.82,215.82,0.0,0.0,220.22,220.22,220.22,0.0,0.0,215.32,215.32,215.32,0.0,0.0,219.28,219.28,219.28,0.0,0.0
2018-05-06,224.01,224.01,224.01,0.0,0.0,224.68,224.68,224.68,0.0,0.0,223.52,223.52,223.52,0.0,0.0,224.19,224.19,224.19,0.0,0.0
2018-05-13,224.67,224.67,224.67,0.0,0.0,225.32,225.32,225.32,0.0,0.0,224.5,224.5,224.5,0.0,0.0,224.6,224.6,224.6,0.0,0.0
2018-05-20,225.15,225.15,225.15,0.0,0.0,226.17,226.17,226.17,0.0,0.0,224.97,224.97,224.97,0.0,0.0,225.28,225.28,225.28,0.0,0.0
2018-05-27,225.84,225.84,225.84,0.0,0.0,226.85,226.85,226.85,0.0,0.0,225.62,225.62,225.62,0.0,0.0,226.16,226.16,226.16,0.0,0.0
2018-06-03,230.35,230.35,230.35,0.0,0.0,232.32,232.32,232.32,0.0,0.0,230.35,230.35,230.35,0.0,0.0,232.12,232.12,232.12,0.0,0.0
2018-06-10,231.5,231.5,231.5,0.0,0.0,232.2,232.2,232.2,0.0,0.0,230.51,230.51,230.51,0.0,0.0,231.96,231.96,231.96,0.0,0.0
2018-06-17,231.89,231.89,231.89,0.0,0.0,231.93,231.93,231.93,0.0,0.0,230.21,230.21,230.21,0.0,0.0,230.24,230.24,230.24,0.0,0.0
2018-06-24,225.46,225.46,225.46,0.0,0.0,226.65,226.65,226.65,0.0,0.0,224.78,224.78,224.78,0.0,0.0,224.78,224.78,224.78,0.0,0.0
2018-07-01,227.49,227.49,227.49,0.0,0.0,229.68,229.68,229.68,0.0,0.0,227.49,227.49,227.49,0.0,0.0,229.24,229.24,229.24,0.0,0.0
2018-07-08,230.72,230.72,230.72,0.0,0.0,231.9,231.9,231.9,0.0,0.0,230.67,230.67,230.67,0.0,0.0,230.76,230.76,230.76,0.0,0.0
2018-07-15,232.32,232.32,232.32,0.0,0.0,232.46,232.46,232.46,0.0,0.0,230.95,230.95,230.95,0.0,0.0,231.0,231.0,231.0,0.0,0.0
