Date,iShares National AMT-Free Muni Bond_etf_Open_average,iShares National AMT-Free Muni Bond_etf_Open_max,iShares National AMT-Free Muni Bond_etf_Open_min,iShares National AMT-Free Muni Bond_etf_Open_volatility,iShares National AMT-Free Muni Bond_etf_Open_change,iShares National AMT-Free Muni Bond_etf_High_average,iShares National AMT-Free Muni Bond_etf_High_max,iShares National AMT-Free Muni Bond_etf_High_min,iShares National AMT-Free Muni Bond_etf_High_volatility,iShares National AMT-Free Muni Bond_etf_High_change,iShares National AMT-Free Muni Bond_etf_Low_average,iShares National AMT-Free Muni Bond_etf_Low_max,iShares National AMT-Free Muni Bond_etf_Low_min,iShares National AMT-Free Muni Bond_etf_Low_volatility,iShares National AMT-Free Muni Bond_etf_Low_change,iShares National AMT-Free Muni Bond_etf_Close_average,iShares National AMT-Free Muni Bond_etf_Close_max,iShares National AMT-Free Muni Bond_etf_Close_min,iShares National AMT-Free Muni Bond_etf_Close_volatility,iShares National AMT-Free Muni Bond_etf_Close_change
2018-01-14,110.06,110.06,110.06,0.0,0.0,110.16,110.16,110.16,0.0,0.0,109.98,109.98,109.98,0.0,0.0,110.04,110.04,110.04,0.0,0.0
2018-01-21,109.84,109.84,109.84,0.0,0.0,109.89,109.89,109.89,0.0,0.0,109.67,109.67,109.67,0.0,0.0,109.75,109.75,109.75,0.0,0.0
2018-01-28,108.65,108.65,108.65,0.0,0.0,108.73,108.73,108.73,0.0,0.0,108.53,108.53,108.53,0.0,0.0,108.69,108.69,108.69,0.0,0.0
2018-02-04,108.62,108.62,108.62,0.0,0.0,108.85,108.85,108.85,0.0,0.0,108.55,108.55,108.55,0.0,0.0,108.62,108.62,108.62,0.0,0.0
2018-02-11,108.62,108.62,108.62,0.0,0.0,108.66,108.66,108.66,0.0,0.0,108.49,108.49,108.49,0.0,0.0,108.63,108.63,108.63,0.0,0.0
2018-02-18,108.48,108.48,108.48,0.0,0.0,108.71,108.71,108.71,0.0,0.0,108.48,108.48,108.48,0.0,0.0,108.62,108.62,108.62,0.0,0.0
2018-02-25,108.65,108.65,108.65,0.0,0.0,108.66,108.66,108.66,0.0,0.0,108.38,108.38,108.38,0.0,0.0,108.38,108.38,108.38,0.0,0.0
2018-03-04,108.36,108.36,108.36,0.0,0.0,108.43,108.43,108.43,0.0,0.0,108.32,108.32,108.32,0.0,0.0,108.33,108.33,108.33,0.0,0.0
2018-03-11,108.38,108.38,108.38,0.0,0.0,108.55,108.55,108.55,0.0,0.0,108.38,108.38,108.38,0.0,0.0,108.51,108.51,108.51,0.0,0.0
2018-03-18,108.54,108.54,108.54,0.0,0.0,108.62,108.62,108.62,0.0,0.0,108.5,108.5,108.5,0.0,0.0,108.58,108.58,108.58,0.0,0.0
2018-03-25,108.8,108.8,108.8,0.0,0.0,108.96,108.96,108.96,0.0,0.0,108.8,108.8,108.8,0.0,0.0,108.93,108.93,108.93,0.0,0.0
