Date,American Energy Independence_etf_Open_average,American Energy Independence_etf_Open_max,American Energy Independence_etf_Open_min,American Energy Independence_etf_Open_volatility,American Energy Independence_etf_Open_change,American Energy Independence_etf_High_average,American Energy Independence_etf_High_max,American Energy Independence_etf_High_min,American Energy Independence_etf_High_volatility,American Energy Independence_etf_High_change,American Energy Independence_etf_Low_average,American Energy Independence_etf_Low_max,American Energy Independence_etf_Low_min,American Energy Independence_etf_Low_volatility,American Energy Independence_etf_Low_change,American Energy Independence_etf_Close_average,American Energy Independence_etf_Close_max,American Energy Independence_etf_Close_min,American Energy Independence_etf_Close_volatility,American Energy Independence_etf_Close_change
2018-01-14,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-01-21,27.51,27.51,27.51,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.35,27.35,27.35,0.0,0.0,27.35,27.35,27.35,0.0,0.0
2018-01-28,25.85,25.85,25.85,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2018-02-04,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.08,24.08,24.08,0.0,0.0
2018-02-11,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-02-18,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-02-25,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-03-04,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0,23.77,23.77,23.77,0.0,0.0
2018-03-11,23.56,23.56,23.56,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.53,23.53,23.53,0.0,0.0
2018-03-18,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0,22.49,22.49,22.49,0.0,0.0
2018-03-25,22.55,22.55,22.55,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.55,22.55,22.55,0.0,0.0
2018-04-01,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.98,22.98,22.98,0.0,0.0
2018-04-08,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.28,23.28,23.28,0.0,0.0
2018-04-15,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0,24.09,24.09,24.09,0.0,0.0
2018-04-22,23.9,23.9,23.9,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-04-29,24.47,24.47,24.47,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.45,24.45,24.45,0.0,0.0
2018-05-06,25.22,25.22,25.22,0.0,0.0,25.25,25.25,25.25,0.0,0.0,25.22,25.22,25.22,0.0,0.0,25.24,25.24,25.24,0.0,0.0
2018-05-13,25.28,25.28,25.28,0.0,0.0,25.31,25.31,25.31,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.3,25.3,25.3,0.0,0.0
2018-05-20,24.66,24.66,24.66,0.0,0.0,24.91,24.91,24.91,0.0,0.0,24.66,24.66,24.66,0.0,0.0,24.91,24.91,24.91,0.0,0.0
2018-05-27,25.93,25.93,25.93,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-06-03,25.7,25.7,25.7,0.0,0.0,25.74,25.74,25.74,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.7,25.7,25.7,0.0,0.0
2018-06-10,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-06-17,25.78,25.78,25.78,0.0,0.0,25.97,25.97,25.97,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.8,25.8,25.8,0.0,0.0
2018-06-24,25.71,25.71,25.71,0.0,0.0,25.85,25.85,25.85,0.0,0.0,25.71,25.71,25.71,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-07-01,25.85,25.85,25.85,0.0,0.0,26.15,26.15,26.15,0.0,0.0,25.85,25.85,25.85,0.0,0.0,26.15,26.15,26.15,0.0,0.0
