Date,NXST_stock_Open_average,NXST_stock_Open_max,NXST_stock_Open_min,NXST_stock_Open_volatility,NXST_stock_Open_change,NXST_stock_High_average,NXST_stock_High_max,NXST_stock_High_min,NXST_stock_High_volatility,NXST_stock_High_change,NXST_stock_Low_average,NXST_stock_Low_max,NXST_stock_Low_min,NXST_stock_Low_volatility,NXST_stock_Low_change,NXST_stock_Close_average,NXST_stock_Close_max,NXST_stock_Close_min,NXST_stock_Close_volatility,NXST_stock_Close_change,NXST_stock_Volume_average,NXST_stock_Volume_max,NXST_stock_Volume_min,NXST_stock_Volume_volatility,NXST_stock_Volume_change
2018-04-08,64.24,65.5,63.0,2.5,-2.5,64.944,66.95,63.52,3.4299999999999997,-3.4299999999999997,63.28,64.1,62.05,2.049999999999997,-2.049999999999997,63.54,64.3,62.35,1.9499999999999957,-1.9499999999999957,659520,1164452,388646,775806,58713
2018-04-15,64.99,66.85,62.7,4.1499999999999915,4.1499999999999915,66.49,67.95,65.28,2.6700000000000017,1.3999999999999915,63.93,64.85,62.4,2.4499999999999957,0.8500000000000014,65.31,67.05,64.45,2.5999999999999943,-1.1499999999999915,750166,1339257,280925,1058332,-346221
2018-04-22,64.97,66.4,64.4,2.0,0.5,65.73,66.9,64.9,2.0,-0.5499999999999972,63.882,64.6,62.5,2.0999999999999943,-1.4799999999999969,64.56,66.5,62.75,3.75,-1.5499999999999972,402466,529920,247646,282274,78988
2018-04-29,62.339999999999996,63.05,61.0,2.049999999999997,-2.049999999999997,63.33,64.85,62.1,2.749999999999993,-0.6000000000000014,61.53,62.4,60.3,2.1000000000000014,-0.7999999999999972,62.23,63.15,61.2,1.9499999999999957,-0.10000000000000142,541824,762646,371351,391295,346580
2018-05-06,62.82,63.9,61.0,2.8999999999999986,1.5499999999999972,64.982,67.05,63.67,3.3799999999999955,1.75,62.19,63.4,61.0,2.3999999999999986,1.2999999999999972,63.71,65.1,62.35,2.749999999999993,1.4499999999999957,608550,947552,407583,539969,110947
2018-05-13,67.14,68.45,65.05,3.4000000000000057,3.4000000000000057,68.52,70.0,66.7,3.299999999999997,3.299999999999997,66.594,68.35,64.42,3.9299999999999926,3.9299999999999926,67.834,69.12,66.45,2.6700000000000017,2.6700000000000017,793026,981220,402034,579186,-132900
2018-05-20,68.34,69.4,66.95,2.450000000000003,-2.1499999999999915,68.89,70.4,67.35,3.0500000000000114,-2.4000000000000057,67.498,69.0,66.45,2.549999999999997,-1.5999999999999943,68.1,69.65,67.0,2.6500000000000057,-2.6500000000000057,566767,1099102,334705,764397,-251530
2018-05-27,66.61250000000001,66.9,66.15,0.75,-0.25,67.025,67.05,67.0,0.04999999999999716,0.04999999999999716,65.8875,66.15,65.65,0.5,0.09999999999999432,66.45,66.85,66.0,0.8499999999999943,0.8499999999999943,395732,465380,307977,157403,113508
2018-06-03,67.19,68.55,66.3,2.25,1.8499999999999943,68.554,70.75,67.05,3.700000000000003,3.700000000000003,66.676,68.55,65.2,3.3499999999999943,2.219999999999999,67.97,70.6,66.05,4.549999999999997,3.6999999999999886,582919,845998,326865,519133,519133
2018-06-10,72.93,74.0,70.7,3.299999999999997,3.299999999999997,74.55,76.05,73.3,2.75,1.9500000000000028,72.33,73.75,70.7,3.049999999999997,3.049999999999997,73.46,74.45,72.55,1.9000000000000057,1.6500000000000057,754465,1249365,527722,721643,-684131
2018-06-17,75.89,78.1,74.2,3.8999999999999915,1.5499999999999972,77.14,78.35,75.85,2.5,0.8000000000000114,74.748,76.28,73.75,2.530000000000001,0.7000000000000028,76.09,77.85,75.2,2.6499999999999915,0.3500000000000085,766164,1157091,402136,754955,630797
2018-06-24,75.67,76.25,75.2,1.0499999999999972,-0.9500000000000028,76.07,77.25,75.3,1.9500000000000028,-1.9500000000000028,74.08,75.15,73.15,2.0,-1.2999999999999972,74.77,75.8,73.4,2.3999999999999915,-1.3499999999999943,642722,955050,332082,622968,-421038
2018-07-01,73.6,74.45,73.2,1.25,1.25,74.85,76.0,73.7,2.299999999999997,2.299999999999997,73.1125,74.45,71.7,2.75,2.75,74.05,75.55,73.0,2.549999999999997,2.3999999999999915,534407,708833,369122,339711,-339711
2018-07-08,79.39,84.05,75.95,8.099999999999994,8.099999999999994,82.896,89.75,77.53,12.219999999999999,6.569999999999993,78.178,82.05,74.8,7.25,7.25,80.61,84.0,77.45,6.549999999999997,5.049999999999997,1698750,4314581,680251,3634330,566004
2018-07-15,78.58,82.75,75.5,7.25,-7.25,79.188,82.87,77.05,5.820000000000007,-5.820000000000007,76.344,77.67,75.05,2.6200000000000045,-2.6200000000000045,77.14999999999999,78.7,75.85,2.8500000000000085,-1.8500000000000085,751789,1320750,396290,924460,-703466
2018-07-22,77.34,77.6,77.15,0.44999999999998863,0.25,78.09,79.2,77.45,1.75,-0.45000000000000284,75.482,76.91,73.6,3.3100000000000023,-2.200000000000003,76.346,77.65,74.03,3.6200000000000045,-3.6200000000000045,601956,818982,380945,438037,194023
2018-07-29,73.87,74.65,73.2,1.4500000000000028,-0.25,74.56,75.05,73.65,1.3999999999999915,-0.8499999999999943,72.872,73.4,72.15,1.25,-0.7099999999999937,73.67,74.45,73.05,1.4000000000000057,-0.5,427980,678249,330184,348065,-11337
2018-08-05,76.15,78.55,73.8,4.75,2.3500000000000085,77.024,79.1,74.95,4.1499999999999915,2.1499999999999915,74.68,75.5,73.45,2.049999999999997,1.5499999999999972,76.1,76.85,74.5,2.3499999999999943,1.9000000000000057,722055,1035965,310046,725919,-558937
