Date,WisdomTree Global High DividendEtf_Open_average,WisdomTree Global High DividendEtf_Open_max,WisdomTree Global High DividendEtf_Open_min,WisdomTree Global High DividendEtf_Open_volatility,WisdomTree Global High DividendEtf_Open_change,WisdomTree Global High DividendEtf_High_average,WisdomTree Global High DividendEtf_High_max,WisdomTree Global High DividendEtf_High_min,WisdomTree Global High DividendEtf_High_volatility,WisdomTree Global High DividendEtf_High_change,WisdomTree Global High DividendEtf_Low_average,WisdomTree Global High DividendEtf_Low_max,WisdomTree Global High DividendEtf_Low_min,WisdomTree Global High DividendEtf_Low_volatility,WisdomTree Global High DividendEtf_Low_change,WisdomTree Global High DividendEtf_Close_average,WisdomTree Global High DividendEtf_Close_max,WisdomTree Global High DividendEtf_Close_min,WisdomTree Global High DividendEtf_Close_volatility,WisdomTree Global High DividendEtf_Close_change
2018-01-14,50.05,50.05,50.05,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.95,49.95,49.95,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2018-01-21,50.91,50.91,50.91,0.0,0.0,51.17,51.17,51.17,0.0,0.0,50.86,50.86,50.86,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-01-28,49.57,49.57,49.57,0.0,0.0,49.67,49.67,49.67,0.0,0.0,48.98,48.98,48.98,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-02-04,46.38,46.38,46.38,0.0,0.0,46.61,46.61,46.61,0.0,0.0,45.4,45.4,45.4,0.0,0.0,46.57,46.57,46.57,0.0,0.0
2018-02-11,48.14,48.14,48.14,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-02-18,47.92,47.92,47.92,0.0,0.0,48.07,48.07,48.07,0.0,0.0,47.82,47.82,47.82,0.0,0.0,48.07,48.07,48.07,0.0,0.0
2018-02-25,46.51,46.51,46.51,0.0,0.0,46.98,46.98,46.98,0.0,0.0,46.51,46.51,46.51,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-03-04,47.59,47.59,47.59,0.0,0.0,47.88,47.88,47.88,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-03-11,47.63,47.63,47.63,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.52,47.52,47.52,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2018-03-18,46.21,46.21,46.21,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.5,45.5,45.5,0.0,0.0
