Date,Vanguard Total Corporate Bond Shares_Open_average,Vanguard Total Corporate Bond Shares_Open_max,Vanguard Total Corporate Bond Shares_Open_min,Vanguard Total Corporate Bond Shares_Open_volatility,Vanguard Total Corporate Bond Shares_Open_change,Vanguard Total Corporate Bond Shares_High_average,Vanguard Total Corporate Bond Shares_High_max,Vanguard Total Corporate Bond Shares_High_min,Vanguard Total Corporate Bond Shares_High_volatility,Vanguard Total Corporate Bond Shares_High_change,Vanguard Total Corporate Bond Shares_Low_average,Vanguard Total Corporate Bond Shares_Low_max,Vanguard Total Corporate Bond Shares_Low_min,Vanguard Total Corporate Bond Shares_Low_volatility,Vanguard Total Corporate Bond Shares_Low_change,Vanguard Total Corporate Bond Shares_Close_average,Vanguard Total Corporate Bond Shares_Close_max,Vanguard Total Corporate Bond Shares_Close_min,Vanguard Total Corporate Bond Shares_Close_volatility,Vanguard Total Corporate Bond Shares_Close_change
2018-01-14,84.18,84.18,84.18,0.0,0.0,84.22,84.22,84.22,0.0,0.0,84.07,84.07,84.07,0.0,0.0,84.08,84.08,84.08,0.0,0.0
2018-01-21,84.38,84.38,84.38,0.0,0.0,84.38,84.38,84.38,0.0,0.0,84.16,84.16,84.16,0.0,0.0,84.25,84.25,84.25,0.0,0.0
2018-01-28,83.32,83.32,83.32,0.0,0.0,83.6,83.6,83.6,0.0,0.0,83.07,83.07,83.07,0.0,0.0,83.46,83.46,83.46,0.0,0.0
2018-02-04,82.72,82.72,82.72,0.0,0.0,82.81,82.81,82.81,0.0,0.0,82.61,82.61,82.61,0.0,0.0,82.65,82.65,82.65,0.0,0.0
2018-02-11,82.79,82.79,82.79,0.0,0.0,82.79,82.79,82.79,0.0,0.0,82.56,82.56,82.56,0.0,0.0,82.64,82.64,82.64,0.0,0.0
2018-02-18,82.68,82.68,82.68,0.0,0.0,82.75,82.75,82.75,0.0,0.0,82.59,82.59,82.59,0.0,0.0,82.63,82.63,82.63,0.0,0.0
2018-02-25,82.2,82.2,82.2,0.0,0.0,82.25,82.25,82.25,0.0,0.0,81.99,81.99,81.99,0.0,0.0,82.05,82.05,82.05,0.0,0.0
2018-03-04,82.13,82.13,82.13,0.0,0.0,82.13,82.13,82.13,0.0,0.0,82.01,82.01,82.01,0.0,0.0,82.02,82.02,82.02,0.0,0.0
2018-03-11,82.15,82.15,82.15,0.0,0.0,82.21,82.21,82.21,0.0,0.0,82.03,82.03,82.03,0.0,0.0,82.06,82.06,82.06,0.0,0.0
2018-03-18,81.83,81.83,81.83,0.0,0.0,81.97,81.97,81.97,0.0,0.0,81.72,81.72,81.72,0.0,0.0,81.79,81.79,81.79,0.0,0.0
2018-03-25,82.34,82.34,82.34,0.0,0.0,82.39,82.39,82.39,0.0,0.0,82.22,82.22,82.22,0.0,0.0,82.37,82.37,82.37,0.0,0.0
2018-04-01,82.4,82.4,82.4,0.0,0.0,82.51,82.51,82.51,0.0,0.0,82.25,82.25,82.25,0.0,0.0,82.43,82.43,82.43,0.0,0.0
