Date,iPath  US Treasury 10-year Bear_Open_average,iPath  US Treasury 10-year Bear_Open_max,iPath  US Treasury 10-year Bear_Open_min,iPath  US Treasury 10-year Bear_Open_volatility,iPath  US Treasury 10-year Bear_Open_change,iPath  US Treasury 10-year Bear_High_average,iPath  US Treasury 10-year Bear_High_max,iPath  US Treasury 10-year Bear_High_min,iPath  US Treasury 10-year Bear_High_volatility,iPath  US Treasury 10-year Bear_High_change,iPath  US Treasury 10-year Bear_Low_average,iPath  US Treasury 10-year Bear_Low_max,iPath  US Treasury 10-year Bear_Low_min,iPath  US Treasury 10-year Bear_Low_volatility,iPath  US Treasury 10-year Bear_Low_change,iPath  US Treasury 10-year Bear_Close_average,iPath  US Treasury 10-year Bear_Close_max,iPath  US Treasury 10-year Bear_Close_min,iPath  US Treasury 10-year Bear_Close_volatility,iPath  US Treasury 10-year Bear_Close_change
2018-01-14,20.47,20.47,20.47,0.0,0.0,20.75,20.75,20.75,0.0,0.0,20.47,20.47,20.47,0.0,0.0,20.75,20.75,20.75,0.0,0.0
2018-01-21,20.46,20.46,20.46,0.0,0.0,20.93,20.93,20.93,0.0,0.0,20.46,20.46,20.46,0.0,0.0,20.79,20.79,20.79,0.0,0.0
2018-01-28,22.47,22.47,22.47,0.0,0.0,22.75,22.75,22.75,0.0,0.0,22.31,22.31,22.31,0.0,0.0,22.48,22.48,22.48,0.0,0.0
2018-02-04,22.49,22.49,22.49,0.0,0.0,22.56,22.56,22.56,0.0,0.0,21.54,21.54,21.54,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2018-02-11,22.61,22.61,22.61,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.75,22.75,22.75,0.0,0.0
2018-02-18,22.79,22.79,22.79,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.54,22.54,22.54,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-02-25,22.25,22.25,22.25,0.0,0.0,22.7,22.7,22.7,0.0,0.0,22.22,22.22,22.22,0.0,0.0,22.6,22.6,22.6,0.0,0.0
2018-03-04,22.88,22.88,22.88,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.73,22.73,22.73,0.0,0.0,22.84,22.84,22.84,0.0,0.0
2018-03-11,22.27,22.27,22.27,0.0,0.0,22.41,22.41,22.41,0.0,0.0,22.27,22.27,22.27,0.0,0.0,22.35,22.35,22.35,0.0,0.0
2018-03-18,22.15,22.15,22.15,0.0,0.0,22.18,22.18,22.18,0.0,0.0,21.73,21.73,21.73,0.0,0.0,21.87,21.87,21.87,0.0,0.0
2018-03-25,21.49,21.49,21.49,0.0,0.0,21.49,21.49,21.49,0.0,0.0,21.18,21.18,21.18,0.0,0.0,21.33,21.33,21.33,0.0,0.0
2018-04-01,21.57,21.57,21.57,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.47,21.47,21.47,0.0,0.0
2018-04-08,22.27,22.27,22.27,0.0,0.0,22.29,22.29,22.29,0.0,0.0,22.05,22.05,22.05,0.0,0.0,22.1,22.1,22.1,0.0,0.0
2018-04-15,23.27,23.27,23.27,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.17,23.17,23.17,0.0,0.0,23.45,23.45,23.45,0.0,0.0
2018-04-22,23.7,23.7,23.7,0.0,0.0,23.7,23.7,23.7,0.0,0.0,23.45,23.45,23.45,0.0,0.0,23.51,23.51,23.51,0.0,0.0
2018-04-29,23.05,23.05,23.05,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.05,23.05,23.05,0.0,0.0,23.24,23.24,23.24,0.0,0.0
2018-05-06,23.61,23.61,23.61,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.57,23.57,23.57,0.0,0.0,23.68,23.68,23.68,0.0,0.0
2018-05-13,24.69,24.69,24.69,0.0,0.0,24.7,24.7,24.7,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-05-20,23.14,23.14,23.14,0.0,0.0,23.16,23.16,23.16,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.96,22.96,22.96,0.0,0.0
2018-05-27,22.59,22.59,22.59,0.0,0.0,22.9,22.9,22.9,0.0,0.0,22.5,22.5,22.5,0.0,0.0,22.7,22.7,22.7,0.0,0.0
2018-06-03,22.98,22.98,22.98,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.86,22.86,22.86,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-06-10,22.83,22.83,22.83,0.0,0.0,23.04,23.04,23.04,0.0,0.0,22.66,22.66,22.66,0.0,0.0,23.04,23.04,23.04,0.0,0.0
2018-06-17,22.74,22.74,22.74,0.0,0.0,22.79,22.79,22.79,0.0,0.0,22.59,22.59,22.59,0.0,0.0,22.67,22.67,22.67,0.0,0.0
2018-06-24,22.13,22.13,22.13,0.0,0.0,22.25,22.25,22.25,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.21,22.21,22.21,0.0,0.0
2018-07-01,21.86,21.86,21.86,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.79,21.79,21.79,0.0,0.0,22.0,22.0,22.0,0.0,0.0
2018-07-08,22.1,22.1,22.1,0.0,0.0,22.1,22.1,22.1,0.0,0.0,21.92,21.92,21.92,0.0,0.0,21.98,21.98,21.98,0.0,0.0
