Date,iShares Long-Term Corporate BondEtf_Open_average,iShares Long-Term Corporate BondEtf_Open_max,iShares Long-Term Corporate BondEtf_Open_min,iShares Long-Term Corporate BondEtf_Open_volatility,iShares Long-Term Corporate BondEtf_Open_change,iShares Long-Term Corporate BondEtf_High_average,iShares Long-Term Corporate BondEtf_High_max,iShares Long-Term Corporate BondEtf_High_min,iShares Long-Term Corporate BondEtf_High_volatility,iShares Long-Term Corporate BondEtf_High_change,iShares Long-Term Corporate BondEtf_Low_average,iShares Long-Term Corporate BondEtf_Low_max,iShares Long-Term Corporate BondEtf_Low_min,iShares Long-Term Corporate BondEtf_Low_volatility,iShares Long-Term Corporate BondEtf_Low_change,iShares Long-Term Corporate BondEtf_Close_average,iShares Long-Term Corporate BondEtf_Close_max,iShares Long-Term Corporate BondEtf_Close_min,iShares Long-Term Corporate BondEtf_Close_volatility,iShares Long-Term Corporate BondEtf_Close_change
2018-01-14,62.31,62.31,62.31,0.0,0.0,62.31,62.31,62.31,0.0,0.0,62.11,62.11,62.11,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2018-01-21,62.68,62.68,62.68,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.68,62.68,62.68,0.0,0.0
2018-01-28,61.43,61.43,61.43,0.0,0.0,61.49,61.49,61.49,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.22,61.22,61.22,0.0,0.0
2018-02-04,59.9,59.9,59.9,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.66,59.66,59.66,0.0,0.0,59.77,59.77,59.77,0.0,0.0
2018-02-11,60.25,60.25,60.25,0.0,0.0,60.32,60.32,60.32,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-02-18,59.85,59.85,59.85,0.0,0.0,59.93,59.93,59.93,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.91,59.91,59.91,0.0,0.0
2018-02-25,59.41,59.41,59.41,0.0,0.0,59.44,59.44,59.44,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-03-04,59.47,59.47,59.47,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.25,59.25,59.25,0.0,0.0,59.35,59.35,59.35,0.0,0.0
2018-03-11,59.67,59.67,59.67,0.0,0.0,59.81,59.81,59.81,0.0,0.0,59.67,59.67,59.67,0.0,0.0,59.81,59.81,59.81,0.0,0.0
2018-03-18,59.18,59.18,59.18,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.19,59.19,59.19,0.0,0.0
2018-03-25,60.09,60.09,60.09,0.0,0.0,60.45,60.45,60.45,0.0,0.0,60.09,60.09,60.09,0.0,0.0,60.3,60.3,60.3,0.0,0.0
2018-04-01,59.9,59.9,59.9,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.04,60.04,60.04,0.0,0.0
2018-04-08,59.97,59.97,59.97,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.97,59.97,59.97,0.0,0.0,60.12,60.12,60.12,0.0,0.0
2018-04-15,59.1,59.1,59.1,0.0,0.0,59.11,59.11,59.11,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-04-22,58.67,58.67,58.67,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.7,58.7,58.7,0.0,0.0
2018-04-29,58.18,58.18,58.18,0.0,0.0,58.18,58.18,58.18,0.0,0.0,57.95,57.95,57.95,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2018-05-06,58.61,58.61,58.61,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.62,58.62,58.62,0.0,0.0
2018-05-13,57.53,57.53,57.53,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.52,57.52,57.52,0.0,0.0,57.66,57.66,57.66,0.0,0.0
2018-05-20,58.43,58.43,58.43,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.49,58.49,58.49,0.0,0.0
2018-05-27,58.25,58.25,58.25,0.0,0.0,58.47,58.47,58.47,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.31,58.31,58.31,0.0,0.0
2018-06-03,57.95,57.95,57.95,0.0,0.0,58.04,58.04,58.04,0.0,0.0,57.94,57.94,57.94,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2018-06-10,58.36,58.36,58.36,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.19,58.19,58.19,0.0,0.0
2018-06-17,57.54,57.54,57.54,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2018-06-24,58.08,58.08,58.08,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.9,57.9,57.9,0.0,0.0,57.94,57.94,57.94,0.0,0.0
