Date,UBS AG FI Enhanced Global High Yield_Open_average,UBS AG FI Enhanced Global High Yield_Open_max,UBS AG FI Enhanced Global High Yield_Open_min,UBS AG FI Enhanced Global High Yield_Open_volatility,UBS AG FI Enhanced Global High Yield_Open_change,UBS AG FI Enhanced Global High Yield_High_average,UBS AG FI Enhanced Global High Yield_High_max,UBS AG FI Enhanced Global High Yield_High_min,UBS AG FI Enhanced Global High Yield_High_volatility,UBS AG FI Enhanced Global High Yield_High_change,UBS AG FI Enhanced Global High Yield_Low_average,UBS AG FI Enhanced Global High Yield_Low_max,UBS AG FI Enhanced Global High Yield_Low_min,UBS AG FI Enhanced Global High Yield_Low_volatility,UBS AG FI Enhanced Global High Yield_Low_change,UBS AG FI Enhanced Global High Yield_Close_average,UBS AG FI Enhanced Global High Yield_Close_max,UBS AG FI Enhanced Global High Yield_Close_min,UBS AG FI Enhanced Global High Yield_Close_volatility,UBS AG FI Enhanced Global High Yield_Close_change
2018-01-14,183.63,183.63,183.63,0.0,0.0,183.88,183.88,183.88,0.0,0.0,182.89,182.89,182.89,0.0,0.0,183.59,183.59,183.59,0.0,0.0
2018-01-21,189.17,189.17,189.17,0.0,0.0,191.45,191.45,191.45,0.0,0.0,188.04,188.04,188.04,0.0,0.0,190.81,190.81,190.81,0.0,0.0
2018-01-28,181.31,181.31,181.31,0.0,0.0,181.69,181.69,181.69,0.0,0.0,158.9,158.9,158.9,0.0,0.0,177.76,177.76,177.76,0.0,0.0
2018-02-04,153.69,153.69,153.69,0.0,0.0,159.56,159.56,159.56,0.0,0.0,152.0,152.0,152.0,0.0,0.0,159.53,159.53,159.53,0.0,0.0
2018-02-11,170.3,170.3,170.3,0.0,0.0,173.31,173.31,173.31,0.0,0.0,169.79,169.79,169.79,0.0,0.0,171.92,171.92,171.92,0.0,0.0
2018-02-18,168.72,168.72,168.72,0.0,0.0,171.5,171.5,171.5,0.0,0.0,168.72,168.72,168.72,0.0,0.0,171.35,171.35,171.35,0.0,0.0
2018-02-25,161.45,161.45,161.45,0.0,0.0,163.24,163.24,163.24,0.0,0.0,160.49,160.49,160.49,0.0,0.0,163.24,163.24,163.24,0.0,0.0
2018-03-04,168.89,168.89,168.89,0.0,0.0,170.59,170.59,170.59,0.0,0.0,168.81,168.81,168.81,0.0,0.0,170.59,170.59,170.59,0.0,0.0
2018-03-11,167.66,167.66,167.66,0.0,0.0,169.36,169.36,169.36,0.0,0.0,167.55,167.55,167.55,0.0,0.0,168.1,168.1,168.1,0.0,0.0
2018-03-18,155.62,155.62,155.62,0.0,0.0,161.88,161.88,161.88,0.0,0.0,152.91,152.91,152.91,0.0,0.0,152.91,152.91,152.91,0.0,0.0
2018-03-25,160.41,160.41,160.41,0.0,0.0,162.19,162.19,162.19,0.0,0.0,158.97,158.97,158.97,0.0,0.0,161.71,161.71,161.71,0.0,0.0
2018-04-01,162.26,162.26,162.26,0.0,0.0,162.89,162.89,162.89,0.0,0.0,157.94,157.94,157.94,0.0,0.0,158.18,158.18,158.18,0.0,0.0
2018-04-08,164.83,164.83,164.83,0.0,0.0,165.5,165.5,165.5,0.0,0.0,164.14,164.14,164.14,0.0,0.0,164.68,164.68,164.68,0.0,0.0
2018-04-15,164.18,164.18,164.18,0.0,0.0,165.11,165.11,165.11,0.0,0.0,162.4,162.4,162.4,0.0,0.0,163.9,163.9,163.9,0.0,0.0
2018-04-22,161.84,161.84,161.84,0.0,0.0,164.68,164.68,164.68,0.0,0.0,161.84,161.84,161.84,0.0,0.0,164.34,164.34,164.34,0.0,0.0
2018-04-29,157.89,157.89,157.89,0.0,0.0,161.97,161.97,161.97,0.0,0.0,157.31,157.31,157.31,0.0,0.0,160.55,160.55,160.55,0.0,0.0
