Date,iShares US Aerospace & Defense_Open_average,iShares US Aerospace & Defense_Open_max,iShares US Aerospace & Defense_Open_min,iShares US Aerospace & Defense_Open_volatility,iShares US Aerospace & Defense_Open_change,iShares US Aerospace & Defense_High_average,iShares US Aerospace & Defense_High_max,iShares US Aerospace & Defense_High_min,iShares US Aerospace & Defense_High_volatility,iShares US Aerospace & Defense_High_change,iShares US Aerospace & Defense_Low_average,iShares US Aerospace & Defense_Low_max,iShares US Aerospace & Defense_Low_min,iShares US Aerospace & Defense_Low_volatility,iShares US Aerospace & Defense_Low_change,iShares US Aerospace & Defense_Close_average,iShares US Aerospace & Defense_Close_max,iShares US Aerospace & Defense_Close_min,iShares US Aerospace & Defense_Close_volatility,iShares US Aerospace & Defense_Close_change
2018-01-14,198.79,198.79,198.79,0.0,0.0,198.79,198.79,198.79,0.0,0.0,196.76,196.76,196.76,0.0,0.0,198.0,198.0,198.0,0.0,0.0
2018-01-21,204.54,204.54,204.54,0.0,0.0,205.68,205.68,205.68,0.0,0.0,203.47,203.47,203.47,0.0,0.0,204.25,204.25,204.25,0.0,0.0
2018-01-28,197.02,197.02,197.02,0.0,0.0,199.62,199.62,199.62,0.0,0.0,187.1,187.1,187.1,0.0,0.0,189.84,189.84,189.84,0.0,0.0
2018-02-04,193.37,193.37,193.37,0.0,0.0,195.26,195.26,195.26,0.0,0.0,190.54,190.54,190.54,0.0,0.0,193.95,193.95,193.95,0.0,0.0
2018-02-11,202.35,202.35,202.35,0.0,0.0,204.17,204.17,204.17,0.0,0.0,201.8,201.8,201.8,0.0,0.0,202.77,202.77,202.77,0.0,0.0
2018-02-18,204.21,204.21,204.21,0.0,0.0,205.52,205.52,205.52,0.0,0.0,203.4,203.4,203.4,0.0,0.0,205.3,205.3,205.3,0.0,0.0
2018-02-25,197.64,197.64,197.64,0.0,0.0,201.67,201.67,201.67,0.0,0.0,196.93,196.93,196.93,0.0,0.0,201.18,201.18,201.18,0.0,0.0
2018-03-04,205.58,205.58,205.58,0.0,0.0,205.67,205.67,205.67,0.0,0.0,201.07,201.07,201.07,0.0,0.0,201.54,201.54,201.54,0.0,0.0
2018-03-11,197.6,197.6,197.6,0.0,0.0,198.85,198.85,198.85,0.0,0.0,196.5,196.5,196.5,0.0,0.0,198.69,198.69,198.69,0.0,0.0
2018-03-18,198.25,198.25,198.25,0.0,0.0,199.96,199.96,199.96,0.0,0.0,196.6,196.6,196.6,0.0,0.0,199.82,199.82,199.82,0.0,0.0
