Date,Franklin Liberty Investment Grade Corporate_Open_average,Franklin Liberty Investment Grade Corporate_Open_max,Franklin Liberty Investment Grade Corporate_Open_min,Franklin Liberty Investment Grade Corporate_Open_volatility,Franklin Liberty Investment Grade Corporate_Open_change,Franklin Liberty Investment Grade Corporate_High_average,Franklin Liberty Investment Grade Corporate_High_max,Franklin Liberty Investment Grade Corporate_High_min,Franklin Liberty Investment Grade Corporate_High_volatility,Franklin Liberty Investment Grade Corporate_High_change,Franklin Liberty Investment Grade Corporate_Low_average,Franklin Liberty Investment Grade Corporate_Low_max,Franklin Liberty Investment Grade Corporate_Low_min,Franklin Liberty Investment Grade Corporate_Low_volatility,Franklin Liberty Investment Grade Corporate_Low_change,Franklin Liberty Investment Grade Corporate_Close_average,Franklin Liberty Investment Grade Corporate_Close_max,Franklin Liberty Investment Grade Corporate_Close_min,Franklin Liberty Investment Grade Corporate_Close_volatility,Franklin Liberty Investment Grade Corporate_Close_change
2018-01-14,24.59,24.59,24.59,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.6,24.6,24.6,0.0,0.0
2018-01-21,24.6,24.6,24.6,0.0,0.0,24.6,24.6,24.6,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-01-28,24.36,24.36,24.36,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.48,24.48,24.48,0.0,0.0
2018-02-04,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-02-11,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.05,24.05,24.05,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-02-18,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.04,24.04,24.04,0.0,0.0
2018-02-25,23.94,23.94,23.94,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-03-04,23.87,23.87,23.87,0.0,0.0,23.9,23.9,23.9,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.9,23.9,23.9,0.0,0.0
2018-03-11,23.87,23.87,23.87,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.87,23.87,23.87,0.0,0.0
2018-03-18,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0
