Date,iShares Cohen & Steers REIT_Open_average,iShares Cohen & Steers REIT_Open_max,iShares Cohen & Steers REIT_Open_min,iShares Cohen & Steers REIT_Open_volatility,iShares Cohen & Steers REIT_Open_change,iShares Cohen & Steers REIT_High_average,iShares Cohen & Steers REIT_High_max,iShares Cohen & Steers REIT_High_min,iShares Cohen & Steers REIT_High_volatility,iShares Cohen & Steers REIT_High_change,iShares Cohen & Steers REIT_Low_average,iShares Cohen & Steers REIT_Low_max,iShares Cohen & Steers REIT_Low_min,iShares Cohen & Steers REIT_Low_volatility,iShares Cohen & Steers REIT_Low_change,iShares Cohen & Steers REIT_Close_average,iShares Cohen & Steers REIT_Close_max,iShares Cohen & Steers REIT_Close_min,iShares Cohen & Steers REIT_Close_volatility,iShares Cohen & Steers REIT_Close_change
2018-01-14,95.4,95.4,95.4,0.0,0.0,95.67,95.67,95.67,0.0,0.0,95.06,95.06,95.06,0.0,0.0,95.6,95.6,95.6,0.0,0.0
2018-01-21,97.19,97.19,97.19,0.0,0.0,97.34,97.34,97.34,0.0,0.0,96.41,96.41,96.41,0.0,0.0,97.04,97.04,97.04,0.0,0.0
2018-01-28,94.14,94.14,94.14,0.0,0.0,95.0,95.0,95.0,0.0,0.0,93.37,93.37,93.37,0.0,0.0,94.27,94.27,94.27,0.0,0.0
2018-02-04,89.28,89.28,89.28,0.0,0.0,91.74,91.74,91.74,0.0,0.0,88.4,88.4,88.4,0.0,0.0,91.04,91.04,91.04,0.0,0.0
2018-02-11,92.2,92.2,92.2,0.0,0.0,92.62,92.62,92.62,0.0,0.0,91.34,91.34,91.34,0.0,0.0,92.28,92.28,92.28,0.0,0.0
2018-02-18,90.69,90.69,90.69,0.0,0.0,91.97,91.97,91.97,0.0,0.0,90.69,90.69,90.69,0.0,0.0,91.95,91.95,91.95,0.0,0.0
2018-02-25,89.82,89.82,89.82,0.0,0.0,90.44,90.44,90.44,0.0,0.0,89.46,89.46,89.46,0.0,0.0,90.33,90.33,90.33,0.0,0.0
2018-03-04,92.43,92.43,92.43,0.0,0.0,93.02,93.02,93.02,0.0,0.0,91.87,91.87,91.87,0.0,0.0,93.02,93.02,93.02,0.0,0.0
2018-03-11,93.77,93.77,93.77,0.0,0.0,94.64,94.64,94.64,0.0,0.0,93.35,93.35,93.35,0.0,0.0,94.54,94.54,94.54,0.0,0.0
2018-03-18,91.38,91.38,91.38,0.0,0.0,91.47,91.47,91.47,0.0,0.0,89.33,89.33,89.33,0.0,0.0,89.54,89.54,89.54,0.0,0.0
2018-03-25,93.43,93.43,93.43,0.0,0.0,93.84,93.84,93.84,0.0,0.0,92.93,92.93,92.93,0.0,0.0,93.3,93.3,93.3,0.0,0.0
2018-04-01,93.24,93.24,93.24,0.0,0.0,94.52,94.52,94.52,0.0,0.0,92.46,92.46,92.46,0.0,0.0,92.71,92.71,92.71,0.0,0.0
2018-04-08,91.19,91.19,91.19,0.0,0.0,91.97,91.97,91.97,0.0,0.0,91.15,91.15,91.15,0.0,0.0,91.94,91.94,91.94,0.0,0.0
2018-04-15,91.79,91.79,91.79,0.0,0.0,92.17,92.17,92.17,0.0,0.0,90.87,90.87,90.87,0.0,0.0,91.04,91.04,91.04,0.0,0.0
2018-04-22,92.19,92.19,92.19,0.0,0.0,94.87,94.87,94.87,0.0,0.0,92.19,92.19,92.19,0.0,0.0,94.53,94.53,94.53,0.0,0.0
2018-04-29,94.06,94.06,94.06,0.0,0.0,95.57,95.57,95.57,0.0,0.0,94.06,94.06,94.06,0.0,0.0,95.33,95.33,95.33,0.0,0.0
2018-05-06,96.81,96.81,96.81,0.0,0.0,96.95,96.95,96.95,0.0,0.0,96.23,96.23,96.23,0.0,0.0,96.33,96.33,96.33,0.0,0.0
2018-05-13,92.62,92.62,92.62,0.0,0.0,93.0,93.0,93.0,0.0,0.0,92.22,92.22,92.22,0.0,0.0,92.6,92.6,92.6,0.0,0.0
2018-05-20,94.44,94.44,94.44,0.0,0.0,95.25,95.25,95.25,0.0,0.0,94.44,94.44,94.44,0.0,0.0,94.86,94.86,94.86,0.0,0.0
2018-05-27,96.19,96.19,96.19,0.0,0.0,96.98,96.98,96.98,0.0,0.0,96.17,96.17,96.17,0.0,0.0,96.75,96.75,96.75,0.0,0.0
2018-06-03,97.13,97.13,97.13,0.0,0.0,97.97,97.97,97.97,0.0,0.0,97.13,97.13,97.13,0.0,0.0,97.85,97.85,97.85,0.0,0.0
2018-06-10,97.07,97.07,97.07,0.0,0.0,97.79,97.79,97.79,0.0,0.0,96.84,96.84,96.84,0.0,0.0,96.96,96.96,96.96,0.0,0.0
2018-06-17,98.74,98.74,98.74,0.0,0.0,99.65,99.65,99.65,0.0,0.0,98.39,98.39,98.39,0.0,0.0,99.56,99.56,99.56,0.0,0.0
2018-06-24,99.5,99.5,99.5,0.0,0.0,100.44,100.44,100.44,0.0,0.0,98.76,98.76,98.76,0.0,0.0,99.88,99.88,99.88,0.0,0.0
2018-07-01,101.15,101.15,101.15,0.0,0.0,101.81,101.81,101.81,0.0,0.0,101.15,101.15,101.15,0.0,0.0,101.6,101.6,101.6,0.0,0.0
2018-07-08,101.0,101.0,101.0,0.0,0.0,101.34,101.34,101.34,0.0,0.0,100.63,100.63,100.63,0.0,0.0,100.67,100.67,100.67,0.0,0.0
2018-07-15,99.7,99.7,99.7,0.0,0.0,99.77,99.77,99.77,0.0,0.0,98.76,98.76,98.76,0.0,0.0,99.06,99.06,99.06,0.0,0.0
2018-07-22,99.65,99.65,99.65,0.0,0.0,99.65,99.65,99.65,0.0,0.0,98.84,98.84,98.84,0.0,0.0,98.92,98.92,98.92,0.0,0.0
2018-07-29,101.14,101.14,101.14,0.0,0.0,102.56,102.56,102.56,0.0,0.0,101.12,101.12,101.12,0.0,0.0,102.43,102.43,102.43,0.0,0.0
2018-08-05,101.59,101.59,101.59,0.0,0.0,101.73,101.73,101.73,0.0,0.0,100.63,100.63,100.63,0.0,0.0,100.65,100.65,100.65,0.0,0.0
2018-08-12,102.72,102.72,102.72,0.0,0.0,103.85,103.85,103.85,0.0,0.0,102.72,102.72,102.72,0.0,0.0,103.83,103.83,103.83,0.0,0.0
2018-08-19,101.86,101.86,101.86,0.0,0.0,102.7,102.7,102.7,0.0,0.0,101.44,101.44,101.44,0.0,0.0,102.63,102.63,102.63,0.0,0.0
2018-08-26,103.2,103.2,103.2,0.0,0.0,103.85,103.85,103.85,0.0,0.0,103.17,103.17,103.17,0.0,0.0,103.54,103.54,103.54,0.0,0.0
2018-09-02,103.15,103.15,103.15,0.0,0.0,103.18,103.18,103.18,0.0,0.0,102.18,102.18,102.18,0.0,0.0,102.42,102.42,102.42,0.0,0.0
2018-09-09,103.33,103.33,103.33,0.0,0.0,103.42,103.42,103.42,0.0,0.0,101.92,101.92,101.92,0.0,0.0,102.77,102.77,102.77,0.0,0.0
2018-09-16,102.11,102.11,102.11,0.0,0.0,102.92,102.92,102.92,0.0,0.0,102.04,102.04,102.04,0.0,0.0,102.45,102.45,102.45,0.0,0.0
2018-09-23,98.75,98.75,98.75,0.0,0.0,100.09,100.09,100.09,0.0,0.0,98.75,98.75,98.75,0.0,0.0,100.08,100.08,100.08,0.0,0.0
2018-09-30,97.57,97.57,97.57,0.0,0.0,98.26,98.26,98.26,0.0,0.0,97.52,97.52,97.52,0.0,0.0,97.62,97.62,97.62,0.0,0.0
2018-10-07,95.83,95.83,95.83,0.0,0.0,96.73,96.73,96.73,0.0,0.0,94.59,94.59,94.59,0.0,0.0,95.13,95.13,95.13,0.0,0.0
2018-10-14,97.38,97.38,97.38,0.0,0.0,98.4,98.4,98.4,0.0,0.0,97.35,97.35,97.35,0.0,0.0,98.12,98.12,98.12,0.0,0.0
2018-10-21,99.45,99.45,99.45,0.0,0.0,99.65,99.65,99.65,0.0,0.0,97.07,97.07,97.07,0.0,0.0,97.51,97.51,97.51,0.0,0.0
2018-10-28,98.84,98.84,98.84,0.0,0.0,98.88,98.88,98.88,0.0,0.0,96.77,96.77,96.77,0.0,0.0,97.84,97.84,97.84,0.0,0.0
2018-11-04,101.31,101.31,101.31,0.0,0.0,101.9,101.9,101.9,0.0,0.0,101.19,101.19,101.19,0.0,0.0,101.75,101.75,101.75,0.0,0.0
2018-11-11,101.32,101.32,101.32,0.0,0.0,102.71,102.71,102.71,0.0,0.0,100.96,100.96,100.96,0.0,0.0,102.66,102.66,102.66,0.0,0.0
2018-11-18,101.89,101.89,101.89,0.0,0.0,102.14,102.14,102.14,0.0,0.0,101.14,101.14,101.14,0.0,0.0,101.64,101.64,101.64,0.0,0.0
2018-11-25,103.27,103.27,103.27,0.0,0.0,104.24,104.24,104.24,0.0,0.0,103.08,103.08,103.08,0.0,0.0,104.07,104.07,104.07,0.0,0.0
2018-12-02,105.84,105.84,105.84,0.0,0.0,105.84,105.84,105.84,0.0,0.0,104.41,104.41,104.41,0.0,0.0,104.78,104.78,104.78,0.0,0.0
2018-12-09,102.41,102.41,102.41,0.0,0.0,102.82,102.82,102.82,0.0,0.0,101.99,101.99,101.99,0.0,0.0,102.53,102.53,102.53,0.0,0.0
2018-12-16,97.43,97.43,97.43,0.0,0.0,99.04,99.04,99.04,0.0,0.0,95.83,95.83,95.83,0.0,0.0,95.92,95.92,95.92,0.0,0.0
2018-12-23,95.42,95.42,95.42,0.0,0.0,96.34,96.34,96.34,0.0,0.0,94.61,94.61,94.61,0.0,0.0,95.41,95.41,95.41,0.0,0.0
2018-12-30,93.71,93.71,93.71,0.0,0.0,95.39,95.39,95.39,0.0,0.0,93.71,93.71,93.71,0.0,0.0,94.54,94.54,94.54,0.0,0.0
2019-01-06,98.32,98.32,98.32,0.0,0.0,98.8,98.8,98.8,0.0,0.0,97.89,97.89,97.89,0.0,0.0,98.78,98.78,98.78,0.0,0.0
2019-01-13,100.74,100.74,100.74,0.0,0.0,100.9,100.9,100.9,0.0,0.0,99.94,99.94,99.94,0.0,0.0,100.88,100.88,100.88,0.0,0.0
2019-01-20,101.12,101.12,101.12,0.0,0.0,101.94,101.94,101.94,0.0,0.0,100.21,100.21,100.21,0.0,0.0,101.88,101.88,101.88,0.0,0.0
2019-01-27,105.81,105.81,105.81,0.0,0.0,106.23,106.23,106.23,0.0,0.0,103.64,103.64,103.64,0.0,0.0,105.1,105.1,105.1,0.0,0.0
2019-02-03,106.67,106.67,106.67,0.0,0.0,107.2,107.2,107.2,0.0,0.0,106.35,106.35,106.35,0.0,0.0,107.0,107.0,107.0,0.0,0.0
2019-02-10,107.8,107.8,107.8,0.0,0.0,108.19,108.19,108.19,0.0,0.0,107.55,107.55,107.55,0.0,0.0,108.14,108.14,108.14,0.0,0.0
2019-02-17,107.86,107.86,107.86,0.0,0.0,108.76,108.76,108.76,0.0,0.0,107.56,107.56,107.56,0.0,0.0,108.41,108.41,108.41,0.0,0.0
2019-02-24,107.81,107.81,107.81,0.0,0.0,107.81,107.81,107.81,0.0,0.0,105.98,105.98,105.98,0.0,0.0,107.14,107.14,107.14,0.0,0.0
2019-03-03,107.05,107.05,107.05,0.0,0.0,107.85,107.85,107.85,0.0,0.0,107.05,107.05,107.05,0.0,0.0,107.54,107.54,107.54,0.0,0.0
