Date,PowerShares amental High Yield Corporate Bond PortEtf_Open_average,PowerShares amental High Yield Corporate Bond PortEtf_Open_max,PowerShares amental High Yield Corporate Bond PortEtf_Open_min,PowerShares amental High Yield Corporate Bond PortEtf_Open_volatility,PowerShares amental High Yield Corporate Bond PortEtf_Open_change,PowerShares amental High Yield Corporate Bond PortEtf_High_average,PowerShares amental High Yield Corporate Bond PortEtf_High_max,PowerShares amental High Yield Corporate Bond PortEtf_High_min,PowerShares amental High Yield Corporate Bond PortEtf_High_volatility,PowerShares amental High Yield Corporate Bond PortEtf_High_change,PowerShares amental High Yield Corporate Bond PortEtf_Low_average,PowerShares amental High Yield Corporate Bond PortEtf_Low_max,PowerShares amental High Yield Corporate Bond PortEtf_Low_min,PowerShares amental High Yield Corporate Bond PortEtf_Low_volatility,PowerShares amental High Yield Corporate Bond PortEtf_Low_change,PowerShares amental High Yield Corporate Bond PortEtf_Close_average,PowerShares amental High Yield Corporate Bond PortEtf_Close_max,PowerShares amental High Yield Corporate Bond PortEtf_Close_min,PowerShares amental High Yield Corporate Bond PortEtf_Close_volatility,PowerShares amental High Yield Corporate Bond PortEtf_Close_change
2018-01-14,18.95,18.95,18.95,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.95,18.95,18.95,0.0,0.0
2018-01-21,18.92,18.92,18.92,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-01-28,18.75,18.75,18.75,0.0,0.0,18.79,18.79,18.79,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-02-04,18.5,18.5,18.5,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.34,18.34,18.34,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-02-11,18.6,18.6,18.6,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2018-02-18,18.54,18.54,18.54,0.0,0.0,18.66,18.66,18.66,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2018-02-25,18.55,18.55,18.55,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2018-03-04,18.6,18.6,18.6,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.63,18.63,18.63,0.0,0.0
2018-03-11,18.56,18.56,18.56,0.0,0.0,18.61,18.61,18.61,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2018-03-18,18.48,18.48,18.48,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.39,18.39,18.39,0.0,0.0
