Date,ProShares UltraShort Consumer Goods_etf_Open_average,ProShares UltraShort Consumer Goods_etf_Open_max,ProShares UltraShort Consumer Goods_etf_Open_min,ProShares UltraShort Consumer Goods_etf_Open_volatility,ProShares UltraShort Consumer Goods_etf_Open_change,ProShares UltraShort Consumer Goods_etf_High_average,ProShares UltraShort Consumer Goods_etf_High_max,ProShares UltraShort Consumer Goods_etf_High_min,ProShares UltraShort Consumer Goods_etf_High_volatility,ProShares UltraShort Consumer Goods_etf_High_change,ProShares UltraShort Consumer Goods_etf_Low_average,ProShares UltraShort Consumer Goods_etf_Low_max,ProShares UltraShort Consumer Goods_etf_Low_min,ProShares UltraShort Consumer Goods_etf_Low_volatility,ProShares UltraShort Consumer Goods_etf_Low_change,ProShares UltraShort Consumer Goods_etf_Close_average,ProShares UltraShort Consumer Goods_etf_Close_max,ProShares UltraShort Consumer Goods_etf_Close_min,ProShares UltraShort Consumer Goods_etf_Close_volatility,ProShares UltraShort Consumer Goods_etf_Close_change
2018-01-14,13.14,13.14,13.14,0.0,0.0,13.16,13.16,13.16,0.0,0.0,13.14,13.14,13.14,0.0,0.0,13.16,13.16,13.16,0.0,0.0
2018-01-21,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2018-01-28,13.76,13.76,13.76,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.76,13.76,13.76,0.0,0.0,13.8,13.8,13.8,0.0,0.0
2018-02-04,14.85,14.85,14.85,0.0,0.0,15.65,15.65,15.65,0.0,0.0,14.85,14.85,14.85,0.0,0.0,15.15,15.15,15.15,0.0,0.0
2018-02-11,14.03,14.03,14.03,0.0,0.0,14.09,14.09,14.09,0.0,0.0,14.03,14.03,14.03,0.0,0.0,14.09,14.09,14.09,0.0,0.0
2018-02-18,14.51,14.51,14.51,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2018-02-25,15.2,15.2,15.2,0.0,0.0,15.2,15.2,15.2,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2018-03-04,14.29,14.29,14.29,0.0,0.0,14.39,14.39,14.39,0.0,0.0,14.23,14.23,14.23,0.0,0.0,14.25,14.25,14.25,0.0,0.0
2018-03-11,14.66,14.66,14.66,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.74,14.74,14.74,0.0,0.0
2018-03-18,15.68,15.68,15.68,0.0,0.0,16.24,16.24,16.24,0.0,0.0,15.65,15.65,15.65,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2018-03-25,15.27,15.27,15.27,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.27,15.27,15.27,0.0,0.0,15.28,15.28,15.28,0.0,0.0
2018-04-01,14.75,14.75,14.75,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.71,14.71,14.71,0.0,0.0
2018-04-08,14.94,14.94,14.94,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.96,14.96,14.96,0.0,0.0
2018-04-15,16.14,16.14,16.14,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.26,16.26,16.26,0.0,0.0
2018-04-22,16.25,16.25,16.25,0.0,0.0,16.27,16.27,16.27,0.0,0.0,16.17,16.17,16.17,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2018-04-29,17.07,17.07,17.07,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.07,17.07,17.07,0.0,0.0,17.07,17.07,17.07,0.0,0.0
2018-05-06,16.62,16.62,16.62,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.48,16.48,16.48,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2018-05-13,16.56,16.56,16.56,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.54,16.54,16.54,0.0,0.0
2018-05-20,16.21,16.21,16.21,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.16,16.16,16.16,0.0,0.0
2018-05-27,16.34,16.34,16.34,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.32,16.32,16.32,0.0,0.0
2018-06-03,15.45,15.45,15.45,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2018-06-10,14.81,14.81,14.81,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.72,14.72,14.72,0.0,0.0
2018-06-17,15.11,15.11,15.11,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.11,15.11,15.11,0.0,0.0
2018-06-24,15.05,15.05,15.05,0.0,0.0,15.14,15.14,15.14,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2018-07-01,14.78,14.78,14.78,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.76,14.76,14.76,0.0,0.0
2018-07-08,14.94,14.94,14.94,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.94,14.94,14.94,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2018-07-15,14.61,14.61,14.61,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.61,14.61,14.61,0.0,0.0
2018-07-22,14.7,14.7,14.7,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.7,14.7,14.7,0.0,0.0,14.73,14.73,14.73,0.0,0.0
2018-07-29,14.35,14.35,14.35,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.27,14.27,14.27,0.0,0.0,14.27,14.27,14.27,0.0,0.0
2018-08-05,14.74,14.74,14.74,0.0,0.0,14.74,14.74,14.74,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.67,14.67,14.67,0.0,0.0
2018-08-12,14.95,14.95,14.95,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.87,14.87,14.87,0.0,0.0
