Date,ETFS Physical Swiss Gold Shares_Open_average,ETFS Physical Swiss Gold Shares_Open_max,ETFS Physical Swiss Gold Shares_Open_min,ETFS Physical Swiss Gold Shares_Open_volatility,ETFS Physical Swiss Gold Shares_Open_change,ETFS Physical Swiss Gold Shares_High_average,ETFS Physical Swiss Gold Shares_High_max,ETFS Physical Swiss Gold Shares_High_min,ETFS Physical Swiss Gold Shares_High_volatility,ETFS Physical Swiss Gold Shares_High_change,ETFS Physical Swiss Gold Shares_Low_average,ETFS Physical Swiss Gold Shares_Low_max,ETFS Physical Swiss Gold Shares_Low_min,ETFS Physical Swiss Gold Shares_Low_volatility,ETFS Physical Swiss Gold Shares_Low_change,ETFS Physical Swiss Gold Shares_Close_average,ETFS Physical Swiss Gold Shares_Close_max,ETFS Physical Swiss Gold Shares_Close_min,ETFS Physical Swiss Gold Shares_Close_volatility,ETFS Physical Swiss Gold Shares_Close_change
2018-01-14,12.9,12.9,12.9,0.0,0.0,12.93,12.93,12.93,0.0,0.0,12.89,12.89,12.89,0.0,0.0,12.92,12.92,12.92,0.0,0.0
2018-01-21,13.02,13.02,13.02,0.0,0.0,13.02,13.02,13.02,0.0,0.0,12.95,12.95,12.95,0.0,0.0,12.99,12.99,12.99,0.0,0.0
2018-01-28,12.95,12.95,12.95,0.0,0.0,12.98,12.98,12.98,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.93,12.93,12.93,0.0,0.0
2018-02-04,12.77,12.77,12.77,0.0,0.0,12.83,12.83,12.83,0.0,0.0,12.77,12.77,12.77,0.0,0.0,12.79,12.79,12.79,0.0,0.0
2018-02-11,13.09,13.09,13.09,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.02,13.02,13.02,0.0,0.0,13.05,13.05,13.05,0.0,0.0
2018-02-18,12.9,12.9,12.9,0.0,0.0,12.91,12.91,12.91,0.0,0.0,12.85,12.85,12.85,0.0,0.0,12.85,12.85,12.85,0.0,0.0
2018-02-25,12.8,12.8,12.8,0.0,0.0,12.8,12.8,12.8,0.0,0.0,12.75,12.75,12.75,0.0,0.0,12.76,12.76,12.76,0.0,0.0
2018-03-04,12.76,12.76,12.76,0.0,0.0,12.81,12.81,12.81,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.8,12.8,12.8,0.0,0.0
2018-03-11,12.71,12.71,12.71,0.0,0.0,12.76,12.76,12.76,0.0,0.0,12.69,12.69,12.69,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2018-03-18,13.07,13.07,13.07,0.0,0.0,13.12,13.12,13.12,0.0,0.0,13.07,13.07,13.07,0.0,0.0,13.09,13.09,13.09,0.0,0.0
