Date,iShares MSCI EM ESG Optimized_Open_average,iShares MSCI EM ESG Optimized_Open_max,iShares MSCI EM ESG Optimized_Open_min,iShares MSCI EM ESG Optimized_Open_volatility,iShares MSCI EM ESG Optimized_Open_change,iShares MSCI EM ESG Optimized_High_average,iShares MSCI EM ESG Optimized_High_max,iShares MSCI EM ESG Optimized_High_min,iShares MSCI EM ESG Optimized_High_volatility,iShares MSCI EM ESG Optimized_High_change,iShares MSCI EM ESG Optimized_Low_average,iShares MSCI EM ESG Optimized_Low_max,iShares MSCI EM ESG Optimized_Low_min,iShares MSCI EM ESG Optimized_Low_volatility,iShares MSCI EM ESG Optimized_Low_change,iShares MSCI EM ESG Optimized_Close_average,iShares MSCI EM ESG Optimized_Close_max,iShares MSCI EM ESG Optimized_Close_min,iShares MSCI EM ESG Optimized_Close_volatility,iShares MSCI EM ESG Optimized_Close_change
2018-01-14,39.52,39.52,39.52,0.0,0.0,39.78,39.78,39.78,0.0,0.0,39.47,39.47,39.47,0.0,0.0,39.78,39.78,39.78,0.0,0.0
2018-01-21,40.28,40.28,40.28,0.0,0.0,40.33,40.33,40.33,0.0,0.0,40.16,40.16,40.16,0.0,0.0,40.22,40.22,40.22,0.0,0.0
2018-01-28,38.63,38.63,38.63,0.0,0.0,38.98,38.98,38.98,0.0,0.0,37.55,37.55,37.55,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2018-02-04,37.16,37.16,37.16,0.0,0.0,37.6,37.6,37.6,0.0,0.0,37.02,37.02,37.02,0.0,0.0,37.34,37.34,37.34,0.0,0.0
2018-02-11,39.0,39.0,39.0,0.0,0.0,39.28,39.28,39.28,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2018-02-18,39.26,39.26,39.26,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.1,39.1,39.1,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2018-02-25,37.62,37.62,37.62,0.0,0.0,38.16,38.16,38.16,0.0,0.0,37.62,37.62,37.62,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-03-04,39.2,39.2,39.2,0.0,0.0,39.37,39.37,39.37,0.0,0.0,39.18,39.18,39.18,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-03-11,38.71,38.71,38.71,0.0,0.0,38.71,38.71,38.71,0.0,0.0,38.15,38.15,38.15,0.0,0.0,38.34,38.34,38.34,0.0,0.0
2018-03-18,37.87,37.87,37.87,0.0,0.0,38.1,38.1,38.1,0.0,0.0,37.52,37.52,37.52,0.0,0.0,38.1,38.1,38.1,0.0,0.0
2018-03-25,37.79,37.79,37.79,0.0,0.0,37.79,37.79,37.79,0.0,0.0,36.87,36.87,36.87,0.0,0.0,37.16,37.16,37.16,0.0,0.0
2018-04-01,37.11,37.11,37.11,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.94,36.94,36.94,0.0,0.0
2018-04-08,37.17,37.17,37.17,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-04-15,36.87,36.87,36.87,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-04-22,37.0,37.0,37.0,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-04-29,36.02,36.02,36.02,0.0,0.0,36.14,36.14,36.14,0.0,0.0,35.91,35.91,35.91,0.0,0.0,35.99,35.99,35.99,0.0,0.0
2018-05-06,36.97,36.97,36.97,0.0,0.0,37.04,37.04,37.04,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-05-13,35.91,35.91,35.91,0.0,0.0,36.01,36.01,36.01,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-05-20,36.13,36.13,36.13,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.06,36.06,36.06,0.0,0.0,36.1,36.1,36.1,0.0,0.0
2018-05-27,36.35,36.35,36.35,0.0,0.0,36.48,36.48,36.48,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.44,36.44,36.44,0.0,0.0
