Date,Cambria Emerging Shareholder Yield_etf_Open_average,Cambria Emerging Shareholder Yield_etf_Open_max,Cambria Emerging Shareholder Yield_etf_Open_min,Cambria Emerging Shareholder Yield_etf_Open_volatility,Cambria Emerging Shareholder Yield_etf_Open_change,Cambria Emerging Shareholder Yield_etf_High_average,Cambria Emerging Shareholder Yield_etf_High_max,Cambria Emerging Shareholder Yield_etf_High_min,Cambria Emerging Shareholder Yield_etf_High_volatility,Cambria Emerging Shareholder Yield_etf_High_change,Cambria Emerging Shareholder Yield_etf_Low_average,Cambria Emerging Shareholder Yield_etf_Low_max,Cambria Emerging Shareholder Yield_etf_Low_min,Cambria Emerging Shareholder Yield_etf_Low_volatility,Cambria Emerging Shareholder Yield_etf_Low_change,Cambria Emerging Shareholder Yield_etf_Close_average,Cambria Emerging Shareholder Yield_etf_Close_max,Cambria Emerging Shareholder Yield_etf_Close_min,Cambria Emerging Shareholder Yield_etf_Close_volatility,Cambria Emerging Shareholder Yield_etf_Close_change
2018-01-14,36.24,36.24,36.24,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.24,36.24,36.24,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-01-21,38.08,38.08,38.08,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.04,38.04,38.04,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2018-01-28,36.5,36.5,36.5,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.15,36.15,36.15,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2018-02-04,34.57,34.57,34.57,0.0,0.0,34.67,34.67,34.67,0.0,0.0,33.76,33.76,33.76,0.0,0.0,34.55,34.55,34.55,0.0,0.0
2018-02-11,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-02-18,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.35,36.35,36.35,0.0,0.0
2018-02-25,36.48,36.48,36.48,0.0,0.0,36.67,36.67,36.67,0.0,0.0,35.97,35.97,35.97,0.0,0.0,35.97,35.97,35.97,0.0,0.0
2018-03-04,37.19,37.19,37.19,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.4,36.4,36.4,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-03-11,36.97,36.97,36.97,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-03-18,36.82,36.82,36.82,0.0,0.0,36.82,36.82,36.82,0.0,0.0,35.75,35.75,35.75,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-03-25,36.52,36.52,36.52,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.52,36.52,36.52,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-04-01,36.67,36.67,36.67,0.0,0.0,36.67,36.67,36.67,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-04-08,36.04,36.04,36.04,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.04,36.04,36.04,0.0,0.0,36.17,36.17,36.17,0.0,0.0
2018-04-15,36.29,36.29,36.29,0.0,0.0,36.29,36.29,36.29,0.0,0.0,36.18,36.18,36.18,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-04-22,35.9,35.9,35.9,0.0,0.0,36.12,36.12,36.12,0.0,0.0,35.76,35.76,35.76,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-04-29,35.24,35.24,35.24,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-05-06,35.72,35.72,35.72,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-05-13,34.57,34.57,34.57,0.0,0.0,34.66,34.66,34.66,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.66,34.66,34.66,0.0,0.0
2018-05-20,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.38,35.38,35.38,0.0,0.0
2018-05-27,35.37,35.37,35.37,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.19,35.19,35.19,0.0,0.0
2018-06-03,34.84,34.84,34.84,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-06-10,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2018-06-17,34.03,34.03,34.03,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-06-24,32.67,32.67,32.67,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2018-07-01,32.33,32.33,32.33,0.0,0.0,32.97,32.97,32.97,0.0,0.0,32.33,32.33,32.33,0.0,0.0,32.96,32.96,32.96,0.0,0.0
2018-07-08,32.8,32.8,32.8,0.0,0.0,32.81,32.81,32.81,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-07-15,32.65,32.65,32.65,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-07-22,33.69,33.69,33.69,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.41,33.41,33.41,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-07-29,33.06,33.06,33.06,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.06,33.06,33.06,0.0,0.0
2018-08-05,32.19,32.19,32.19,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.01,32.01,32.01,0.0,0.0,32.39,32.39,32.39,0.0,0.0
2018-08-12,31.61,31.61,31.61,0.0,0.0,32.03,32.03,32.03,0.0,0.0,31.32,31.32,31.32,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-08-19,31.47,31.47,31.47,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0
2018-08-26,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.9,31.9,31.9,0.0,0.0
