Date,DSX_Open_average,DSX_Open_max,DSX_Open_min,DSX_Open_volatility,DSX_Open_change,DSX_High_average,DSX_High_max,DSX_High_min,DSX_High_volatility,DSX_High_change,DSX_Low_average,DSX_Low_max,DSX_Low_min,DSX_Low_volatility,DSX_Low_change,DSX_Close_average,DSX_Close_max,DSX_Close_min,DSX_Close_volatility,DSX_Close_change,DSX_Volume_average,DSX_Volume_max,DSX_Volume_min,DSX_Volume_volatility,DSX_Volume_change
2018-01-14,4.14,4.42,4.01,0.41000000000000014,-0.40000000000000036,4.219,4.52,4.05,0.46999999999999975,-0.3699999999999992,3.999,4.21,3.86,0.3500000000000001,-0.20000000000000018,4.1,4.31,4.0,0.3099999999999996,-0.1899999999999995,674738,1454737,407847,1046890,-186113
2018-01-21,3.9819999999999998,4.1,3.9,0.19999999999999973,-0.19999999999999973,4.027,4.15,3.925,0.22500000000000053,-0.22500000000000053,3.916,4.01,3.85,0.1599999999999997,-0.1599999999999997,3.928,4.02,3.86,0.1599999999999997,-0.1599999999999997,573999,903400,468354,435046,2513
2018-01-28,3.7319999999999998,3.9,3.48,0.41999999999999993,-0.41999999999999993,3.7714,3.9,3.54,0.3599999999999999,-0.3599999999999999,3.559,3.79,3.3,0.4900000000000002,-0.4500000000000002,3.634,3.82,3.35,0.46999999999999975,-0.46999999999999975,891644,1129260,671556,457704,-82692
2018-02-04,3.45,3.63,3.31,0.31999999999999984,0.31999999999999984,3.609,3.76,3.5,0.2599999999999998,0.17999999999999972,3.336,3.53,3.07,0.45999999999999996,0.23999999999999977,3.504,3.62,3.4,0.2200000000000002,0.20000000000000018,1176638,2135422,457706,1677716,-720633
2018-02-11,3.7525,3.89,3.62,0.27,0.27,3.855,3.95,3.7,0.25,0.23999999999999977,3.68025,3.78,3.5610000000000004,0.21899999999999942,0.1989999999999994,3.795,3.93,3.67,0.26000000000000023,0.1200000000000001,491441,566826,445144,121682,121682
2018-02-18,3.754,3.8,3.66,0.13999999999999968,-0.1299999999999999,3.87,3.91,3.8,0.11000000000000032,0.010000000000000231,3.692,3.73,3.63,0.10000000000000009,-0.06000000000000005,3.782,3.88,3.65,0.22999999999999998,0.1200000000000001,648429,1010307,345567,664740,-291764
2018-02-25,3.81,3.92,3.66,0.2599999999999998,-0.14000000000000012,3.8856,3.99,3.775,0.2150000000000003,-0.13000000000000034,3.735,3.88,3.62,0.2599999999999998,-0.1549999999999998,3.8,3.89,3.7,0.18999999999999995,-0.07000000000000028,419898,625286,275550,349736,-215822
2018-03-04,3.8,3.88,3.74,0.13999999999999968,-0.10999999999999988,3.857,3.96,3.79,0.16999999999999993,-0.10999999999999988,3.734,3.85,3.68,0.16999999999999993,-0.1200000000000001,3.77,3.89,3.7,0.18999999999999995,-0.1200000000000001,367449,619882,138236,481646,387570
2018-03-11,3.738,3.79,3.67,0.1200000000000001,0.03000000000000025,3.804,3.86,3.76,0.10000000000000009,0.040000000000000036,3.659,3.675,3.65,0.02499999999999991,-0.020000000000000018,3.734,3.82,3.69,0.1299999999999999,-0.020000000000000018,305495,467088,236869,230219,28093
2018-03-18,3.65,3.71,3.56,0.1499999999999999,-0.1499999999999999,3.7188,3.84,3.58,0.2599999999999998,-0.18999999999999995,3.5572,3.66,3.411,0.2490000000000001,-0.2490000000000001,3.61,3.75,3.48,0.27,-0.13000000000000034,267721,390872,159621,231251,122647
2018-03-25,3.595,3.64,3.52,0.1200000000000001,0.1200000000000001,3.65,3.7,3.59,0.11000000000000032,0.08000000000000007,3.5075000000000003,3.59,3.45,0.13999999999999968,-0.04999999999999982,3.545,3.66,3.48,0.18000000000000016,-0.040000000000000036,351037,509525,270049,239476,3332
2018-04-01,3.454,3.51,3.4,0.10999999999999988,-0.10999999999999988,3.497,3.58,3.445,0.13500000000000023,-0.06499999999999995,3.333,3.41,3.22,0.18999999999999995,0.11999999999999966,3.424,3.5,3.34,0.16000000000000014,-0.14000000000000012,567332,1273723,276318,997405,-352283
2018-04-08,3.4979999999999998,3.55,3.4,0.1499999999999999,0.1499999999999999,3.596,3.63,3.56,0.06999999999999984,0.03000000000000025,3.454,3.49,3.4,0.0900000000000003,0.0900000000000003,3.5220000000000002,3.58,3.48,0.10000000000000009,0.08999999999999986,225552,337967,139362,198605,-148082
