Date,iShares Morningstar Mid-Cap Growth_Open_average,iShares Morningstar Mid-Cap Growth_Open_max,iShares Morningstar Mid-Cap Growth_Open_min,iShares Morningstar Mid-Cap Growth_Open_volatility,iShares Morningstar Mid-Cap Growth_Open_change,iShares Morningstar Mid-Cap Growth_High_average,iShares Morningstar Mid-Cap Growth_High_max,iShares Morningstar Mid-Cap Growth_High_min,iShares Morningstar Mid-Cap Growth_High_volatility,iShares Morningstar Mid-Cap Growth_High_change,iShares Morningstar Mid-Cap Growth_Low_average,iShares Morningstar Mid-Cap Growth_Low_max,iShares Morningstar Mid-Cap Growth_Low_min,iShares Morningstar Mid-Cap Growth_Low_volatility,iShares Morningstar Mid-Cap Growth_Low_change,iShares Morningstar Mid-Cap Growth_Close_average,iShares Morningstar Mid-Cap Growth_Close_max,iShares Morningstar Mid-Cap Growth_Close_min,iShares Morningstar Mid-Cap Growth_Close_volatility,iShares Morningstar Mid-Cap Growth_Close_change
2018-01-14,214.28,214.28,214.28,0.0,0.0,214.44,214.44,214.44,0.0,0.0,214.18,214.18,214.18,0.0,0.0,214.44,214.44,214.44,0.0,0.0
2018-01-21,217.79,217.79,217.79,0.0,0.0,217.79,217.79,217.79,0.0,0.0,216.05,216.05,216.05,0.0,0.0,216.05,216.05,216.05,0.0,0.0
2018-01-28,207.76,207.76,207.76,0.0,0.0,208.57,208.57,208.57,0.0,0.0,203.16,203.16,203.16,0.0,0.0,203.16,203.16,203.16,0.0,0.0
2018-02-04,199.18,199.18,199.18,0.0,0.0,202.06,202.06,202.06,0.0,0.0,199.18,199.18,199.18,0.0,0.0,201.66,201.66,201.66,0.0,0.0
2018-02-11,208.6,208.6,208.6,0.0,0.0,210.45,210.45,210.45,0.0,0.0,208.6,208.6,208.6,0.0,0.0,209.32,209.32,209.32,0.0,0.0
2018-02-18,210.82,210.82,210.82,0.0,0.0,211.18,211.18,211.18,0.0,0.0,210.82,210.82,210.82,0.0,0.0,211.18,211.18,211.18,0.0,0.0
2018-02-25,211.17,211.17,211.17,0.0,0.0,211.17,211.17,211.17,0.0,0.0,210.96,210.96,210.96,0.0,0.0,210.96,210.96,210.96,0.0,0.0
2018-03-04,218.49,218.49,218.49,0.0,0.0,218.58,218.58,218.58,0.0,0.0,218.18,218.18,218.18,0.0,0.0,218.58,218.58,218.58,0.0,0.0
2018-03-11,213.95,213.95,213.95,0.0,0.0,215.93,215.93,215.93,0.0,0.0,212.58,212.58,212.58,0.0,0.0,212.58,212.58,212.58,0.0,0.0
2018-03-18,208.86,208.86,208.86,0.0,0.0,208.86,208.86,208.86,0.0,0.0,208.86,208.86,208.86,0.0,0.0,208.86,208.86,208.86,0.0,0.0
