Date,iShares MSCI China AEtf_Open_average,iShares MSCI China AEtf_Open_max,iShares MSCI China AEtf_Open_min,iShares MSCI China AEtf_Open_volatility,iShares MSCI China AEtf_Open_change,iShares MSCI China AEtf_High_average,iShares MSCI China AEtf_High_max,iShares MSCI China AEtf_High_min,iShares MSCI China AEtf_High_volatility,iShares MSCI China AEtf_High_change,iShares MSCI China AEtf_Low_average,iShares MSCI China AEtf_Low_max,iShares MSCI China AEtf_Low_min,iShares MSCI China AEtf_Low_volatility,iShares MSCI China AEtf_Low_change,iShares MSCI China AEtf_Close_average,iShares MSCI China AEtf_Close_max,iShares MSCI China AEtf_Close_min,iShares MSCI China AEtf_Close_volatility,iShares MSCI China AEtf_Close_change
2018-01-14,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-01-21,35.54,35.54,35.54,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.66,35.66,35.66,0.0,0.0
2018-01-28,34.52,34.52,34.52,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.16,34.16,34.16,0.0,0.0,34.16,34.16,34.16,0.0,0.0
2018-02-04,30.94,30.94,30.94,0.0,0.0,30.96,30.96,30.96,0.0,0.0,29.85,29.85,29.85,0.0,0.0,30.9,30.9,30.9,0.0,0.0
2018-02-11,33.08,33.08,33.08,0.0,0.0,33.28,33.28,33.28,0.0,0.0,33.08,33.08,33.08,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2018-02-18,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2018-02-25,32.22,32.22,32.22,0.0,0.0,32.65,32.65,32.65,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-03-04,33.47,33.47,33.47,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.68,33.68,33.68,0.0,0.0
2018-03-11,33.04,33.04,33.04,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.04,33.04,33.04,0.0,0.0,33.04,33.04,33.04,0.0,0.0
2018-03-18,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-03-25,32.22,32.22,32.22,0.0,0.0,32.35,32.35,32.35,0.0,0.0,32.15,32.15,32.15,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-04-01,31.77,31.77,31.77,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.41,31.41,31.41,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-04-08,32.13,32.13,32.13,0.0,0.0,32.13,32.13,32.13,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-04-15,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2018-04-22,30.72,30.72,30.72,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-04-29,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-05-06,31.86,31.86,31.86,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-05-13,31.67,31.67,31.67,0.0,0.0,31.67,31.67,31.67,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-05-20,30.96,30.96,30.96,0.0,0.0,31.19,31.19,31.19,0.0,0.0,30.96,30.96,30.96,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-05-27,30.91,30.91,30.91,0.0,0.0,31.04,31.04,31.04,0.0,0.0,30.89,30.89,30.89,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-06-03,30.93,30.93,30.93,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.95,30.95,30.95,0.0,0.0
2018-06-10,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-06-17,29.04,29.04,29.04,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2018-06-24,27.78,27.78,27.78,0.0,0.0,27.79,27.79,27.79,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.74,27.74,27.74,0.0,0.0
2018-07-01,26.34,26.34,26.34,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.54,26.54,26.54,0.0,0.0
2018-07-08,27.18,27.18,27.18,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.18,27.18,27.18,0.0,0.0,27.36,27.36,27.36,0.0,0.0
2018-07-15,26.87,26.87,26.87,0.0,0.0,27.21,27.21,27.21,0.0,0.0,26.81,26.81,26.81,0.0,0.0,27.21,27.21,27.21,0.0,0.0
2018-07-22,27.36,27.36,27.36,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.29,27.29,27.29,0.0,0.0
2018-07-29,25.87,25.87,25.87,0.0,0.0,25.93,25.93,25.93,0.0,0.0,25.84,25.84,25.84,0.0,0.0,25.9,25.9,25.9,0.0,0.0
2018-08-05,26.28,26.28,26.28,0.0,0.0,26.28,26.28,26.28,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-08-12,24.92,24.92,24.92,0.0,0.0,25.49,25.49,25.49,0.0,0.0,24.87,24.87,24.87,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-08-19,25.8,25.8,25.8,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-08-26,25.61,25.61,25.61,0.0,0.0,25.79,25.79,25.79,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.74,25.74,25.74,0.0,0.0
2018-09-02,25.33,25.33,25.33,0.0,0.0,25.33,25.33,25.33,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.15,25.15,25.15,0.0,0.0
2018-09-09,25.08,25.08,25.08,0.0,0.0,25.1,25.1,25.1,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.85,24.85,24.85,0.0,0.0
2018-09-16,26.51,26.51,26.51,0.0,0.0,26.53,26.53,26.53,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.48,26.48,26.48,0.0,0.0
2018-09-23,26.63,26.63,26.63,0.0,0.0,26.64,26.64,26.64,0.0,0.0,26.5,26.5,26.5,0.0,0.0,26.52,26.52,26.52,0.0,0.0
2018-09-30,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-10-07,24.3,24.3,24.3,0.0,0.0,24.62,24.62,24.62,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-10-14,24.12,24.12,24.12,0.0,0.0,24.15,24.15,24.15,0.0,0.0,23.94,23.94,23.94,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-10-21,24.27,24.27,24.27,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.29,24.29,24.29,0.0,0.0
2018-10-28,25.66,25.66,25.66,0.0,0.0,25.66,25.66,25.66,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.25,25.25,25.25,0.0,0.0
2018-11-04,24.27,24.27,24.27,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-11-11,25.0,25.0,25.0,0.0,0.0,25.23,25.23,25.23,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.23,25.23,25.23,0.0,0.0
2018-11-18,24.17,24.17,24.17,0.0,0.0,24.17,24.17,24.17,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-11-25,24.2,24.2,24.2,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.41,24.41,24.41,0.0,0.0
2018-12-02,24.69,24.69,24.69,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2018-12-09,24.64,24.64,24.64,0.0,0.0,24.64,24.64,24.64,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2018-12-16,22.83,22.83,22.83,0.0,0.0,22.86,22.86,22.86,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2018-12-23,22.81,22.81,22.81,0.0,0.0,22.84,22.84,22.84,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.76,22.76,22.76,0.0,0.0
2018-12-30,23.11,23.11,23.11,0.0,0.0,23.27,23.27,23.27,0.0,0.0,22.96,22.96,22.96,0.0,0.0,23.26,23.26,23.26,0.0,0.0
2019-01-06,23.65,23.65,23.65,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2019-01-13,24.41,24.41,24.41,0.0,0.0,24.46,24.46,24.46,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2019-01-20,24.67,24.67,24.67,0.0,0.0,24.73,24.73,24.73,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.73,24.73,24.73,0.0,0.0
2019-01-27,25.0,25.0,25.0,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.97,24.97,24.97,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2019-02-03,24.8,24.8,24.8,0.0,0.0,24.8,24.8,24.8,0.0,0.0,24.75,24.75,24.75,0.0,0.0,24.76,24.76,24.76,0.0,0.0
2019-02-10,25.61,25.61,25.61,0.0,0.0,25.81,25.81,25.81,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.81,25.81,25.81,0.0,0.0
2019-02-17,27.03,27.03,27.03,0.0,0.0,27.15,27.15,27.15,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2019-02-24,28.84,28.84,28.84,0.0,0.0,28.99,28.99,28.99,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.99,28.99,28.99,0.0,0.0
2019-03-03,27.94,27.94,27.94,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.71,27.71,27.71,0.0,0.0
2019-03-10,28.71,28.71,28.71,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.72,28.72,28.72,0.0,0.0
2019-03-17,29.05,29.05,29.05,0.0,0.0,29.18,29.18,29.18,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2019-03-24,29.45,29.45,29.45,0.0,0.0,29.55,29.55,29.55,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2019-03-31,31.3,31.3,31.3,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.21,31.21,31.21,0.0,0.0,31.32,31.32,31.32,0.0,0.0
2019-04-07,30.99,30.99,30.99,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.96,30.96,30.96,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2019-04-14,31.3,31.3,31.3,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2019-04-21,29.39,29.39,29.39,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2019-04-28,29.78,29.78,29.78,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.85,29.85,29.85,0.0,0.0
2019-05-05,27.45,27.45,27.45,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.74,27.74,27.74,0.0,0.0
2019-05-12,26.94,26.94,26.94,0.0,0.0,27.13,27.13,27.13,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.89,26.89,26.89,0.0,0.0
2019-05-19,26.53,26.53,26.53,0.0,0.0,26.71,26.71,26.71,0.0,0.0,26.47,26.47,26.47,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2019-05-26,26.71,26.71,26.71,0.0,0.0,26.77,26.77,26.77,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.66,26.66,26.66,0.0,0.0
2019-06-02,26.61,26.61,26.61,0.0,0.0,26.82,26.82,26.82,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.65,26.65,26.65,0.0,0.0
2019-06-09,26.89,26.89,26.89,0.0,0.0,26.98,26.98,26.98,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.93,26.93,26.93,0.0,0.0
2019-06-16,28.4,28.4,28.4,0.0,0.0,28.45,28.45,28.45,0.0,0.0,28.31,28.31,28.31,0.0,0.0,28.32,28.32,28.32,0.0,0.0
2019-06-23,28.39,28.39,28.39,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2019-06-30,28.73,28.73,28.73,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.46,28.46,28.46,0.0,0.0,28.58,28.58,28.58,0.0,0.0
2019-07-07,28.13,28.13,28.13,0.0,0.0,28.22,28.22,28.22,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2019-07-14,28.33,28.33,28.33,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.24,28.24,28.24,0.0,0.0
2019-07-21,28.59,28.59,28.59,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.7,28.7,28.7,0.0,0.0
2019-07-28,27.41,27.41,27.41,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.27,27.27,27.27,0.0,0.0
2019-08-04,26.67,26.67,26.67,0.0,0.0,26.67,26.67,26.67,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.5,26.5,26.5,0.0,0.0
2019-08-11,27.3,27.3,27.3,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.25,27.25,27.25,0.0,0.0,27.46,27.46,27.46,0.0,0.0
2019-08-18,27.51,27.51,27.51,0.0,0.0,27.86,27.86,27.86,0.0,0.0,27.24,27.24,27.24,0.0,0.0,27.24,27.24,27.24,0.0,0.0
2019-08-25,27.75,27.75,27.75,0.0,0.0,27.82,27.82,27.82,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2019-09-01,28.9,28.9,28.9,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2019-09-08,29.3,29.3,29.3,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.23,29.23,29.23,0.0,0.0,29.3,29.3,29.3,0.0,0.0
2019-09-15,28.55,28.55,28.55,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2019-09-22,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2019-09-29,27.54,27.54,27.54,0.0,0.0,27.65,27.65,27.65,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2019-10-06,28.73,28.73,28.73,0.0,0.0,29.0,29.0,29.0,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2019-10-13,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.46,28.46,28.46,0.0,0.0
2019-10-20,28.64,28.64,28.64,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.78,28.78,28.78,0.0,0.0
2019-10-27,28.97,28.97,28.97,0.0,0.0,29.11,29.11,29.11,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2019-11-03,29.6,29.6,29.6,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2019-11-10,28.82,28.82,28.82,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.86,28.86,28.86,0.0,0.0
2019-11-17,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2019-11-24,28.38,28.38,28.38,0.0,0.0,28.38,28.38,28.38,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2019-12-01,28.96,28.96,28.96,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.9,28.9,28.9,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2019-12-08,29.63,29.63,29.63,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2019-12-15,29.77,29.77,29.77,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.69,29.69,29.69,0.0,0.0
2019-12-22,29.79,29.79,29.79,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.73,29.73,29.73,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2019-12-29,30.69,30.69,30.69,0.0,0.0,30.82,30.82,30.82,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.65,30.65,30.65,0.0,0.0
