Date,PowerShares DWA Financial Momentum Portfolio_Open_average,PowerShares DWA Financial Momentum Portfolio_Open_max,PowerShares DWA Financial Momentum Portfolio_Open_min,PowerShares DWA Financial Momentum Portfolio_Open_volatility,PowerShares DWA Financial Momentum Portfolio_Open_change,PowerShares DWA Financial Momentum Portfolio_High_average,PowerShares DWA Financial Momentum Portfolio_High_max,PowerShares DWA Financial Momentum Portfolio_High_min,PowerShares DWA Financial Momentum Portfolio_High_volatility,PowerShares DWA Financial Momentum Portfolio_High_change,PowerShares DWA Financial Momentum Portfolio_Low_average,PowerShares DWA Financial Momentum Portfolio_Low_max,PowerShares DWA Financial Momentum Portfolio_Low_min,PowerShares DWA Financial Momentum Portfolio_Low_volatility,PowerShares DWA Financial Momentum Portfolio_Low_change,PowerShares DWA Financial Momentum Portfolio_Close_average,PowerShares DWA Financial Momentum Portfolio_Close_max,PowerShares DWA Financial Momentum Portfolio_Close_min,PowerShares DWA Financial Momentum Portfolio_Close_volatility,PowerShares DWA Financial Momentum Portfolio_Close_change
2018-01-14,36.72,36.72,36.72,0.0,0.0,36.85,36.85,36.85,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2018-01-21,37.28,37.28,37.28,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.98,36.98,36.98,0.0,0.0,37.01,37.01,37.01,0.0,0.0
2018-01-28,35.87,35.87,35.87,0.0,0.0,36.21,36.21,36.21,0.0,0.0,34.81,34.81,34.81,0.0,0.0,35.27,35.27,35.27,0.0,0.0
2018-02-04,34.68,34.68,34.68,0.0,0.0,34.82,34.82,34.82,0.0,0.0,34.68,34.68,34.68,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-02-11,35.74,35.74,35.74,0.0,0.0,35.86,35.86,35.86,0.0,0.0,35.74,35.74,35.74,0.0,0.0,35.75,35.75,35.75,0.0,0.0
2018-02-18,35.83,35.83,35.83,0.0,0.0,36.07,36.07,36.07,0.0,0.0,35.83,35.83,35.83,0.0,0.0,36.07,36.07,36.07,0.0,0.0
2018-02-25,34.96,34.96,34.96,0.0,0.0,35.65,35.65,35.65,0.0,0.0,34.96,34.96,34.96,0.0,0.0,35.65,35.65,35.65,0.0,0.0
2018-03-04,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-03-11,36.56,36.56,36.56,0.0,0.0,36.56,36.56,36.56,0.0,0.0,35.97,35.97,35.97,0.0,0.0,36.3,36.3,36.3,0.0,0.0
2018-03-18,34.97,34.97,34.97,0.0,0.0,35.3,35.3,35.3,0.0,0.0,34.63,34.63,34.63,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-03-25,35.36,35.36,35.36,0.0,0.0,35.36,35.36,35.36,0.0,0.0,33.96,33.96,33.96,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-04-01,34.5,34.5,34.5,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0
2018-04-08,34.96,34.96,34.96,0.0,0.0,34.96,34.96,34.96,0.0,0.0,34.88,34.88,34.88,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-04-15,35.41,35.41,35.41,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2018-04-22,35.47,35.47,35.47,0.0,0.0,35.72,35.72,35.72,0.0,0.0,35.23,35.23,35.23,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2018-04-29,35.3,35.3,35.3,0.0,0.0,35.5,35.5,35.5,0.0,0.0,35.25,35.25,35.25,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-05-06,36.41,36.41,36.41,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.17,36.17,36.17,0.0,0.0,36.21,36.21,36.21,0.0,0.0
2018-05-13,36.07,36.07,36.07,0.0,0.0,36.41,36.41,36.41,0.0,0.0,36.07,36.07,36.07,0.0,0.0,36.41,36.41,36.41,0.0,0.0
2018-05-20,35.98,35.98,35.98,0.0,0.0,36.18,36.18,36.18,0.0,0.0,35.98,35.98,35.98,0.0,0.0,36.18,36.18,36.18,0.0,0.0
2018-05-27,36.5,36.5,36.5,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.08,36.08,36.08,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-06-03,37.03,37.03,37.03,0.0,0.0,37.03,37.03,37.03,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2018-06-10,35.89,35.89,35.89,0.0,0.0,36.19,36.19,36.19,0.0,0.0,35.89,35.89,35.89,0.0,0.0,36.19,36.19,36.19,0.0,0.0
2018-06-17,35.43,35.43,35.43,0.0,0.0,35.43,35.43,35.43,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.16,35.16,35.16,0.0,0.0
2018-06-24,34.52,34.52,34.52,0.0,0.0,34.71,34.71,34.71,0.0,0.0,34.42,34.42,34.42,0.0,0.0,34.64,34.64,34.64,0.0,0.0
2018-07-01,35.21,35.21,35.21,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.35,35.35,35.35,0.0,0.0
2018-07-08,35.18,35.18,35.18,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.12,35.12,35.12,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-07-15,35.7,35.7,35.7,0.0,0.0,35.99,35.99,35.99,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-07-22,35.45,35.45,35.45,0.0,0.0,35.45,35.45,35.45,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.07,35.07,35.07,0.0,0.0
2018-07-29,35.19,35.19,35.19,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.17,35.17,35.17,0.0,0.0,35.23,35.23,35.23,0.0,0.0
2018-08-05,35.05,35.05,35.05,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-08-12,35.58,35.58,35.58,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.56,35.56,35.56,0.0,0.0,35.59,35.59,35.59,0.0,0.0
2018-08-19,35.7,35.7,35.7,0.0,0.0,35.7,35.7,35.7,0.0,0.0,35.62,35.62,35.62,0.0,0.0,35.63,35.63,35.63,0.0,0.0
2018-08-26,35.31,35.31,35.31,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.28,35.28,35.28,0.0,0.0,35.54,35.54,35.54,0.0,0.0
2018-09-02,35.38,35.38,35.38,0.0,0.0,35.41,35.41,35.41,0.0,0.0,35.18,35.18,35.18,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-09-09,35.05,35.05,35.05,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2018-09-16,34.89,34.89,34.89,0.0,0.0,34.92,34.92,34.92,0.0,0.0,34.86,34.86,34.86,0.0,0.0,34.92,34.92,34.92,0.0,0.0
2018-09-23,34.28,34.28,34.28,0.0,0.0,34.35,34.35,34.35,0.0,0.0,33.95,33.95,33.95,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-09-30,33.78,33.78,33.78,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-10-07,31.94,31.94,31.94,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.84,31.84,31.84,0.0,0.0
2018-10-14,32.25,32.25,32.25,0.0,0.0,32.26,32.26,32.26,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-10-21,31.12,31.12,31.12,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.79,30.79,30.79,0.0,0.0
